Phase,Epoch,BatchIdx,SamplesSeen,Val_Accuracy,Class0_Accuracy,Class1_Accuracy,Test_Accuracy,LTP_crossings,LTD_crossings
finetune,0,0,0,0.799186,0.680108,0.920548,0.755556
finetune,1,1,64,0.799186,0.680108,0.920548,0.755556,0,0
finetune,1,6,384,0.799186,0.680108,0.920548,0.755556,0,0
finetune,1,11,704,0.799186,0.680108,0.920548,0.755556,0,0
finetune,1,16,1024,0.797829,0.793011,0.802740,0.783069,354,885
finetune,1,21,1344,0.732700,0.978495,0.482192,0.681481,7218,9739
finetune,1,26,1664,0.789688,0.919355,0.657534,0.730159,11509,15602
finetune,1,31,1984,0.805970,0.723118,0.890411,0.789418,16149,21699
finetune,1,36,2304,0.797829,0.698925,0.898630,0.773545,20342,26173
finetune,1,41,2624,0.815468,0.782258,0.849315,0.784127,23934,30185
finetune,1,47,2953,0.800543,0.862903,0.736986,0.760847,28504,34972
finetune,2,1,3017,0.796472,0.884409,0.706849,0.749206,906,860
finetune,2,6,3337,0.792402,0.903226,0.679452,0.743915,4529,4496
finetune,2,11,3657,0.810041,0.860215,0.758904,0.759788,8356,7967
finetune,2,16,3977,0.808684,0.768817,0.849315,0.782011,12386,11323
finetune,2,21,4297,0.805970,0.750000,0.863014,0.766138,15291,14027
finetune,2,26,4617,0.815468,0.776882,0.854795,0.769312,17930,16599
finetune,2,31,4937,0.810041,0.827957,0.791781,0.761905,20746,19234
finetune,2,36,5257,0.796472,0.846774,0.745205,0.775661,23087,21447
finetune,2,41,5577,0.797829,0.870968,0.723288,0.764021,25624,23740
finetune,2,47,5906,0.822252,0.849462,0.794521,0.783069,29331,26584
finetune,3,1,5970,0.818182,0.830645,0.805479,0.784127,838,575
finetune,3,6,6290,0.796472,0.704301,0.890411,0.769312,5443,3588
finetune,3,11,6610,0.781547,0.661290,0.904110,0.746032,8382,5783
finetune,3,16,6930,0.789688,0.688172,0.893151,0.754497,10617,7744
finetune,3,21,7250,0.803256,0.766129,0.841096,0.788360,13737,10321
finetune,3,26,7570,0.808684,0.841398,0.775342,0.789418,16876,12945
finetune,3,31,7890,0.799186,0.870968,0.726027,0.767196,19400,15159
finetune,3,36,8210,0.791045,0.889785,0.690411,0.758730,21900,17209
finetune,3,41,8530,0.804613,0.873656,0.734247,0.759788,24309,19394
finetune,3,47,8859,0.810041,0.833333,0.786301,0.772487,27737,22345
finetune,4,1,8923,0.812754,0.830645,0.794521,0.782011,619,509
finetune,4,6,9243,0.818182,0.790323,0.846575,0.782011,3560,3033
finetune,4,11,9563,0.818182,0.771505,0.865753,0.784127,5693,5079
finetune,4,16,9883,0.814111,0.768817,0.860274,0.784127,7465,6859
finetune,4,21,10203,0.810041,0.776882,0.843836,0.791534,9260,8694
finetune,4,26,10523,0.814111,0.811828,0.816438,0.791534,11191,10597
finetune,4,31,10843,0.816825,0.833333,0.800000,0.788360,13246,12430
finetune,4,36,11163,0.805970,0.844086,0.767123,0.787302,15374,14239
finetune,4,41,11483,0.812754,0.854839,0.769863,0.778836,17332,15800
finetune,4,47,11812,0.808684,0.844086,0.772603,0.784127,19509,17660
finetune,5,1,11876,0.811398,0.852151,0.769863,0.784127,337,324
finetune,5,6,12196,0.816825,0.836022,0.797260,0.792593,2216,2043
finetune,5,11,12516,0.814111,0.819892,0.808219,0.790476,4099,3703
finetune,5,16,12836,0.811398,0.809140,0.813699,0.791534,6014,5220
finetune,5,21,13156,0.812754,0.809140,0.816438,0.791534,7505,6667
finetune,5,26,13476,0.819539,0.825269,0.813699,0.800000,8978,8218
finetune,5,31,13796,0.818182,0.827957,0.808219,0.796825,10398,9716
finetune,5,36,14116,0.814111,0.814516,0.813699,0.790476,11712,11198
finetune,5,41,14436,0.816825,0.809140,0.824658,0.791534,13086,12719
finetune,5,47,14765,0.814111,0.806452,0.821918,0.792593,15009,14763
finetune,6,1,14829,0.820896,0.819892,0.821918,0.790476,327,371
finetune,6,6,15149,0.810041,0.819892,0.800000,0.785185,2218,2212
finetune,6,11,15469,0.808684,0.819892,0.797260,0.787302,4038,3972
finetune,6,16,15789,0.815468,0.801075,0.830137,0.785185,5990,5806
finetune,6,21,16109,0.816825,0.784946,0.849315,0.788360,7783,7578
finetune,6,26,16429,0.805970,0.787634,0.824658,0.776720,9404,9129
finetune,6,31,16749,0.815468,0.819892,0.810959,0.784127,10957,10740
finetune,6,36,17069,0.811398,0.844086,0.778082,0.779894,12589,12440
finetune,6,41,17389,0.808684,0.849462,0.767123,0.778836,14188,13995
finetune,6,47,17718,0.816825,0.852151,0.780822,0.782011,15937,15668
finetune,7,1,17782,0.810041,0.841398,0.778082,0.784127,287,309
finetune,7,6,18102,0.812754,0.822581,0.802740,0.796825,1775,1661
finetune,7,11,18422,0.808684,0.809140,0.808219,0.786243,3338,2997
finetune,7,16,18742,0.816825,0.827957,0.805479,0.785185,4879,4211
finetune,7,21,19062,0.816825,0.830645,0.802740,0.779894,6350,5515
finetune,7,26,19382,0.820896,0.833333,0.808219,0.783069,7678,6812
finetune,7,31,19702,0.819539,0.836022,0.802740,0.785185,8895,7968
finetune,7,36,20022,0.812754,0.836022,0.789041,0.776720,10093,9144
finetune,7,41,20342,0.810041,0.836022,0.783562,0.777778,11361,10364
finetune,7,47,20671,0.819539,0.827957,0.810959,0.782011,12923,11788
finetune,8,1,20735,0.824966,0.827957,0.821918,0.784127,274,278
finetune,8,6,21055,0.822252,0.809140,0.835616,0.785185,1773,1619
finetune,8,11,21375,0.819539,0.803763,0.835616,0.791534,2996,2818
finetune,8,16,21695,0.818182,0.811828,0.824658,0.793651,4268,4072
finetune,8,21,22015,0.814111,0.819892,0.808219,0.789418,5472,5377
finetune,8,26,22335,0.804613,0.833333,0.775342,0.787302,6649,6557
finetune,8,31,22655,0.808684,0.836022,0.780822,0.782011,7768,7632
finetune,8,36,22975,0.804613,0.836022,0.772603,0.780952,8937,8751
finetune,8,41,23295,0.800543,0.838710,0.761644,0.773545,10297,9964
finetune,8,47,23624,0.800543,0.838710,0.761644,0.771429,11816,11354
finetune,9,1,23688,0.800543,0.836022,0.764384,0.776720,283,226
finetune,9,6,24008,0.814111,0.825269,0.802740,0.782011,1825,1339
finetune,9,11,24328,0.814111,0.814516,0.813699,0.782011,3251,2304
finetune,9,16,24648,0.819539,0.806452,0.832877,0.780952,4480,3260
finetune,9,21,24968,0.816825,0.809140,0.824658,0.782011,5413,4162
finetune,9,26,25288,0.808684,0.811828,0.805479,0.778836,6325,5186
