Phase,Epoch,Train_Loss,Val_Accuracy,Class0_Accuracy,Class1_Accuracy,Test_Accuracy,learning_rate
finetune,1,0.468459,0.793842,0.785146,0.802703,0.741111,0.00010000
finetune,2,0.418623,0.795181,0.785146,0.805405,0.748889,0.00009945
finetune,3,0.405343,0.797858,0.806366,0.789189,0.748889,0.00009780
finetune,4,0.391572,0.799197,0.824934,0.772973,0.752222,0.00009510
finetune,5,0.380061,0.816600,0.771883,0.862162,0.756667,0.00009141
finetune,6,0.367464,0.807229,0.742706,0.872973,0.754444,0.00008682
finetune,7,0.369413,0.808568,0.843501,0.772973,0.743333,0.00008145
finetune,8,0.359990,0.812584,0.864721,0.759459,0.755556,0.00007543
finetune,9,0.353761,0.809906,0.806366,0.813514,0.755556,0.00006891
finetune,10,0.343933,0.812584,0.819629,0.805405,0.758889,0.00006204
