Phase,Epoch,Train_Loss,Val_Accuracy,Class0_Accuracy,Class1_Accuracy,Test_Accuracy,learning_rate
finetune,1,0.467712,0.803213,0.761273,0.845946,0.796667,0.00010000
finetune,2,0.431948,0.796519,0.779841,0.813514,0.798889,0.00009945
finetune,3,0.412675,0.800535,0.737401,0.864865,0.787778,0.00009780
finetune,4,0.402040,0.797858,0.761273,0.835135,0.797778,0.00009510
finetune,5,0.400488,0.792503,0.753316,0.832432,0.810000,0.00009141
finetune,6,0.390979,0.780455,0.660477,0.902703,0.791111,0.00008682
finetune,7,0.379054,0.797858,0.766578,0.829730,0.805556,0.00008145
finetune,8,0.374671,0.801874,0.793103,0.810811,0.823333,0.00007543
finetune,9,0.363793,0.808568,0.790451,0.827027,0.812222,0.00006891
finetune,10,0.359726,0.803213,0.811671,0.794595,0.816667,0.00006204
