Phase,Epoch,Train_Loss,Val_Accuracy,Class0_Accuracy,Class1_Accuracy,Test_Accuracy,learning_rate
finetune,1,0.482181,0.796472,0.816712,0.775956,0.804233,0.00010000
finetune,2,0.440753,0.795115,0.805930,0.784153,0.803175,0.00009945
finetune,3,0.429748,0.791045,0.876011,0.704918,0.793651,0.00009780
finetune,4,0.408126,0.792402,0.757412,0.827869,0.811640,0.00009510
finetune,5,0.401666,0.791045,0.733154,0.849727,0.823280,0.00009141
finetune,6,0.394896,0.780190,0.735849,0.825137,0.822222,0.00008682
finetune,7,0.393855,0.782904,0.668464,0.898907,0.811640,0.00008145
finetune,8,0.395174,0.801900,0.776280,0.827869,0.816931,0.00007543
finetune,9,0.378527,0.791045,0.776280,0.806011,0.828571,0.00006891
finetune,10,0.376127,0.789688,0.795148,0.784153,0.823280,0.00006204
