Phase,Epoch,Train_Loss,Val_Accuracy,Class0_Accuracy,Class1_Accuracy,Test_Accuracy,learning_rate
finetune,1,0.471406,0.800543,0.862903,0.736986,0.760847,0.00010000
finetune,2,0.429347,0.822252,0.849462,0.794521,0.783069,0.00009945
finetune,3,0.417947,0.810041,0.833333,0.786301,0.772487,0.00009780
finetune,4,0.387870,0.808684,0.844086,0.772603,0.784127,0.00009510
finetune,5,0.382269,0.814111,0.806452,0.821918,0.792593,0.00009141
finetune,6,0.368412,0.816825,0.852151,0.780822,0.782011,0.00008682
finetune,7,0.370766,0.819539,0.827957,0.810959,0.782011,0.00008145
finetune,8,0.362687,0.800543,0.838710,0.761644,0.771429,0.00007543
finetune,9,0.354741,0.807327,0.801075,0.813699,0.786243,0.00006891
finetune,10,0.351405,0.807327,0.841398,0.772603,0.792593,0.00006204
