Phase,Epoch,Train_Loss,Val_Accuracy,Class0_Accuracy,Class1_Accuracy,Test_Accuracy,learning_rate
pretrain,1,0.695082,0.573948,0.948925,0.191781,0.550265,0.00010000
pretrain,2,0.669452,0.677069,0.432796,0.926027,0.658201,0.00009945
pretrain,3,0.585851,0.797829,0.803763,0.791781,0.753439,0.00009780
pretrain,4,0.502060,0.800543,0.801075,0.800000,0.757672,0.00009510
pretrain,5,0.461524,0.792402,0.693548,0.893151,0.750265,0.00009141
pretrain,6,0.434392,0.797829,0.784946,0.810959,0.760847,0.00008682
pretrain,7,0.424067,0.796472,0.739247,0.854795,0.779894,0.00008145
pretrain,8,0.422179,0.808684,0.849462,0.767123,0.769312,0.00007543
pretrain,9,0.397783,0.812754,0.774194,0.852055,0.790476,0.00006891
pretrain,10,0.397143,0.811398,0.814516,0.808219,0.787302,0.00006204
pretrain,11,0.387190,0.816825,0.825269,0.808219,0.785185,0.00005500
pretrain,12,0.376810,0.814111,0.825269,0.802740,0.773545,0.00004796
pretrain,13,0.374070,0.820896,0.784946,0.857534,0.761905,0.00004109
pretrain,14,0.363314,0.819539,0.787634,0.852055,0.778836,0.00003457
pretrain,15,0.359282,0.808684,0.838710,0.778082,0.787302,0.00002855
pretrain,16,0.368707,0.811398,0.771505,0.852055,0.775661,0.00002318
pretrain,17,0.360503,0.815468,0.793011,0.838356,0.796825,0.00001859
pretrain,18,0.363033,0.807327,0.793011,0.821918,0.785185,0.00001490
pretrain,19,0.350168,0.808684,0.801075,0.816438,0.789418,0.00001220
pretrain,20,0.351155,0.815468,0.817204,0.813699,0.792593,0.00001055
