Phase,Epoch,Train_Loss,Val_Accuracy,Class0_Accuracy,Class1_Accuracy,Test_Accuracy,learning_rate
pretrain,1,0.694248,0.614654,0.902703,0.324251,0.627513,0.00010000
pretrain,2,0.665929,0.742198,0.667568,0.817439,0.733333,0.00009945
pretrain,3,0.594731,0.763908,0.837838,0.689373,0.752381,0.00009780
pretrain,4,0.519025,0.789688,0.840541,0.738420,0.780952,0.00009510
pretrain,5,0.473602,0.785617,0.889189,0.681199,0.791534,0.00009141
pretrain,6,0.469935,0.799186,0.835135,0.762943,0.803175,0.00008682
pretrain,7,0.457547,0.770692,0.935135,0.604905,0.778836,0.00008145
pretrain,8,0.437051,0.811398,0.791892,0.831063,0.812698,0.00007543
pretrain,9,0.428147,0.803256,0.775676,0.831063,0.811640,0.00006891
pretrain,10,0.424223,0.810041,0.808108,0.811989,0.820106,0.00006204
pretrain,11,0.411032,0.805970,0.786486,0.825613,0.820106,0.00005500
pretrain,12,0.421071,0.812754,0.835135,0.790191,0.820106,0.00004796
pretrain,13,0.400915,0.803256,0.783784,0.822888,0.829630,0.00004109
pretrain,14,0.392718,0.801900,0.835135,0.768392,0.820106,0.00003457
pretrain,15,0.387186,0.799186,0.851351,0.746594,0.819048,0.00002855
pretrain,16,0.386171,0.801900,0.808108,0.795640,0.826455,0.00002318
pretrain,17,0.381499,0.793758,0.824324,0.762943,0.824339,0.00001859
pretrain,18,0.375050,0.804613,0.827027,0.782016,0.822222,0.00001490
pretrain,19,0.368576,0.807327,0.808108,0.806540,0.826455,0.00001220
pretrain,20,0.367310,0.799186,0.805405,0.792916,0.834921,0.00001055
