Phase,Epoch,BatchIdx,SamplesSeen,Val_Accuracy,Class0_Accuracy,Class1_Accuracy,Test_Accuracy
pretrain,1,1,64,0.510176,0.170270,0.852861,0.494180
pretrain,1,6,384,0.504749,1.000000,0.005450,0.515344
pretrain,1,11,704,0.584803,0.927027,0.239782,0.568254
pretrain,1,16,1024,0.554953,0.962162,0.144414,0.546032
pretrain,1,21,1344,0.645862,0.681081,0.610354,0.631746
pretrain,1,26,1664,0.640434,0.716216,0.564033,0.651852
pretrain,1,31,1984,0.636364,0.575676,0.697548,0.627513
pretrain,1,36,2304,0.618725,0.481081,0.757493,0.634921
pretrain,1,41,2624,0.626866,0.513514,0.741144,0.647619
pretrain,1,47,2953,0.614654,0.902703,0.324251,0.627513
pretrain,2,1,3017,0.594301,0.935135,0.250681,0.590476
pretrain,2,6,3337,0.584803,0.940541,0.226158,0.584127
pretrain,2,11,3657,0.641791,0.862162,0.419619,0.641270
pretrain,2,16,3977,0.681140,0.654054,0.708447,0.669841
pretrain,2,21,4297,0.687924,0.683784,0.692098,0.679365
pretrain,2,26,4617,0.683853,0.829730,0.536785,0.677249
pretrain,2,31,4937,0.682497,0.848649,0.514986,0.687831
pretrain,2,36,5257,0.690638,0.870270,0.509537,0.691005
pretrain,2,41,5577,0.731343,0.786486,0.675749,0.715344
pretrain,2,47,5906,0.742198,0.667568,0.817439,0.733333
pretrain,3,1,5970,0.747626,0.675676,0.820163,0.735450
pretrain,3,6,6290,0.747626,0.821622,0.673025,0.740741
pretrain,3,11,6610,0.742198,0.875676,0.607629,0.729101
pretrain,3,16,6930,0.734057,0.905405,0.561308,0.730159
pretrain,3,21,7250,0.670285,0.381081,0.961853,0.693122
pretrain,3,26,7570,0.739484,0.905405,0.572207,0.730159
pretrain,3,31,7890,0.750339,0.889189,0.610354,0.741799
pretrain,3,36,8210,0.691995,0.421622,0.964578,0.707937
pretrain,3,41,8530,0.735414,0.918919,0.550409,0.733333
pretrain,3,47,8859,0.763908,0.837838,0.689373,0.752381
pretrain,4,1,8923,0.784261,0.732432,0.836512,0.768254
pretrain,4,6,9243,0.739484,0.570270,0.910082,0.752381
pretrain,4,11,9563,0.770692,0.832432,0.708447,0.761905
pretrain,4,16,9883,0.773406,0.816216,0.730245,0.772487
pretrain,4,21,10203,0.774763,0.732432,0.817439,0.785185
pretrain,4,26,10523,0.773406,0.875676,0.670300,0.765079
pretrain,4,31,10843,0.780190,0.783784,0.776567,0.782011
pretrain,4,36,11163,0.785617,0.837838,0.732970,0.787302
pretrain,4,41,11483,0.778833,0.894595,0.662125,0.772487
pretrain,4,47,11812,0.789688,0.840541,0.738420,0.780952
pretrain,5,1,11876,0.791045,0.829730,0.752044,0.785185
pretrain,5,6,12196,0.784261,0.818919,0.749319,0.784127
pretrain,5,11,12516,0.789688,0.772973,0.806540,0.782011
pretrain,5,16,12836,0.792402,0.837838,0.746594,0.789418
pretrain,5,21,13156,0.780190,0.829730,0.730245,0.794709
pretrain,5,26,13476,0.785617,0.824324,0.746594,0.792593
pretrain,5,31,13796,0.792402,0.835135,0.749319,0.803175
pretrain,5,36,14116,0.793758,0.759459,0.828338,0.794709
pretrain,5,41,14436,0.792402,0.808108,0.776567,0.797884
pretrain,5,47,14765,0.785617,0.889189,0.681199,0.791534
pretrain,6,1,14829,0.785617,0.894595,0.675749,0.792593
pretrain,6,6,15149,0.777476,0.654054,0.901907,0.787302
pretrain,6,11,15469,0.807327,0.845946,0.768392,0.793651
pretrain,6,16,15789,0.785617,0.886486,0.683924,0.789418
pretrain,6,21,16109,0.800543,0.789189,0.811989,0.797884
pretrain,6,26,16429,0.780190,0.683784,0.877384,0.790476
pretrain,6,31,16749,0.795115,0.875676,0.713896,0.804233
pretrain,6,36,17069,0.792402,0.856757,0.727520,0.801058
pretrain,6,41,17389,0.796472,0.772973,0.820163,0.794709
pretrain,6,47,17718,0.799186,0.835135,0.762943,0.803175
pretrain,7,1,17782,0.793758,0.900000,0.686649,0.791534
pretrain,7,6,18102,0.757123,0.956757,0.555858,0.776720
pretrain,7,11,18422,0.805970,0.786486,0.825613,0.793651
pretrain,7,16,18742,0.803256,0.700000,0.907357,0.795767
pretrain,7,21,19062,0.803256,0.745946,0.861035,0.804233
pretrain,7,26,19382,0.807327,0.824324,0.790191,0.811640
pretrain,7,31,19702,0.804613,0.851351,0.757493,0.814815
pretrain,7,36,20022,0.795115,0.729730,0.861035,0.803175
pretrain,7,41,20342,0.803256,0.754054,0.852861,0.803175
pretrain,7,47,20671,0.770692,0.935135,0.604905,0.778836
pretrain,8,1,20735,0.765265,0.937838,0.591281,0.780952
pretrain,8,6,21055,0.800543,0.889189,0.711172,0.810582
