Phase,Epoch,BatchIdx,SamplesSeen,Val_Accuracy,Class0_Accuracy,Class1_Accuracy,Test_Accuracy
pretrain,1,1,64,0.496608,0.000000,1.000000,0.493122
pretrain,1,6,384,0.506106,1.000000,0.005464,0.510053
pretrain,1,11,704,0.503392,1.000000,0.000000,0.506878
pretrain,1,16,1024,0.503392,0.997305,0.002732,0.510053
pretrain,1,21,1344,0.503392,1.000000,0.000000,0.506878
pretrain,1,26,1664,0.526459,0.983827,0.062842,0.521693
pretrain,1,31,1984,0.541384,0.954178,0.122951,0.547090
pretrain,1,36,2304,0.648575,0.784367,0.510929,0.652910
pretrain,1,41,2624,0.685210,0.539084,0.833333,0.642328
pretrain,1,47,2953,0.660787,0.773585,0.546448,0.662434
pretrain,2,1,3017,0.662144,0.776280,0.546448,0.662434
pretrain,2,6,3337,0.630936,0.849057,0.409836,0.637037
pretrain,2,11,3657,0.607870,0.916442,0.295082,0.597884
pretrain,2,16,3977,0.545455,0.964960,0.120219,0.546032
pretrain,2,21,4297,0.568521,0.946092,0.185792,0.562963
pretrain,2,26,4617,0.712347,0.754717,0.669399,0.700529
pretrain,2,31,4937,0.725916,0.727763,0.724044,0.707937
pretrain,2,36,5257,0.723202,0.757412,0.688525,0.716402
pretrain,2,41,5577,0.729986,0.816712,0.642077,0.708995
pretrain,2,47,5906,0.723202,0.547170,0.901639,0.706878
pretrain,3,1,5970,0.664858,0.363881,0.969945,0.649735
pretrain,3,6,6290,0.755767,0.690027,0.822404,0.747090
pretrain,3,11,6610,0.647218,0.951482,0.338798,0.646561
pretrain,3,16,6930,0.740841,0.708895,0.773224,0.741799
pretrain,3,21,7250,0.702849,0.482480,0.926230,0.671958
pretrain,3,26,7570,0.761194,0.698113,0.825137,0.751323
pretrain,3,31,7890,0.704206,0.913747,0.491803,0.707937
pretrain,3,36,8210,0.793758,0.770889,0.816940,0.777778
pretrain,3,41,8530,0.744912,0.894879,0.592896,0.742857
pretrain,3,47,8859,0.791045,0.778976,0.803279,0.789418
pretrain,4,1,8923,0.759837,0.654987,0.866120,0.755556
pretrain,4,6,9243,0.746269,0.622642,0.871585,0.741799
pretrain,4,11,9563,0.735414,0.862534,0.606557,0.743915
pretrain,4,16,9883,0.786974,0.816712,0.756831,0.774603
pretrain,4,21,10203,0.767978,0.636119,0.901639,0.770370
pretrain,4,26,10523,0.728630,0.929919,0.524590,0.723810
pretrain,4,31,10843,0.778833,0.770889,0.786885,0.794709
pretrain,4,36,11163,0.774763,0.824798,0.724044,0.779894
pretrain,4,41,11483,0.780190,0.773585,0.786885,0.790476
pretrain,4,47,11812,0.782904,0.819407,0.745902,0.792593
pretrain,5,1,11876,0.777476,0.876011,0.677596,0.767196
pretrain,5,6,12196,0.762551,0.886792,0.636612,0.770370
pretrain,5,11,12516,0.774763,0.725067,0.825137,0.804233
pretrain,5,16,12836,0.777476,0.781671,0.773224,0.795767
pretrain,5,21,13156,0.777476,0.770889,0.784153,0.798942
pretrain,5,26,13476,0.786974,0.789757,0.784153,0.800000
pretrain,5,31,13796,0.789688,0.773585,0.806011,0.806349
pretrain,5,36,14116,0.770692,0.679245,0.863388,0.807407
pretrain,5,41,14436,0.767978,0.830189,0.704918,0.791534
pretrain,5,47,14765,0.795115,0.762803,0.827869,0.793651
pretrain,6,1,14829,0.797829,0.789757,0.806011,0.800000
pretrain,6,6,15149,0.778833,0.859838,0.696721,0.782011
pretrain,6,11,15469,0.777476,0.803235,0.751366,0.793651
pretrain,6,16,15789,0.774763,0.679245,0.871585,0.808466
pretrain,6,21,16109,0.785617,0.719677,0.852459,0.805291
pretrain,6,26,16429,0.788331,0.870620,0.704918,0.791534
pretrain,6,31,16749,0.805970,0.733154,0.879781,0.802116
pretrain,6,36,17069,0.788331,0.722372,0.855191,0.808466
pretrain,6,41,17389,0.761194,0.929919,0.590164,0.764021
pretrain,6,47,17718,0.793758,0.743935,0.844262,0.813757
pretrain,7,1,17782,0.786974,0.706199,0.868852,0.806349
pretrain,7,6,18102,0.785617,0.681941,0.890710,0.817989
pretrain,7,11,18422,0.789688,0.795148,0.784153,0.804233
pretrain,7,16,18742,0.780190,0.867925,0.691257,0.803175
pretrain,7,21,19062,0.789688,0.749326,0.830601,0.808466
pretrain,7,26,19382,0.780190,0.741240,0.819672,0.807407
pretrain,7,31,19702,0.796472,0.814016,0.778689,0.802116
pretrain,7,36,20022,0.781547,0.857143,0.704918,0.794709
pretrain,7,41,20342,0.803256,0.830189,0.775956,0.795767
pretrain,7,47,20671,0.785617,0.698113,0.874317,0.809524
pretrain,8,1,20735,0.786974,0.711590,0.863388,0.806349
pretrain,8,6,21055,0.796472,0.830189,0.762295,0.805291
pretrain,8,11,21375,0.784261,0.819407,0.748634,0.806349
pretrain,8,16,21695,0.792402,0.714286,0.871585,0.815873
pretrain,8,21,22015,0.789688,0.730458,0.849727,0.810582
pretrain,8,26,22335,0.788331,0.824798,0.751366,0.805291
pretrain,8,31,22655,0.789688,0.835580,0.743169,0.803175
pretrain,8,36,22975,0.801900,0.773585,0.830601,0.811640
pretrain,8,41,23295,0.788331,0.738544,0.838798,0.813757
pretrain,8,47,23624,0.753053,0.730458,0.775956,0.806349
pretrain,9,1,23688,0.744912,0.738544,0.751366,0.798942
pretrain,9,6,24008,0.762551,0.835580,0.688525,0.793651
pretrain,9,11,24328,0.785617,0.727763,0.844262,0.807407
pretrain,9,16,24648,0.797829,0.762803,0.833333,0.796825
pretrain,9,21,24968,0.786974,0.714286,0.860656,0.803175
pretrain,9,26,25288,0.795115,0.762803,0.827869,0.809524
pretrain,9,31,25608,0.780190,0.800539,0.759563,0.800000
pretrain,9,36,25928,0.770692,0.730458,0.811475,0.815873
pretrain,9,41,26248,0.770692,0.716981,0.825137,0.814815
pretrain,9,47,26577,0.791045,0.770889,0.811475,0.813757
pretrain,10,1,26641,0.789688,0.757412,0.822404,0.813757
pretrain,10,6,26961,0.791045,0.711590,0.871585,0.816931
pretrain,10,11,27281,0.784261,0.752022,0.816940,0.815873
pretrain,10,16,27601,0.784261,0.832884,0.734973,0.808466
pretrain,10,21,27921,0.801900,0.792453,0.811475,0.813757
pretrain,10,26,28241,0.795115,0.746631,0.844262,0.813757
pretrain,10,31,28561,0.792402,0.814016,0.770492,0.812698
pretrain,10,36,28881,0.792402,0.822102,0.762295,0.812698
pretrain,10,41,29201,0.795115,0.776280,0.814208,0.815873
pretrain,10,47,29530,0.789688,0.727763,0.852459,0.812698
pretrain,11,1,29594,0.792402,0.741240,0.844262,0.815873
pretrain,11,6,29914,0.805970,0.846361,0.765027,0.811640
