Phase,Epoch,Train_Loss,Val_Accuracy,Class0_Accuracy,Class1_Accuracy,Test_Accuracy,learning_rate
pretrain,1,0.691819,0.665328,0.612732,0.718919,0.650000,0.00010000
pretrain,2,0.655534,0.730924,0.716180,0.745946,0.735556,0.00009945
pretrain,3,0.562892,0.736278,0.923077,0.545946,0.724444,0.00009780
pretrain,4,0.483498,0.761714,0.885942,0.635135,0.738889,0.00009510
pretrain,5,0.454159,0.795181,0.846154,0.743243,0.750000,0.00009141
pretrain,6,0.424675,0.797858,0.793103,0.802703,0.747778,0.00008682
pretrain,7,0.414318,0.787149,0.705570,0.870270,0.748889,0.00008145
pretrain,8,0.401054,0.800535,0.769231,0.832432,0.742222,0.00007543
pretrain,9,0.389582,0.807229,0.830239,0.783784,0.750000,0.00006891
pretrain,10,0.383487,0.803213,0.769231,0.837838,0.754444,0.00006204
pretrain,11,0.371887,0.796519,0.769231,0.824324,0.756667,0.00005500
pretrain,12,0.373646,0.797858,0.745358,0.851351,0.747778,0.00004796
pretrain,13,0.364558,0.813922,0.774536,0.854054,0.757778,0.00004109
pretrain,14,0.352475,0.809906,0.806366,0.813514,0.757778,0.00003457
pretrain,15,0.349962,0.813922,0.806366,0.821622,0.757778,0.00002855
pretrain,16,0.347935,0.812584,0.824934,0.800000,0.753333,0.00002318
pretrain,17,0.346408,0.807229,0.795756,0.818919,0.761111,0.00001859
pretrain,18,0.336117,0.817938,0.822281,0.813514,0.758889,0.00001490
pretrain,19,0.335425,0.812584,0.774536,0.851351,0.753333,0.00001220
pretrain,20,0.335647,0.812584,0.795756,0.829730,0.751111,0.00001055
