Phase,Epoch,Train_Loss,Val_Accuracy,Class0_Accuracy,Class1_Accuracy,Test_Accuracy,learning_rate
pretrain,1,0.691965,0.660787,0.773585,0.546448,0.662434,0.00010000
pretrain,2,0.671282,0.723202,0.547170,0.901639,0.706878,0.00009945
pretrain,3,0.618932,0.791045,0.778976,0.803279,0.789418,0.00009780
pretrain,4,0.533322,0.782904,0.819407,0.745902,0.792593,0.00009510
pretrain,5,0.481489,0.795115,0.762803,0.827869,0.793651,0.00009141
pretrain,6,0.467048,0.793758,0.743935,0.844262,0.813757,0.00008682
pretrain,7,0.442026,0.785617,0.698113,0.874317,0.809524,0.00008145
pretrain,8,0.424428,0.753053,0.730458,0.775956,0.806349,0.00007543
pretrain,9,0.423515,0.791045,0.770889,0.811475,0.813757,0.00006891
pretrain,10,0.408011,0.789688,0.727763,0.852459,0.812698,0.00006204
pretrain,11,0.413073,0.781547,0.762803,0.800546,0.820106,0.00005500
pretrain,12,0.395651,0.795115,0.746631,0.844262,0.816931,0.00004796
pretrain,13,0.390488,0.791045,0.805930,0.775956,0.814815,0.00004109
pretrain,14,0.383536,0.799186,0.830189,0.767760,0.812698,0.00003457
pretrain,15,0.374778,0.801900,0.768194,0.836066,0.812698,0.00002855
pretrain,16,0.376425,0.795115,0.803235,0.786885,0.820106,0.00002318
pretrain,17,0.375921,0.792402,0.797844,0.786885,0.819048,0.00001859
pretrain,18,0.371255,0.801900,0.789757,0.814208,0.812698,0.00001490
pretrain,19,0.371037,0.786974,0.765499,0.808743,0.823280,0.00001220
pretrain,20,0.367996,0.788331,0.776280,0.800546,0.822222,0.00001055
