Phase,Epoch,BatchIdx,SamplesSeen,Val_Accuracy,Class0_Accuracy,Class1_Accuracy,Test_Accuracy
pretrain,1,1,64,0.504749,1.000000,0.000000,0.499471
pretrain,1,6,384,0.504749,1.000000,0.000000,0.499471
pretrain,1,11,704,0.506106,1.000000,0.002740,0.499471
pretrain,1,16,1024,0.516961,0.973118,0.052055,0.502646
pretrain,1,21,1344,0.533243,0.962366,0.095890,0.524868
pretrain,1,26,1664,0.571235,0.900538,0.235616,0.551323
pretrain,1,31,1984,0.621438,0.548387,0.695890,0.619048
pretrain,1,36,2304,0.670285,0.698925,0.641096,0.622222
pretrain,1,41,2624,0.578019,0.911290,0.238356,0.559788
pretrain,1,47,2953,0.573948,0.948925,0.191781,0.550265
pretrain,2,1,3017,0.573948,0.922043,0.219178,0.567196
pretrain,2,6,3337,0.586160,0.913978,0.252055,0.578836
pretrain,2,11,3657,0.572592,0.951613,0.186301,0.558730
pretrain,2,16,3977,0.639077,0.889785,0.383562,0.613757
pretrain,2,21,4297,0.672999,0.491935,0.857534,0.640212
pretrain,2,26,4617,0.671642,0.473118,0.873973,0.643386
pretrain,2,31,4937,0.742198,0.817204,0.665753,0.655026
pretrain,2,36,5257,0.739484,0.838710,0.638356,0.659259
pretrain,2,41,5577,0.742198,0.674731,0.810959,0.718519
pretrain,2,47,5906,0.677069,0.432796,0.926027,0.658201
pretrain,3,1,5970,0.662144,0.395161,0.934247,0.634921
pretrain,3,6,6290,0.738128,0.905914,0.567123,0.673016
pretrain,3,11,6610,0.753053,0.868280,0.635616,0.696296
pretrain,3,16,6930,0.689281,0.491935,0.890411,0.671958
pretrain,3,21,7250,0.776119,0.793011,0.758904,0.733333
pretrain,3,26,7570,0.777476,0.836022,0.717808,0.735450
pretrain,3,31,7890,0.769335,0.631720,0.909589,0.699471
pretrain,3,36,8210,0.799186,0.862903,0.734247,0.741799
pretrain,3,41,8530,0.797829,0.790323,0.805479,0.756614
pretrain,3,47,8859,0.797829,0.803763,0.791781,0.753439
pretrain,4,1,8923,0.800543,0.750000,0.852055,0.762963
pretrain,4,6,9243,0.800543,0.803763,0.797260,0.770370
pretrain,4,11,9563,0.797829,0.779570,0.816438,0.758730
pretrain,4,16,9883,0.795115,0.766129,0.824658,0.769312
pretrain,4,21,10203,0.804613,0.865591,0.742466,0.740741
pretrain,4,26,10523,0.801900,0.849462,0.753425,0.759788
pretrain,4,31,10843,0.793758,0.774194,0.813699,0.744974
pretrain,4,36,11163,0.797829,0.817204,0.778082,0.740741
pretrain,4,41,11483,0.789688,0.709677,0.871233,0.746032
pretrain,4,47,11812,0.800543,0.801075,0.800000,0.757672
pretrain,5,1,11876,0.803256,0.811828,0.794521,0.764021
pretrain,5,6,12196,0.814111,0.879032,0.747945,0.750265
pretrain,5,11,12516,0.811398,0.768817,0.854795,0.764021
pretrain,5,16,12836,0.824966,0.825269,0.824658,0.767196
pretrain,5,21,13156,0.819539,0.857527,0.780822,0.754497
pretrain,5,26,13476,0.811398,0.787634,0.835616,0.769312
pretrain,5,31,13796,0.797829,0.723118,0.873973,0.752381
pretrain,5,36,14116,0.814111,0.838710,0.789041,0.759788
pretrain,5,41,14436,0.791045,0.908602,0.671233,0.728042
pretrain,5,47,14765,0.792402,0.693548,0.893151,0.750265
pretrain,6,1,14829,0.793758,0.704301,0.884932,0.759788
pretrain,6,6,15149,0.820896,0.822581,0.819178,0.775661
pretrain,6,11,15469,0.815468,0.819892,0.810959,0.765079
pretrain,6,16,15789,0.812754,0.827957,0.797260,0.764021
pretrain,6,21,16109,0.815468,0.809140,0.821918,0.780952
pretrain,6,26,16429,0.804613,0.760753,0.849315,0.767196
pretrain,6,31,16749,0.815468,0.833333,0.797260,0.774603
pretrain,6,36,17069,0.807327,0.811828,0.802740,0.783069
pretrain,6,41,17389,0.793758,0.725806,0.863014,0.760847
pretrain,6,47,17718,0.797829,0.784946,0.810959,0.760847
pretrain,7,1,17782,0.810041,0.827957,0.791781,0.764021
pretrain,7,6,18102,0.799186,0.854839,0.742466,0.759788
pretrain,7,11,18422,0.807327,0.830645,0.783562,0.757672
pretrain,7,16,18742,0.795115,0.758065,0.832877,0.767196
pretrain,7,21,19062,0.808684,0.830645,0.786301,0.771429
pretrain,7,26,19382,0.815468,0.844086,0.786301,0.774603
pretrain,7,31,19702,0.815468,0.787634,0.843836,0.791534
pretrain,7,36,20022,0.822252,0.817204,0.827397,0.782011
pretrain,7,41,20342,0.822252,0.798387,0.846575,0.782011
pretrain,7,47,20671,0.796472,0.739247,0.854795,0.779894
pretrain,8,1,20735,0.778833,0.677419,0.882192,0.760847
pretrain,8,6,21055,0.777476,0.669355,0.887671,0.755556
pretrain,8,11,21375,0.816825,0.838710,0.794521,0.780952
pretrain,8,16,21695,0.815468,0.822581,0.808219,0.777778
pretrain,8,21,22015,0.799186,0.771505,0.827397,0.771429
pretrain,8,26,22335,0.808684,0.779570,0.838356,0.779894
pretrain,8,31,22655,0.801900,0.755376,0.849315,0.780952
pretrain,8,36,22975,0.800543,0.758065,0.843836,0.778836
pretrain,8,41,23295,0.804613,0.793011,0.816438,0.764021
pretrain,8,47,23624,0.808684,0.849462,0.767123,0.769312
pretrain,9,1,23688,0.801900,0.857527,0.745205,0.764021
pretrain,9,6,24008,0.808684,0.860215,0.756164,0.774603
pretrain,9,11,24328,0.808684,0.825269,0.791781,0.788360
pretrain,9,16,24648,0.814111,0.833333,0.794521,0.778836
pretrain,9,21,24968,0.810041,0.768817,0.852055,0.773545
pretrain,9,26,25288,0.810041,0.733871,0.887671,0.757672
pretrain,9,31,25608,0.812754,0.801075,0.824658,0.777778
pretrain,9,36,25928,0.810041,0.825269,0.794521,0.782011
pretrain,9,41,26248,0.815468,0.811828,0.819178,0.795767
pretrain,9,47,26577,0.812754,0.774194,0.852055,0.790476
pretrain,10,1,26641,0.811398,0.760753,0.863014,0.776720
pretrain,10,6,26961,0.799186,0.720430,0.879452,0.771429
pretrain,10,11,27281,0.805970,0.728495,0.884932,0.779894
pretrain,10,16,27601,0.819539,0.795699,0.843836,0.797884
