Phase,Epoch,BatchIdx,SamplesSeen,Val_Accuracy,Class0_Accuracy,Class1_Accuracy,Test_Accuracy
pretrain,1,1,64,0.504685,0.992042,0.008108,0.504444
pretrain,1,6,384,0.627845,0.567639,0.689189,0.613333
pretrain,1,11,704,0.506024,0.031830,0.989189,0.512222
pretrain,1,16,1024,0.518072,0.058355,0.986486,0.518889
pretrain,1,21,1344,0.629183,0.496021,0.764865,0.613333
pretrain,1,26,1664,0.551539,0.923077,0.172973,0.577778
pretrain,1,31,1984,0.625167,0.785146,0.462162,0.615556
pretrain,1,36,2304,0.593039,0.323607,0.867568,0.604444
pretrain,1,41,2624,0.661312,0.636605,0.686486,0.652222
pretrain,1,47,2988,0.665328,0.612732,0.718919,0.650000
pretrain,2,1,3052,0.677376,0.636605,0.718919,0.660000
pretrain,2,6,3372,0.677376,0.628647,0.727027,0.664444
pretrain,2,11,3692,0.672021,0.570292,0.775676,0.671111
pretrain,2,16,4012,0.693440,0.668435,0.718919,0.691111
pretrain,2,21,4332,0.693440,0.726790,0.659459,0.696667
pretrain,2,26,4652,0.682731,0.596817,0.770270,0.691111
pretrain,2,31,4972,0.688086,0.519894,0.859459,0.682222
pretrain,2,36,5292,0.713521,0.676393,0.751351,0.714444
pretrain,2,41,5612,0.728246,0.753316,0.702703,0.725556
pretrain,2,47,5976,0.730924,0.716180,0.745946,0.735556
pretrain,3,1,6040,0.730924,0.689655,0.772973,0.724444
pretrain,3,6,6360,0.724230,0.596817,0.854054,0.720000
pretrain,3,11,6680,0.728246,0.880637,0.572973,0.716667
pretrain,3,16,7000,0.746988,0.732095,0.762162,0.732222
pretrain,3,21,7320,0.759036,0.724138,0.794595,0.728889
pretrain,3,26,7640,0.756359,0.758621,0.754054,0.732222
pretrain,3,31,7960,0.702811,0.472149,0.937838,0.694444
pretrain,3,36,8280,0.718876,0.931034,0.502703,0.723333
pretrain,3,41,8600,0.741633,0.599469,0.886486,0.730000
pretrain,3,47,8964,0.736278,0.923077,0.545946,0.724444
pretrain,4,1,9028,0.737617,0.931034,0.540541,0.728889
pretrain,4,6,9348,0.753681,0.599469,0.910811,0.722222
pretrain,4,11,9668,0.759036,0.885942,0.629730,0.735556
pretrain,4,16,9988,0.742972,0.931034,0.551351,0.725556
pretrain,4,21,10308,0.738956,0.570292,0.910811,0.717778
pretrain,4,26,10628,0.773762,0.684350,0.864865,0.750000
pretrain,4,31,10948,0.777778,0.862069,0.691892,0.750000
pretrain,4,36,11268,0.765730,0.888594,0.640541,0.748889
pretrain,4,41,11588,0.781794,0.726790,0.837838,0.744444
pretrain,4,47,11952,0.761714,0.885942,0.635135,0.738889
pretrain,5,1,12016,0.760375,0.885942,0.632432,0.742222
pretrain,5,6,12336,0.773762,0.681698,0.867568,0.755556
pretrain,5,11,12656,0.765730,0.652520,0.881081,0.743333
pretrain,5,16,12976,0.752343,0.925729,0.575676,0.726667
pretrain,5,21,13296,0.793842,0.827586,0.759459,0.751111
pretrain,5,26,13616,0.760375,0.633952,0.889189,0.734444
pretrain,5,31,13936,0.771084,0.904509,0.635135,0.736667
pretrain,5,36,14256,0.792503,0.840849,0.743243,0.746667
pretrain,5,41,14576,0.785810,0.708223,0.864865,0.747778
