Phase,Epoch,Train_Loss,Val_Accuracy,Class0_Accuracy,Class1_Accuracy,Test_Accuracy,learning_rate
finetune,1,0.536546,0.789826,0.769231,0.810811,0.752222,0.00010000
finetune,2,0.426295,0.792503,0.835544,0.748649,0.741111,0.00009945
finetune,3,0.413432,0.799197,0.798408,0.800000,0.746667,0.00009780
finetune,4,0.401393,0.803213,0.848806,0.756757,0.748889,0.00009510
finetune,5,0.388014,0.796519,0.814324,0.778378,0.744444,0.00009141
finetune,6,0.376279,0.803213,0.758621,0.848649,0.760000,0.00008682
finetune,7,0.366769,0.805890,0.838196,0.772973,0.737778,0.00008145
finetune,8,0.366341,0.800535,0.846154,0.754054,0.745556,0.00007543
finetune,9,0.362948,0.807229,0.848806,0.764865,0.745556,0.00006891
finetune,10,0.348684,0.808568,0.814324,0.802703,0.752222,0.00006204
