Phase,Epoch,Train_Loss,Val_Accuracy,Class0_Accuracy,Class1_Accuracy,Test_Accuracy,learning_rate
finetune,1,0.591326,0.788331,0.832432,0.743869,0.786243,0.00010000
finetune,2,0.472029,0.803256,0.813514,0.792916,0.802116,0.00009945
finetune,3,0.445186,0.784261,0.851351,0.716621,0.797884,0.00009780
finetune,4,0.431536,0.810041,0.816216,0.803815,0.819048,0.00009510
finetune,5,0.422465,0.805970,0.797297,0.814714,0.811640,0.00009141
finetune,6,0.423943,0.776119,0.664865,0.888283,0.805291,0.00008682
finetune,7,0.430399,0.800543,0.705405,0.896458,0.809524,0.00008145
finetune,8,0.426098,0.796472,0.883784,0.708447,0.811640,0.00007543
finetune,9,0.399164,0.795115,0.800000,0.790191,0.817989,0.00006891
finetune,10,0.387555,0.792402,0.808108,0.776567,0.828571,0.00006204
