Phase,Epoch,Train_Loss,Val_Accuracy,Class0_Accuracy,Class1_Accuracy,Test_Accuracy,learning_rate
finetune,1,0.563566,0.777778,0.787798,0.767568,0.787778,0.00010000
finetune,2,0.436272,0.788487,0.734748,0.843243,0.784444,0.00009945
finetune,3,0.438272,0.767068,0.681698,0.854054,0.775556,0.00009780
finetune,4,0.413605,0.788487,0.755968,0.821622,0.784444,0.00009510
finetune,5,0.403180,0.799197,0.763926,0.835135,0.796667,0.00009141
finetune,6,0.387421,0.795181,0.702918,0.889189,0.803333,0.00008682
finetune,7,0.377189,0.811245,0.798408,0.824324,0.811111,0.00008145
finetune,8,0.374317,0.808568,0.787798,0.829730,0.811111,0.00007543
finetune,9,0.361443,0.812584,0.806366,0.818919,0.813333,0.00006891
finetune,10,0.356370,0.820616,0.811671,0.829730,0.811111,0.00006204
