Phase,Epoch,Train_Loss,Val_Accuracy,Class0_Accuracy,Class1_Accuracy,Test_Accuracy,learning_rate
finetune,1,0.551183,0.799186,0.849462,0.747945,0.759788,0.00010000
finetune,2,0.439284,0.796472,0.771505,0.821918,0.778836,0.00009945
finetune,3,0.420302,0.815468,0.817204,0.813699,0.778836,0.00009780
finetune,4,0.396033,0.815468,0.836022,0.794521,0.783069,0.00009510
finetune,5,0.393325,0.816825,0.793011,0.841096,0.773545,0.00009141
finetune,6,0.378579,0.815468,0.838710,0.791781,0.769312,0.00008682
finetune,7,0.372652,0.807327,0.811828,0.802740,0.773545,0.00008145
finetune,8,0.365444,0.800543,0.795699,0.805479,0.776720,0.00007543
finetune,9,0.359565,0.805970,0.771505,0.841096,0.789418,0.00006891
finetune,10,0.360091,0.795115,0.827957,0.761644,0.769312,0.00006204
