Phase,Epoch,Train_Loss,Val_Accuracy,Class0_Accuracy,Class1_Accuracy,Test_Accuracy,learning_rate
finetune,1,0.593827,0.781547,0.789757,0.773224,0.790476,0.00010000
finetune,2,0.480225,0.793758,0.803235,0.784153,0.788360,0.00009945
finetune,3,0.439464,0.792402,0.835580,0.748634,0.796825,0.00009780
finetune,4,0.421480,0.797829,0.797844,0.797814,0.806349,0.00009510
finetune,5,0.409735,0.807327,0.789757,0.825137,0.807407,0.00009141
finetune,6,0.399466,0.807327,0.800539,0.814208,0.813757,0.00008682
finetune,7,0.391859,0.789688,0.708895,0.871585,0.827513,0.00008145
finetune,8,0.397465,0.795115,0.784367,0.806011,0.810582,0.00007543
finetune,9,0.388759,0.796472,0.773585,0.819672,0.826455,0.00006891
finetune,10,0.377198,0.807327,0.822102,0.792350,0.813757,0.00006204
