x_plot,mean_plot,std_plot
1.0,53.98915999999999,5.385890405346175
2.0,56.6807,4.937427195210073
3.0,62.71944,7.29752769274636
4.0,70.17438,9.983785620574993
5.0,75.70162,3.8968047133003725
6.0,78.71603999999999,2.4477635862966824
7.0,78.86976,1.4919730179865807
8.0,79.19832,1.8439307420833286
9.0,79.94724,0.49282694975011204
10.0,80.10934,0.6723006755909108
11.0,80.48782000000001,1.142992100410146
12.0,80.51422000000001,0.6452112751649656
13.0,80.70273999999999,1.009455400896935
14.0,80.21535999999999,0.8765236348211015
15.0,80.37744,0.6273269342217044
16.0,80.4317,0.6599733085511837
17.0,80.53918000000002,0.6440240566935364
18.0,80.2953,0.5488379505828654
19.0,80.43028,0.36493510875222834
20.0,80.18748000000001,0.390565494635662
