x_plot,mean_plot,std_plot
1.0,2673.8,2862.954079062861
2.0,16260.2,7035.438234649007
3.0,25216.8,9356.141269781554
4.0,41861.6,15818.338128565803
5.0,72801.6,22973.655124739733
6.0,112849.6,19678.891533660753
7.0,146583.8,12944.260327838654
8.0,167146.4,11941.716649110318
9.0,182648.8,11914.973668062916
10.0,193478.4,11558.422586720442
11.0,202582.0,11305.428054387567
12.0,209556.0,11111.594319394198
13.0,215110.4,10910.235582336258
14.0,219316.8,10842.106318439572
15.0,222566.4,10815.595043782254
16.0,225072.0,10752.032389450911
17.0,226937.6,10755.823838328562
18.0,228296.8,10810.156325609933
19.0,229409.6,10808.345285124877
20.0,230363.8,10853.070950702791
