x_plot,mean_plot,std_plot
1.0,0.0,0.0
2.0,2014.6,1217.5476182090515
3.0,5325.0,3379.485252119014
4.0,9471.6,7423.720216655001
5.0,15639.2,13271.809692062738
6.0,25987.8,21252.65114881993
7.0,41464.0,28276.721466022955
8.0,59691.0,30363.360085687927
9.0,78480.2,30305.07282479951
10.0,92682.6,28302.924285416688
11.0,103558.4,24351.76688357261
12.0,111907.2,19855.501420877925
13.0,118012.6,17162.651650553333
14.0,122102.6,15836.322920173989
15.0,124828.0,15420.182143431965
16.0,126675.2,15269.74533957732
17.0,128096.4,15196.052464895076
18.0,129142.2,15144.15658316649
19.0,130001.2,15097.43632725873
20.0,130704.6,15086.023299384977
