x_plot,mean_plot,std_plot
1.0,50.092420000000004,0.6076547618508392
2.0,49.983880000000006,0.5836622770061489
3.0,50.257799999999996,1.521295858141999
4.0,51.205420000000004,1.4740898444803143
5.0,52.16637999999999,2.2100479926010648
6.0,52.162,3.166099088152488
7.0,51.544380000000004,2.763066263700528
8.0,51.54076,3.910056409107163
9.0,50.09388,1.4316961219476736
10.0,52.27636,2.507388619739668
11.0,51.687340000000006,1.8016461390628327
12.0,52.243779999999994,3.5525708242904908
13.0,51.71048,2.774435612084013
14.0,50.855560000000004,1.9663468123400791
15.0,51.62906,2.731938967546676
16.0,51.20068,2.2649723630985017
17.0,50.87650000000001,1.7801340634907243
18.0,50.98142,1.9633629683784923
19.0,52.147580000000005,2.168734861987515
20.0,51.549119999999995,1.6097513937251302
