layer,q,min_before,max_before,min_after,max_after
snn.conv1.psp_func,2,-0.34065866470336914,0.344012588262558,-0.3330000042915344,0.3330000042915344
snn.conv2.psp_func,2,-0.056551508605480194,0.0577862486243248,-0.04170000180602074,0.04170000180602074
snn.conv3.psp_func,2,-0.04469085484743118,0.04579690843820572,-0.029500000178813934,0.029500000178813934
snn.temp_conv1.psp_func_list.0,2,-0.07724227756261826,0.07303008437156677,-0.0625,0.0625
snn.temp_conv1.psp_func_list.1,2,-0.07505224645137787,0.07427108287811279,-0.0625,0.0625
snn.temp_conv1.psp_func_list.2,2,-0.07521822303533554,0.07309672981500626,-0.0625,0.0625
snn.rec1.rec_func,2,-0.0755215510725975,0.0742914006114006,-0.0625,0.0625
snn.fc1.psp_func,2,-0.08207111805677414,0.08015291392803192,-0.0625,0.0625
snn.fc2,2,-0.07380682229995728,0.07418473809957504,-0.0625,0.0625
