q_values,mean_acc_2,std_acc_2
2,78.21375661375662,2.569545764857613
4,79.05079365079364,2.594996402080465
8,79.88148148148147,2.776009716980409
16,80.04126984126984,2.812204701455213
32,80.28783068783069,2.661805008127109
