x_vals,mean_acc
0.0,50.143080000000005
0.0,50.11632000000001
0.0,50.14236000000001
119.0,50.223040000000005
7653.0,51.785720000000005
19033.0,55.75632
28358.0,55.25708000000001
35599.0,54.11988
41404.0,55.75488
47425.0,56.15684000000001
48386.0,56.34682
52827.0,54.970079999999996
57074.0,54.533699999999996
61255.0,54.880700000000004
65044.0,55.496140000000004
68753.0,55.84310000000001
72341.0,56.429919999999996
76034.0,56.96539999999999
79645.0,56.45634
83954.0,57.79758
84774.0,58.20172
88546.0,60.3057
92112.0,61.65563999999999
95646.0,61.97691999999999
99502.0,62.30404
103764.0,63.573299999999996
108595.0,63.7727
113978.0,67.40288000000001
119545.0,69.88678
127127.0,70.34484
128401.0,70.53878
134571.0,70.15706
141047.0,70.24609999999998
147926.0,70.77504
154893.0,70.35064
162510.0,69.91864000000001
169228.0,70.77901999999999
177380.0,69.59844000000001
183836.0,69.62848000000001
192589.0,72.58234
194018.0,73.20248000000001
200967.0,73.13126
207505.0,72.785
212899.0,73.46270000000001
218469.0,77.04042
224292.0,76.8432
230222.0,76.97126
236088.0,77.89756
241262.0,77.24844
247991.0,77.38852
249119.0,77.41272
254222.0,77.60229999999999
259535.0,79.59954
264162.0,77.83928
268498.0,79.22435999999999
273020.0,78.38311999999999
277160.0,78.51626
282010.0,79.16502
286071.0,78.34944
291163.0,79.81522
292020.0,79.4096
296211.0,79.21636000000001
300333.0,78.78764
303906.0,78.6809
307495.0,79.17008
311057.0,78.95226000000001
314385.0,78.89363999999999
317793.0,79.13275999999999
321063.0,79.70012
325354.0,80.27216000000001
326123.0,80.19368
329860.0,79.7562
332989.0,79.29339999999999
335877.0,79.3477
338917.0,79.86112
341919.0,79.70118
344770.0,80.24394000000001
347494.0,80.13466
350112.0,80.02977999999999
353095.0,80.45706
353547.0,80.21388
355864.0,80.10607999999999
358101.0,80.13466
360330.0,80.51494
362466.0,80.5967
364729.0,80.73022
366951.0,80.46104
369053.0,80.35322
371175.0,80.32390000000001
373722.0,79.99826
374102.0,80.15997999999999
375978.0,80.24104
377902.0,80.4035
379745.0,80.40424
381512.0,80.40312
383308.0,80.48490000000001
385033.0,80.40458000000001
386756.0,80.40606
388414.0,80.4867
390374.0,80.80983999999998
390678.0,80.83732
392215.0,80.94296
393798.0,80.83478
395347.0,80.78086
396926.0,80.80910000000002
398437.0,80.40314000000001
399790.0,80.29602
401179.0,79.8083
402635.0,80.13250000000001
404483.0,80.24068
404779.0,80.21388000000002
406246.0,80.24031999999998
407557.0,80.05179999999999
408807.0,80.35031999999998
410082.0,80.32244
411305.0,80.53626
412546.0,80.67269999999999
413731.0,80.45632
414912.0,80.56411999999999
416310.0,80.4563
416548.0,80.53664
417739.0,80.40165999999999
418763.0,79.9664
419722.0,80.0764
420629.0,80.26598
421556.0,80.18602
422394.0,80.29496
423214.0,80.05254
424049.0,80.4299
425134.0,80.45958
425314.0,80.29675999999999
426179.0,80.21534
426965.0,80.18856
427683.0,80.21572
428435.0,79.99752000000001
429134.0,80.15888
429824.0,79.99677999999999
430543.0,79.9143
431246.0,79.99607999999999
432145.0,80.21318
432275.0,80.02466000000001
432881.0,79.91612
433456.0,79.94214
434032.0,80.18748000000001
434562.0,80.07896000000001
435063.0,80.1336
435560.0,80.21428
436046.0,80.24248
436555.0,80.64556
437171.0,80.67233999999999
437254.0,80.61734
437689.0,80.4556
438088.0,80.70017999999999
438510.0,80.592
438928.0,80.40422
439303.0,80.56703999999999
439666.0,80.37708
440035.0,80.3778
440387.0,80.43136
440847.0,80.2964
440927.0,80.40350000000001
441284.0,80.10646
441607.0,80.40457999999998
441929.0,80.16144
442253.0,80.10679999999999
442557.0,80.29496
442867.0,80.13212000000001
443168.0,80.40132
443442.0,80.07676000000001
443755.0,79.99678000000002
443798.0,80.05142000000001
444042.0,79.9693
444291.0,80.13212
444515.0,80.10461999999998
444739.0,80.05
444961.0,80.05105999999998
445164.0,80.02430000000001
445364.0,79.9429
445561.0,80.15961999999999
445813.0,79.99570000000001
445855.0,80.18532
446052.0,80.07676000000001
446246.0,80.34816
446417.0,79.97076
446600.0,79.99644
446771.0,80.34812000000001
446931.0,80.29495999999999
447079.0,80.18678
447228.0,80.07932000000001
447415.0,80.29495999999999
447441.0,80.13355999999999
447603.0,80.34849999999999
447752.0,80.37636
447900.0,80.29495999999999
448054.0,80.29495999999999
448200.0,80.24104
448339.0,80.40314
448484.0,80.34993999999999
448618.0,80.10463999999999
448797.0,80.24104
