x_pre,mean_pre,std_pre
1.0,60.495140000000006,5.801115955262401
2.0,71.04216000000001,2.724382879552726
3.0,76.74774,2.378878891074534
4.0,77.98479999999999,1.4847279656556562
5.0,78.52024,1.4187214379151394
6.0,79.67624,0.19869100231263478
7.0,78.72898,0.9463572040197042
8.0,79.59119999999999,2.172908959896845
9.0,80.29637999999998,0.723991976198628
10.0,80.35105999999999,0.7695435078018679
11.0,80.0547,1.160489488104049
12.0,80.59487999999999,0.7892071398561987
13.0,80.67342,1.0151176452017738
14.0,80.94261999999999,0.7943144475583976
15.0,80.72551999999999,0.5808165920495044
16.0,80.75193999999999,0.7856179773910461
17.0,80.29494,0.8710992264948892
18.0,80.86046000000002,0.5596442820220718
19.0,80.58982,0.9767382298241417
20.0,80.58982,1.0529221289345168
