,subject_id,mean_pretrain_val_accuracy,std_pretrain_val_accuracy,layer unfrozen,learning_rate,dW_min,mean_finetune_val_accuracy,std_finetune_val_accuracy,Delta_accuracy
77,3,0.979175,0.04165,fc2,0.0002,0.025,0.9583335,0.048112329982379,-0.0208415
78,3,0.979175,0.04165,fc2,0.0004,0.025,0.9583335,0.048112329982379,-0.0208415
79,3,0.979175,0.04165,fc2,0.0006,0.025,0.9583335,0.048112329982379,-0.0208415
80,3,0.979175,0.04165,r1,0.0001,0.025,0.9583335,0.048112329982379,-0.0208415
81,3,0.979175,0.04165,r1,0.0002,0.025,0.93560625,0.0430774647302198,-0.04356875
82,3,0.979175,0.04165,r1,0.0004,0.025,0.9583335,0.048112329982379,-0.0208415
83,3,0.979175,0.04165,r1,0.0006,0.025,0.9583335,0.048112329982379,-0.0208415
84,3,0.979175,0.04165,r1fc1fc2,0.0001,0.025,0.9583335,0.048112329982379,-0.0208415
85,3,0.979175,0.04165,r1fc1fc2,0.0002,0.025,0.9583335,0.048112329982379,-0.0208415
86,3,0.979175,0.04165,r1fc1fc2,0.0004,0.025,0.9583335,0.048112329982379,-0.0208415
87,3,0.979175,0.04165,r1fc1fc2,0.0006,0.025,0.9583335,0.048112329982379,-0.0208415
100,4,0.775775,0.1162417703180172,fc1,0.0001,0.025,0.80075775,0.1327725280881427,0.02498275
101,4,0.775775,0.1162417703180172,fc1,0.0002,0.025,0.821591,0.1286265047207093,0.0458159999999999
102,4,0.775775,0.1162417703180172,fc1,0.0004,0.025,0.80075775,0.1327725280881427,0.02498275
103,4,0.775775,0.1162417703180172,fc1,0.0006,0.025,0.8443182499999999,0.0859361491161703,0.0685432499999999
104,4,0.775775,0.1162417703180172,fc1fc2,0.0001,0.025,0.80075775,0.1327725280881427,0.02498275
105,4,0.775775,0.1162417703180172,fc1fc2,0.0002,0.025,0.821591,0.1286265047207093,0.0458159999999999
106,4,0.775775,0.1162417703180172,fc1fc2,0.0004,0.025,0.80075775,0.1327725280881427,0.02498275
107,4,0.775775,0.1162417703180172,fc1fc2,0.0006,0.025,0.8443182499999999,0.0859361491161703,0.0685432499999999
108,4,0.775775,0.1162417703180172,fc2,0.0001,0.025,0.798485,0.0844417442540516,0.02271
109,4,0.775775,0.1162417703180172,fc2,0.0002,0.025,0.823485,0.0986478999911638,0.04771
110,4,0.775775,0.1162417703180172,fc2,0.0004,0.025,0.823485,0.0986478999911638,0.04771
111,4,0.775775,0.1162417703180172,fc2,0.0006,0.025,0.823485,0.0986478999911638,0.04771
112,4,0.775775,0.1162417703180172,r1,0.0001,0.025,0.77575775,0.116242824358825,-1.724999999996868e-05
113,4,0.775775,0.1162417703180172,r1,0.0002,0.025,0.846212,0.0365630374649955,0.0704369999999999
114,4,0.775775,0.1162417703180172,r1,0.0004,0.025,0.80075775,0.1327725280881427,0.02498275
115,4,0.775775,0.1162417703180172,r1,0.0006,0.025,0.8443182499999999,0.0859361491161703,0.0685432499999999
116,4,0.775775,0.1162417703180172,r1fc1fc2,0.0001,0.025,0.80075775,0.1327725280881427,0.02498275
117,4,0.775775,0.1162417703180172,r1fc1fc2,0.0002,0.025,0.8670455,0.0485539789684292,0.0912705
118,4,0.775775,0.1162417703180172,r1fc1fc2,0.0004,0.025,0.8443182499999999,0.0859361491161703,0.0685432499999999
119,4,0.775775,0.1162417703180172,r1fc1fc2,0.0006,0.025,0.81931825,0.0785678373015956,0.04354325
132,5,0.64205,0.1343226091666378,fc1,0.0001,0.025,0.7102275,0.0503943334413701,0.0681775
133,5,0.64205,0.1343226091666378,fc1,0.0002,0.025,0.757576,0.0742268876755586,0.115526
134,5,0.64205,0.1343226091666378,fc1,0.0004,0.025,0.68939425,0.1143913164460047,0.0473442499999999
135,5,0.64205,0.1343226091666378,fc1,0.0006,0.025,0.7102275,0.116442477434139,0.0681775
136,5,0.64205,0.1343226091666378,fc1fc2,0.0001,0.025,0.73295475,0.0113634999999999,0.0909047499999999
