x_plot,mean_plot,std_plot
1.0,56.15684000000001,5.858987932604061
2.0,57.79758,7.081938898747998
3.0,70.34484,10.11618083242881
4.0,72.58234,10.009448206689518
5.0,77.38852,2.2646615370955536
6.0,79.81522,1.4001149687079268
7.0,80.27216000000001,0.8351040284898613
8.0,80.45706,1.2334785861132684
9.0,79.99826,0.9377728650371591
10.0,80.80983999999998,0.2795935378366243
11.0,80.24068,1.1599177270823957
12.0,80.4563,0.5964103453160424
13.0,80.45958,0.8425530639668907
14.0,80.21318,0.8619802118378398
15.0,80.67233999999999,0.7669983118625502
16.0,80.2964,0.8060318529685994
17.0,79.99678000000002,1.0401886163576308
18.0,79.99570000000001,0.9901351725900862
19.0,80.29495999999999,0.7318056507024233
20.0,80.24104,0.7474789778983734
