x_plot,mean_plot,std_plot
1.0,54.620219999999996,4.741833267165769
2.0,61.148379999999996,6.807385277593741
3.0,70.02097999999998,9.914125296040996
4.0,71.13474,10.384060759568003
5.0,76.91190000000002,4.853245752277538
6.0,78.91678,0.9515322766990055
7.0,79.65346000000001,0.8863096740981679
8.0,80.29786,0.9794488033582972
9.0,80.29603999999999,1.075877194850786
10.0,80.34484,1.1787222702570785
11.0,80.37635999999999,1.6964211771844853
12.0,80.26852,0.5950341751529904
13.0,79.97403999999999,1.0771152781387847
14.0,80.02503999999999,0.6712630143244882
15.0,80.26854,0.6435682515475708
16.0,80.32097999999999,1.020054587558918
17.0,80.21462,1.1027709343286127
18.0,80.29494,0.9204276888490447
19.0,80.51132,0.7970580641333491
20.0,80.43028000000001,0.9433604473370685
