Phase,Epoch,BatchIdx,SamplesSeen,Val_Accuracy,Class0_Accuracy,Class1_Accuracy,Test_Accuracy,LTP_crossings,LTD_crossings
finetune,0,0,0,0.753053,0.655914,0.852055,0.731217
finetune,1,1,64,0.753053,0.655914,0.852055,0.731217,0,0
finetune,1,6,384,0.753053,0.655914,0.852055,0.731217,0,0
finetune,1,11,704,0.753053,0.655914,0.852055,0.731217,0,0
finetune,1,16,1024,0.761194,0.763441,0.758904,0.750265,351,1223
finetune,1,21,1344,0.759837,0.895161,0.621918,0.710053,8013,14121
finetune,1,26,1664,0.773406,0.811828,0.734247,0.744974,15960,24611
finetune,1,31,1984,0.773406,0.793011,0.753425,0.751323,22447,33413
finetune,1,36,2304,0.797829,0.787634,0.808219,0.759788,27212,40369
finetune,1,41,2624,0.818182,0.830645,0.805479,0.759788,32237,46722
finetune,1,47,2953,0.799186,0.849462,0.747945,0.759788,38612,53702
finetune,2,1,3017,0.805970,0.865591,0.745205,0.748148,991,1093
finetune,2,6,3337,0.810041,0.870968,0.747945,0.751323,5670,6033
finetune,2,11,3657,0.807327,0.827957,0.786301,0.757672,9825,10290
finetune,2,16,3977,0.804613,0.790323,0.819178,0.759788,13684,14312
finetune,2,21,4297,0.810041,0.817204,0.802740,0.755556,17416,17983
finetune,2,26,4617,0.800543,0.857527,0.742466,0.756614,20858,21106
finetune,2,31,4937,0.803256,0.844086,0.761644,0.752381,24151,23976
finetune,2,36,5257,0.814111,0.830645,0.797260,0.757672,27329,26630
finetune,2,41,5577,0.815468,0.838710,0.791781,0.767196,30564,29050
finetune,2,47,5906,0.796472,0.771505,0.821918,0.778836,34690,32026
finetune,3,1,5970,0.800543,0.766129,0.835616,0.774603,733,570
finetune,3,6,6290,0.797829,0.725806,0.871233,0.765079,4016,3224
finetune,3,11,6610,0.791045,0.712366,0.871233,0.762963,6652,5609
finetune,3,16,6930,0.791045,0.741935,0.841096,0.765079,9239,7862
finetune,3,21,7250,0.801900,0.784946,0.819178,0.780952,12042,10324
finetune,3,26,7570,0.819539,0.846774,0.791781,0.772487,14454,12677
finetune,3,31,7890,0.818182,0.860215,0.775342,0.773545,16817,14965
finetune,3,36,8210,0.814111,0.854839,0.772603,0.774603,18847,17148
finetune,3,41,8530,0.811398,0.846774,0.775342,0.772487,20730,19152
finetune,3,47,8859,0.815468,0.817204,0.813699,0.778836,23278,21835
finetune,4,1,8923,0.814111,0.811828,0.816438,0.777778,488,499
finetune,4,6,9243,0.811398,0.801075,0.821918,0.780952,2837,2760
finetune,4,11,9563,0.803256,0.758065,0.849315,0.776720,5297,4952
finetune,4,16,9883,0.799186,0.741935,0.857534,0.775661,7339,6834
finetune,4,21,10203,0.803256,0.752688,0.854795,0.776720,9344,8669
finetune,4,26,10523,0.808684,0.790323,0.827397,0.782011,11245,10622
finetune,4,31,10843,0.810041,0.814516,0.805479,0.786243,13057,12414
finetune,4,36,11163,0.810041,0.830645,0.789041,0.779894,14667,14092
finetune,4,41,11483,0.810041,0.836022,0.783562,0.785185,16337,15666
finetune,4,47,11812,0.815468,0.836022,0.794521,0.783069,18346,17727
