Phase,Epoch,BatchIdx,SamplesSeen,Val_Accuracy,Class0_Accuracy,Class1_Accuracy,Test_Accuracy,LTP_crossings,LTD_crossings
finetune,0,0,0,0.793842,0.883289,0.702703,0.743333
finetune,1,1,64,0.793842,0.883289,0.702703,0.743333,0,0
finetune,1,6,384,0.793842,0.883289,0.702703,0.743333,0,0
finetune,1,11,704,0.793842,0.883289,0.702703,0.743333,0,0
finetune,1,16,1024,0.813922,0.785146,0.843243,0.751111,924,1078
finetune,1,21,1344,0.718876,0.472149,0.970270,0.674444,9411,11904
finetune,1,26,1664,0.781794,0.657825,0.908108,0.725556,14541,18694
finetune,1,31,1984,0.789826,0.753316,0.827027,0.744444,19498,24617
finetune,1,36,2304,0.792503,0.790451,0.794595,0.731111,23071,28939
finetune,1,41,2624,0.799197,0.793103,0.805405,0.736667,26445,32736
finetune,1,47,2988,0.793842,0.785146,0.802703,0.741111,30674,36893
finetune,2,1,3052,0.795181,0.793103,0.797297,0.736667,726,655
finetune,2,6,3372,0.791165,0.819629,0.762162,0.747778,4163,3968
finetune,2,11,3692,0.803213,0.809019,0.797297,0.755556,7679,7450
finetune,2,16,4012,0.800535,0.761273,0.840541,0.742222,10879,10710
finetune,2,21,4332,0.803213,0.763926,0.843243,0.748889,14043,13937
finetune,2,26,4652,0.805890,0.798408,0.813514,0.745556,16768,16923
finetune,2,31,4972,0.800535,0.785146,0.816216,0.748889,19211,19300
finetune,2,36,5292,0.801874,0.755968,0.848649,0.748889,21624,21483
finetune,2,41,5612,0.804552,0.763926,0.845946,0.745556,24474,23609
finetune,2,47,5976,0.795181,0.785146,0.805405,0.748889,27524,26134
finetune,3,1,6040,0.803213,0.790451,0.816216,0.751111,491,389
finetune,3,6,6360,0.804552,0.816976,0.791892,0.751111,2817,2493
finetune,3,11,6680,0.800535,0.819629,0.781081,0.753333,5203,4695
finetune,3,16,7000,0.804552,0.816976,0.791892,0.747778,7222,6853
finetune,3,21,7320,0.805890,0.793103,0.818919,0.750000,9444,9045
finetune,3,26,7640,0.813922,0.795756,0.832432,0.744444,11520,11209
finetune,3,31,7960,0.805890,0.761273,0.851351,0.738889,13602,13479
finetune,3,36,8280,0.805890,0.769231,0.843243,0.736667,15721,15455
finetune,3,41,8600,0.792503,0.787798,0.797297,0.743333,17929,17411
finetune,3,47,8964,0.797858,0.806366,0.789189,0.748889,20626,19861
finetune,4,1,9028,0.800535,0.809019,0.791892,0.750000,468,362
finetune,4,6,9348,0.800535,0.824934,0.775676,0.752222,3114,2478
finetune,4,11,9668,0.801874,0.793103,0.810811,0.754444,6070,4661
finetune,4,16,9988,0.807229,0.761273,0.854054,0.756667,9018,6726
finetune,4,21,10308,0.811245,0.758621,0.864865,0.761111,11266,8545
finetune,4,26,10628,0.805890,0.774536,0.837838,0.765556,13423,10529
finetune,4,31,10948,0.803213,0.822281,0.783784,0.754444,15636,12629
finetune,4,36,11268,0.793842,0.838196,0.748649,0.761111,17698,14624
finetune,4,41,11588,0.793842,0.835544,0.751351,0.757778,19430,16440
finetune,4,47,11952,0.799197,0.824934,0.772973,0.752222,21537,18519
