Phase,Epoch,BatchIdx,SamplesSeen,Val_Accuracy,Class0_Accuracy,Class1_Accuracy,Test_Accuracy,LTP_crossings,LTD_crossings
pretrain,1,1,64,0.495315,0.000000,1.000000,0.498889,0,0
pretrain,1,6,384,0.495315,0.000000,1.000000,0.498889,0,0
pretrain,1,11,704,0.495315,0.000000,1.000000,0.498889,0,0
pretrain,1,16,1024,0.495315,0.000000,1.000000,0.498889,316,528
pretrain,1,21,1344,0.495315,0.000000,1.000000,0.498889,13922,9588
pretrain,1,26,1664,0.495315,0.000000,1.000000,0.498889,22075,18301
pretrain,1,31,1984,0.495315,0.000000,1.000000,0.498889,27896,23815
pretrain,1,36,2304,0.495315,0.000000,1.000000,0.498889,32017,28105
pretrain,1,41,2624,0.492637,0.045093,0.948649,0.511111,35316,31829
pretrain,1,47,2988,0.504685,1.000000,0.000000,0.501111,39579,37063
pretrain,2,1,3052,0.504685,1.000000,0.000000,0.501111,702,850
pretrain,2,6,3372,0.504685,1.000000,0.000000,0.501111,3382,3841
pretrain,2,11,3692,0.504685,1.000000,0.000000,0.501111,5702,6114
pretrain,2,16,4012,0.504685,1.000000,0.000000,0.501111,7900,7721
pretrain,2,21,4332,0.504685,1.000000,0.000000,0.501111,9277,9022
pretrain,2,26,4652,0.504685,1.000000,0.000000,0.501111,10316,10069
pretrain,2,31,4972,0.504685,1.000000,0.000000,0.501111,11054,10916
pretrain,2,36,5292,0.504685,1.000000,0.000000,0.501111,11628,11540
pretrain,2,41,5612,0.504685,1.000000,0.000000,0.501111,12142,11973
pretrain,2,47,5976,0.504685,1.000000,0.000000,0.501111,12525,12333
pretrain,3,1,6040,0.504685,1.000000,0.000000,0.501111,60,49
pretrain,3,6,6360,0.504685,1.000000,0.000000,0.501111,313,277
pretrain,3,11,6680,0.504685,1.000000,0.000000,0.501111,507,448
pretrain,3,16,7000,0.495315,0.000000,1.000000,0.498889,622,559
pretrain,3,21,7320,0.504685,1.000000,0.000000,0.501111,683,637
pretrain,3,26,7640,0.504685,1.000000,0.000000,0.501111,729,691
pretrain,3,31,7960,0.504685,1.000000,0.000000,0.501111,786,778
pretrain,3,36,8280,0.504685,1.000000,0.000000,0.501111,876,857
pretrain,3,41,8600,0.504685,1.000000,0.000000,0.501111,1009,966
pretrain,3,47,8964,0.504685,1.000000,0.000000,0.501111,1181,1095
pretrain,4,1,9028,0.504685,1.000000,0.000000,0.501111,34,17
pretrain,4,6,9348,0.504685,1.000000,0.000000,0.501111,195,141
pretrain,4,11,9668,0.504685,1.000000,0.000000,0.501111,335,253
pretrain,4,16,9988,0.504685,1.000000,0.000000,0.501111,472,374
pretrain,4,21,10308,0.504685,1.000000,0.000000,0.501111,566,482
pretrain,4,26,10628,0.504685,1.000000,0.000000,0.501111,727,661
pretrain,4,31,10948,0.504685,1.000000,0.000000,0.501111,889,890
pretrain,4,36,11268,0.504685,1.000000,0.000000,0.501111,1138,1170
pretrain,4,41,11588,0.504685,1.000000,0.000000,0.501111,1493,1507
pretrain,4,47,11952,0.504685,1.000000,0.000000,0.501111,1933,1967
pretrain,5,1,12016,0.504685,1.000000,0.000000,0.501111,74,74
pretrain,5,6,12336,0.504685,1.000000,0.000000,0.501111,456,453
pretrain,5,11,12656,0.504685,1.000000,0.000000,0.501111,856,862
pretrain,5,16,12976,0.504685,1.000000,0.000000,0.501111,1282,1323
pretrain,5,21,13296,0.504685,1.000000,0.000000,0.501111,1746,1709
pretrain,5,26,13616,0.504685,1.000000,0.000000,0.501111,2172,2083
pretrain,5,31,13936,0.504685,1.000000,0.000000,0.501111,2592,2400
pretrain,5,36,14256,0.504685,1.000000,0.000000,0.501111,3014,2758
pretrain,5,41,14576,0.504685,1.000000,0.000000,0.501111,3495,3137
pretrain,5,47,14940,0.504685,1.000000,0.000000,0.501111,4001,3579
pretrain,6,1,15004,0.504685,1.000000,0.000000,0.501111,108,71
pretrain,6,6,15324,0.504685,1.000000,0.000000,0.501111,605,495
pretrain,6,11,15644,0.504685,1.000000,0.000000,0.501111,1397,1067
pretrain,6,16,15964,0.504685,1.000000,0.000000,0.501111,2165,1630
pretrain,6,21,16284,0.504685,1.000000,0.000000,0.501111,2908,2272
pretrain,6,26,16604,0.504685,1.000000,0.000000,0.501111,3722,3145
pretrain,6,31,16924,0.504685,1.000000,0.000000,0.501111,4698,4169
pretrain,6,36,17244,0.504685,1.000000,0.000000,0.501111,5836,5358
pretrain,6,41,17564,0.504685,1.000000,0.000000,0.501111,7243,6677
pretrain,6,47,17928,0.512718,1.000000,0.016216,0.506667,8788,8361
pretrain,7,1,17992,0.518072,1.000000,0.027027,0.512222,245,277
pretrain,7,6,18312,0.542169,0.994695,0.081081,0.540000,1484,1864
pretrain,7,11,18632,0.583668,0.989390,0.170270,0.571111,2878,3430
pretrain,7,16,18952,0.633199,0.978780,0.281081,0.613333,4408,5059
pretrain,7,21,19272,0.645248,0.981432,0.302703,0.645556,6215,6852
pretrain,7,26,19592,0.617135,0.992042,0.235135,0.606667,8133,8857
pretrain,7,31,19912,0.696118,0.968170,0.418919,0.673333,10263,11307
pretrain,7,36,20232,0.736278,0.899204,0.570270,0.717778,12708,14009
pretrain,7,41,20552,0.718876,0.944297,0.489189,0.711111,15352,17147
pretrain,7,47,20916,0.769746,0.748011,0.791892,0.762222,18842,21343
pretrain,8,1,20980,0.773762,0.742706,0.805405,0.762222,497,640
pretrain,8,6,21300,0.764391,0.864721,0.662162,0.757778,3606,4373
pretrain,8,11,21620,0.738956,0.885942,0.589189,0.755556,6746,8100
pretrain,8,16,21940,0.760375,0.610080,0.913514,0.763333,11399,12386
pretrain,8,21,22260,0.775100,0.755968,0.794595,0.773333,15195,16331
pretrain,8,26,22580,0.759036,0.862069,0.654054,0.760000,18845,20192
pretrain,8,31,22900,0.763052,0.625995,0.902703,0.767778,23178,24285
pretrain,8,36,23220,0.759036,0.599469,0.921622,0.752222,26129,27246
pretrain,8,41,23540,0.776439,0.811671,0.740541,0.774444,30189,31443
pretrain,8,47,23904,0.730924,0.941645,0.516216,0.742222,34445,36016
pretrain,9,1,23968,0.732262,0.936340,0.524324,0.745556,396,514
pretrain,9,6,24288,0.773762,0.851459,0.694595,0.777778,3253,4059
pretrain,9,11,24608,0.768407,0.647215,0.891892,0.761111,6793,7989
pretrain,9,16,24928,0.748327,0.562334,0.937838,0.745556,8739,10694
pretrain,9,21,25248,0.757697,0.583554,0.935135,0.752222,10198,12519
pretrain,9,26,25568,0.767068,0.628647,0.908108,0.757778,11985,14493
pretrain,9,31,25888,0.772423,0.718833,0.827027,0.767778,14388,16959
pretrain,9,36,26208,0.773762,0.798408,0.748649,0.765556,16761,19442
pretrain,9,41,26528,0.776439,0.840849,0.710811,0.771111,18588,21399
pretrain,9,47,26892,0.783133,0.875332,0.689189,0.776667,20953,23922
pretrain,10,1,26956,0.788487,0.872679,0.702703,0.772222,382,348
pretrain,10,6,27276,0.781794,0.814324,0.748649,0.780000,2299,2116
pretrain,10,11,27596,0.788487,0.740053,0.837838,0.786667,4463,4165
pretrain,10,16,27916,0.797858,0.724138,0.872973,0.775556,5840,5861
pretrain,10,21,28236,0.793842,0.721485,0.867568,0.775556,6946,7162
pretrain,10,26,28556,0.789826,0.737401,0.843243,0.775556,7922,8432
pretrain,10,31,28876,0.796519,0.761273,0.832432,0.778889,9003,9877
pretrain,10,36,29196,0.781794,0.793103,0.770270,0.795556,10225,11228
pretrain,10,41,29516,0.777778,0.819629,0.735135,0.796667,11588,12566
pretrain,10,47,29880,0.776439,0.835544,0.716216,0.796667,12933,13948
pretrain,11,1,29944,0.775100,0.835544,0.713514,0.796667,242,176
pretrain,11,6,30264,0.773762,0.835544,0.710811,0.793333,1228,1096
pretrain,11,11,30584,0.780455,0.822281,0.737838,0.792222,2196,2035
pretrain,11,16,30904,0.776439,0.793103,0.759459,0.793333,3130,2974
pretrain,11,21,31224,0.779116,0.748011,0.810811,0.790000,4168,3887
pretrain,11,26,31544,0.777778,0.721485,0.835135,0.793333,5168,4740
pretrain,11,31,31864,0.779116,0.721485,0.837838,0.793333,6018,5382
pretrain,11,36,32184,0.773762,0.724138,0.824324,0.788889,6814,6018
pretrain,11,41,32504,0.775100,0.745358,0.805405,0.793333,7680,6730
pretrain,11,47,32868,0.780455,0.795756,0.764865,0.798889,8892,7722
pretrain,12,1,32932,0.777778,0.793103,0.762162,0.800000,184,147
pretrain,12,6,33252,0.788487,0.811671,0.764865,0.804444,1035,773
pretrain,12,11,33572,0.791165,0.822281,0.759459,0.801111,1794,1399
pretrain,12,16,33892,0.787149,0.816976,0.756757,0.796667,2528,2013
pretrain,12,21,34212,0.792503,0.814324,0.770270,0.804444,3153,2517
pretrain,12,26,34532,0.784471,0.798408,0.770270,0.803333,3809,3092
pretrain,12,31,34852,0.783133,0.779841,0.786486,0.806667,4507,3648
pretrain,12,36,35172,0.781794,0.761273,0.802703,0.800000,5265,4205
pretrain,12,41,35492,0.792503,0.761273,0.824324,0.802222,5912,4712
pretrain,12,47,35856,0.791165,0.755968,0.827027,0.803333,6605,5371
pretrain,13,1,35920,0.788487,0.755968,0.821622,0.804444,89,91
pretrain,13,6,36240,0.792503,0.763926,0.821622,0.806667,576,533
pretrain,13,11,36560,0.791165,0.763926,0.818919,0.810000,1187,1011
pretrain,13,16,36880,0.789826,0.769231,0.810811,0.798889,1829,1537
pretrain,13,21,37200,0.787149,0.779841,0.794595,0.798889,2342,2062
pretrain,13,26,37520,0.787149,0.777188,0.797297,0.801111,2784,2493
pretrain,13,31,37840,0.789826,0.782493,0.797297,0.807778,3214,2883
pretrain,13,36,38160,0.787149,0.779841,0.794595,0.805556,3684,3288
pretrain,13,41,38480,0.787149,0.785146,0.789189,0.806667,4116,3660
pretrain,13,47,38844,0.785810,0.782493,0.789189,0.800000,4589,4098
pretrain,14,1,38908,0.788487,0.782493,0.794595,0.801111,71,81
pretrain,14,6,39228,0.791165,0.782493,0.800000,0.803333,448,455
pretrain,14,11,39548,0.791165,0.774536,0.808108,0.807778,930,860
pretrain,14,16,39868,0.788487,0.771883,0.805405,0.811111,1333,1222
pretrain,14,21,40188,0.792503,0.761273,0.824324,0.808889,1679,1547
pretrain,14,26,40508,0.789826,0.758621,0.821622,0.816667,1991,1874
pretrain,14,31,40828,0.791165,0.758621,0.824324,0.813333,2283,2198
pretrain,14,36,41148,0.789826,0.750663,0.829730,0.812222,2586,2535
pretrain,14,41,41468,0.787149,0.740053,0.835135,0.812222,2891,2884
pretrain,14,47,41832,0.793842,0.745358,0.843243,0.810000,3236,3163
pretrain,15,1,41896,0.797858,0.753316,0.843243,0.808889,48,45
pretrain,15,6,42216,0.791165,0.745358,0.837838,0.811111,312,260
pretrain,15,11,42536,0.793842,0.745358,0.843243,0.811111,603,473
pretrain,15,16,42856,0.796519,0.753316,0.840541,0.811111,850,694
pretrain,15,21,43176,0.795181,0.761273,0.829730,0.807778,1196,953
pretrain,15,26,43496,0.797858,0.766578,0.829730,0.807778,1527,1246
pretrain,15,31,43816,0.793842,0.769231,0.818919,0.810000,1862,1527
pretrain,15,36,44136,0.799197,0.787798,0.810811,0.805556,2129,1757
pretrain,15,41,44456,0.792503,0.779841,0.805405,0.810000,2352,1951
pretrain,15,47,44820,0.795181,0.785146,0.805405,0.811111,2646,2245
pretrain,16,1,44884,0.789826,0.779841,0.800000,0.812222,49,34
pretrain,16,6,45204,0.795181,0.785146,0.805405,0.811111,296,214
pretrain,16,11,45524,0.792503,0.777188,0.808108,0.807778,534,384
pretrain,16,16,45844,0.789826,0.777188,0.802703,0.807778,781,597
pretrain,16,21,46164,0.789826,0.774536,0.805405,0.811111,1051,840
pretrain,16,26,46484,0.788487,0.774536,0.802703,0.808889,1285,1045
pretrain,16,31,46804,0.788487,0.774536,0.802703,0.812222,1466,1190
pretrain,16,36,47124,0.788487,0.777188,0.800000,0.815556,1641,1305
pretrain,16,41,47444,0.787149,0.777188,0.797297,0.810000,1831,1425
pretrain,16,47,47808,0.787149,0.777188,0.797297,0.813333,2090,1593
pretrain,17,1,47872,0.785810,0.774536,0.797297,0.811111,41,29
pretrain,17,6,48192,0.785810,0.774536,0.797297,0.808889,202,177
pretrain,17,11,48512,0.783133,0.774536,0.791892,0.807778,343,325
pretrain,17,16,48832,0.787149,0.782493,0.791892,0.810000,505,451
pretrain,17,21,49152,0.791165,0.774536,0.808108,0.810000,667,572
pretrain,17,26,49472,0.791165,0.779841,0.802703,0.808889,818,704
pretrain,17,31,49792,0.784471,0.769231,0.800000,0.810000,969,847
pretrain,17,36,50112,0.783133,0.769231,0.797297,0.812222,1115,975
pretrain,17,41,50432,0.789826,0.779841,0.800000,0.811111,1273,1113
pretrain,17,47,50796,0.791165,0.785146,0.797297,0.810000,1457,1260
pretrain,18,1,50860,0.792503,0.782493,0.802703,0.812222,21,14
pretrain,18,6,51180,0.785810,0.771883,0.800000,0.812222,159,121
pretrain,18,11,51500,0.789826,0.782493,0.797297,0.808889,263,233
pretrain,18,16,51820,0.788487,0.785146,0.791892,0.808889,354,331
pretrain,18,21,52140,0.793842,0.785146,0.802703,0.811111,468,446
pretrain,18,26,52460,0.788487,0.782493,0.794595,0.806667,558,530
pretrain,18,31,52780,0.788487,0.782493,0.794595,0.811111,633,603
pretrain,18,36,53100,0.792503,0.779841,0.805405,0.808889,739,684
pretrain,18,41,53420,0.793842,0.779841,0.808108,0.806667,833,771
pretrain,18,47,53784,0.792503,0.785146,0.800000,0.808889,981,879
pretrain,19,1,53848,0.791165,0.782493,0.800000,0.811111,20,17
pretrain,19,6,54168,0.793842,0.785146,0.802703,0.812222,130,75
pretrain,19,11,54488,0.791165,0.785146,0.797297,0.806667,203,137
pretrain,19,16,54808,0.787149,0.777188,0.797297,0.810000,281,197
pretrain,19,21,55128,0.787149,0.771883,0.802703,0.813333,375,274
pretrain,19,26,55448,0.783133,0.769231,0.797297,0.812222,456,322
pretrain,19,31,55768,0.791165,0.777188,0.805405,0.811111,530,373
pretrain,19,36,56088,0.785810,0.774536,0.797297,0.815556,597,437
pretrain,19,41,56408,0.787149,0.779841,0.794595,0.812222,656,494
pretrain,19,47,56772,0.788487,0.777188,0.800000,0.811111,732,572
pretrain,20,1,56836,0.792503,0.782493,0.802703,0.813333,14,12
pretrain,20,6,57156,0.791165,0.782493,0.800000,0.811111,73,64
pretrain,20,11,57476,0.788487,0.779841,0.797297,0.808889,143,115
pretrain,20,16,57796,0.789826,0.777188,0.802703,0.811111,204,186
pretrain,20,21,58116,0.795181,0.785146,0.805405,0.813333,271,244
pretrain,20,26,58436,0.788487,0.779841,0.797297,0.813333,335,335
pretrain,20,31,58756,0.792503,0.782493,0.802703,0.813333,395,408
pretrain,20,36,59076,0.793842,0.785146,0.802703,0.812222,453,453
pretrain,20,41,59396,0.792503,0.785146,0.800000,0.815556,512,489
pretrain,20,47,59760,0.792503,0.785146,0.800000,0.813333,589,554
