Phase,Epoch,Train_Loss,Val_Accuracy,Class0_Accuracy,Class1_Accuracy,Test_Accuracy,learning_rate
pretrain,1,0.710822,0.504749,1.000000,0.000000,0.499471,0.00010000
pretrain,2,0.695594,0.495251,0.000000,1.000000,0.500529,0.00009945
pretrain,3,0.690413,0.496608,0.002688,1.000000,0.500529,0.00009780
pretrain,4,0.675058,0.712347,0.524194,0.904110,0.694180,0.00009510
pretrain,5,0.579985,0.766621,0.685484,0.849315,0.735450,0.00009141
pretrain,6,0.473410,0.770692,0.900538,0.638356,0.719577,0.00008682
pretrain,7,0.467249,0.776119,0.637097,0.917808,0.739683,0.00008145
pretrain,8,0.433377,0.785617,0.715054,0.857534,0.776720,0.00007543
pretrain,9,0.415422,0.801900,0.782258,0.821918,0.773545,0.00006891
pretrain,10,0.435520,0.791045,0.825269,0.756164,0.789418,0.00006204
pretrain,11,0.403010,0.792402,0.774194,0.810959,0.782011,0.00005500
pretrain,12,0.390715,0.795115,0.750000,0.841096,0.778836,0.00004796
pretrain,13,0.387951,0.801900,0.774194,0.830137,0.770370,0.00004109
pretrain,14,0.386114,0.808684,0.768817,0.849315,0.782011,0.00003457
pretrain,15,0.387119,0.797829,0.766129,0.830137,0.773545,0.00002855
pretrain,16,0.375715,0.797829,0.715054,0.882192,0.772487,0.00002318
pretrain,17,0.379279,0.792402,0.736559,0.849315,0.778836,0.00001859
pretrain,18,0.372449,0.797829,0.760753,0.835616,0.776720,0.00001490
pretrain,19,0.369666,0.796472,0.760753,0.832877,0.778836,0.00001220
pretrain,20,0.364283,0.788331,0.752688,0.824658,0.772487,0.00001055
