Phase,Epoch,Train_Loss,Val_Accuracy,Class0_Accuracy,Class1_Accuracy,Test_Accuracy,learning_rate
pretrain,1,0.704983,0.497965,0.000000,1.000000,0.488889,0.00010000
pretrain,2,0.695146,0.499322,0.002703,1.000000,0.489947,0.00009945
pretrain,3,0.693458,0.511533,0.027027,1.000000,0.498413,0.00009780
pretrain,4,0.692896,0.575305,0.275676,0.877384,0.591534,0.00009510
pretrain,5,0.692130,0.660787,0.589189,0.732970,0.666667,0.00009141
pretrain,6,0.689052,0.671642,0.581081,0.762943,0.694180,0.00008682
pretrain,7,0.681554,0.713704,0.718919,0.708447,0.718519,0.00008145
pretrain,8,0.650523,0.770692,0.797297,0.743869,0.759788,0.00007543
pretrain,9,0.574188,0.778833,0.821622,0.735695,0.782011,0.00006891
pretrain,10,0.511734,0.776119,0.743243,0.809264,0.795767,0.00006204
pretrain,11,0.489556,0.789688,0.800000,0.779292,0.787302,0.00005500
pretrain,12,0.479263,0.791045,0.805405,0.776567,0.793651,0.00004796
pretrain,13,0.458837,0.795115,0.816216,0.773842,0.802116,0.00004109
pretrain,14,0.453400,0.796472,0.808108,0.784741,0.800000,0.00003457
pretrain,15,0.451588,0.800543,0.821622,0.779292,0.807407,0.00002855
pretrain,16,0.453524,0.799186,0.827027,0.771117,0.807407,0.00002318
pretrain,17,0.445775,0.797829,0.816216,0.779292,0.807407,0.00001859
pretrain,18,0.445958,0.797829,0.821622,0.773842,0.808466,0.00001490
pretrain,19,0.440639,0.801900,0.824324,0.779292,0.809524,0.00001220
pretrain,20,0.441956,0.797829,0.816216,0.779292,0.811640,0.00001055
