Phase,Epoch,BatchIdx,SamplesSeen,Val_Accuracy,Class0_Accuracy,Class1_Accuracy,Test_Accuracy,LTP_crossings,LTD_crossings
pretrain,1,1,64,0.496608,0.000000,1.000000,0.493122,0,0
pretrain,1,6,384,0.496608,0.000000,1.000000,0.493122,0,0
pretrain,1,11,704,0.496608,0.000000,1.000000,0.493122,0,0
pretrain,1,16,1024,0.496608,0.000000,1.000000,0.493122,188,421
pretrain,1,21,1344,0.496608,0.000000,1.000000,0.493122,11152,13054
pretrain,1,26,1664,0.496608,0.000000,1.000000,0.493122,22029,24979
pretrain,1,31,1984,0.497965,0.002695,1.000000,0.493122,32862,32855
pretrain,1,36,2304,0.495251,0.000000,0.997268,0.494180,39747,37461
pretrain,1,41,2624,0.580733,0.207547,0.959016,0.572487,45590,40545
pretrain,1,47,2953,0.503392,1.000000,0.000000,0.506878,51955,44301
pretrain,2,1,3017,0.503392,1.000000,0.000000,0.506878,892,511
pretrain,2,6,3337,0.503392,1.000000,0.000000,0.506878,4225,2695
pretrain,2,11,3657,0.503392,1.000000,0.000000,0.506878,6489,4264
pretrain,2,16,3977,0.503392,1.000000,0.000000,0.506878,9160,5706
pretrain,2,21,4297,0.503392,1.000000,0.000000,0.506878,11206,7093
pretrain,2,26,4617,0.503392,1.000000,0.000000,0.506878,13068,8292
pretrain,2,31,4937,0.503392,1.000000,0.000000,0.506878,15020,9377
pretrain,2,36,5257,0.503392,1.000000,0.000000,0.506878,17021,10547
pretrain,2,41,5577,0.503392,1.000000,0.000000,0.506878,19133,11674
pretrain,2,47,5906,0.503392,1.000000,0.000000,0.506878,21584,12854
pretrain,3,1,5970,0.503392,1.000000,0.000000,0.506878,451,203
pretrain,3,6,6290,0.503392,1.000000,0.000000,0.506878,2267,1119
pretrain,3,11,6610,0.503392,1.000000,0.000000,0.506878,3658,1905
pretrain,3,16,6930,0.503392,1.000000,0.000000,0.506878,4954,2545
pretrain,3,21,7250,0.503392,1.000000,0.000000,0.506878,6122,3090
pretrain,3,26,7570,0.503392,1.000000,0.000000,0.506878,7243,3589
pretrain,3,31,7890,0.503392,1.000000,0.000000,0.506878,8256,3936
pretrain,3,36,8210,0.503392,1.000000,0.000000,0.506878,9292,4247
pretrain,3,41,8530,0.503392,1.000000,0.000000,0.506878,10175,4497
pretrain,3,47,8859,0.503392,1.000000,0.000000,0.506878,11320,4860
pretrain,4,1,8923,0.503392,1.000000,0.000000,0.506878,271,63
pretrain,4,6,9243,0.503392,1.000000,0.000000,0.506878,1557,418
pretrain,4,11,9563,0.503392,1.000000,0.000000,0.506878,3318,873
pretrain,4,16,9883,0.503392,1.000000,0.000000,0.506878,5721,1397
pretrain,4,21,10203,0.503392,1.000000,0.000000,0.506878,8287,2071
pretrain,4,26,10523,0.503392,1.000000,0.000000,0.506878,10950,2692
pretrain,4,31,10843,0.503392,1.000000,0.000000,0.506878,13627,3546
pretrain,4,36,11163,0.503392,1.000000,0.000000,0.506878,16451,4413
pretrain,4,41,11483,0.503392,1.000000,0.000000,0.506878,19664,5293
pretrain,4,47,11812,0.503392,1.000000,0.000000,0.507937,24617,6493
pretrain,5,1,11876,0.503392,1.000000,0.000000,0.506878,804,203
pretrain,5,6,12196,0.503392,1.000000,0.000000,0.506878,4762,1229
pretrain,5,11,12516,0.503392,1.000000,0.000000,0.508995,9362,2472
pretrain,5,16,12836,0.503392,1.000000,0.000000,0.508995,14808,3842
