Phase,Epoch,BatchIdx,SamplesSeen,Val_Accuracy,Class0_Accuracy,Class1_Accuracy,Test_Accuracy,LTP_crossings,LTD_crossings
pretrain,1,1,64,0.497965,0.000000,1.000000,0.488889,0,0
pretrain,1,6,384,0.497965,0.000000,1.000000,0.488889,0,0
pretrain,1,11,704,0.516961,0.237838,0.798365,0.508995,0,13753
pretrain,1,16,1024,0.537313,0.205405,0.871935,0.512169,1,32592
pretrain,1,21,1344,0.531886,0.981081,0.079019,0.538624,852,44589
pretrain,1,26,1664,0.502035,1.000000,0.000000,0.511111,3691,56991
pretrain,1,31,1984,0.502035,1.000000,0.000000,0.511111,6614,67429
pretrain,1,36,2304,0.502035,1.000000,0.000000,0.511111,10103,76731
pretrain,1,41,2624,0.502035,1.000000,0.000000,0.511111,12975,85127
pretrain,1,47,2953,0.550882,0.951351,0.147139,0.552381,16105,92755
pretrain,2,1,3017,0.553596,0.940541,0.163488,0.550265,387,1108
pretrain,2,6,3337,0.622795,0.845946,0.397820,0.586243,2213,5976
pretrain,2,11,3657,0.651289,0.754054,0.547684,0.629630,3695,10478
pretrain,2,16,3977,0.654003,0.621622,0.686649,0.646561,4961,14651
pretrain,2,21,4297,0.670285,0.645946,0.694823,0.662434,6110,18705
pretrain,2,26,4617,0.675712,0.689189,0.662125,0.661376,7284,21950
pretrain,2,31,4937,0.678426,0.754054,0.602180,0.682540,8739,25067
pretrain,2,36,5257,0.658073,0.824324,0.490463,0.673016,10135,28229
pretrain,2,41,5577,0.670285,0.816216,0.523161,0.680423,11494,31450
pretrain,2,47,5906,0.691995,0.681081,0.702997,0.680423,13278,35612
pretrain,3,1,5970,0.691995,0.632432,0.752044,0.677249,440,825
pretrain,3,6,6290,0.663501,0.486486,0.841962,0.674074,2322,4775
pretrain,3,11,6610,0.675712,0.491892,0.861035,0.677249,4411,8979
pretrain,3,16,6930,0.720488,0.862162,0.577657,0.719577,7113,14173
pretrain,3,21,7250,0.668928,0.935135,0.400545,0.676190,9353,19006
pretrain,3,26,7570,0.757123,0.727027,0.787466,0.730159,11802,24585
pretrain,3,31,7890,0.740841,0.624324,0.858311,0.736508,14317,30203
pretrain,3,36,8210,0.757123,0.686486,0.828338,0.754497,17072,36451
pretrain,3,41,8530,0.766621,0.816216,0.716621,0.760847,19805,42572
pretrain,3,47,8859,0.762551,0.681081,0.844687,0.762963,24033,50722
pretrain,4,1,8923,0.742198,0.570270,0.915531,0.721693,742,1482
pretrain,4,6,9243,0.735414,0.556757,0.915531,0.730159,3335,7127
pretrain,4,11,9563,0.742198,0.905405,0.577657,0.737566,6793,13481
pretrain,4,16,9883,0.773406,0.875676,0.670300,0.762963,9603,18859
pretrain,4,21,10203,0.732700,0.537838,0.929155,0.723810,13760,25937
pretrain,4,26,10523,0.754410,0.602703,0.907357,0.742857,16194,30749
pretrain,4,31,10843,0.776119,0.810811,0.741144,0.767196,19284,36741
pretrain,4,36,11163,0.773406,0.894595,0.651226,0.757672,21775,42283
pretrain,4,41,11483,0.766621,0.894595,0.637602,0.764021,23371,46097
pretrain,4,47,11812,0.786974,0.862162,0.711172,0.784127,25669,50914
pretrain,5,1,11876,0.793758,0.848649,0.738420,0.787302,449,888
pretrain,5,6,12196,0.765265,0.667568,0.863760,0.774603,2658,5481
pretrain,5,11,12516,0.772049,0.678378,0.866485,0.779894,4181,9024
pretrain,5,16,12836,0.784261,0.800000,0.768392,0.792593,6063,13092
pretrain,5,21,13156,0.778833,0.859459,0.697548,0.774603,8472,17372
pretrain,5,26,13476,0.773406,0.859459,0.686649,0.779894,10274,20801
pretrain,5,31,13796,0.780190,0.848649,0.711172,0.775661,12058,24018
pretrain,5,36,14116,0.788331,0.775676,0.801090,0.795767,14317,27305
pretrain,5,41,14436,0.761194,0.662162,0.861035,0.787302,16344,30718
pretrain,5,47,14765,0.770692,0.743243,0.798365,0.795767,18946,35536
pretrain,6,1,14829,0.780190,0.789189,0.771117,0.801058,456,848
pretrain,6,6,15149,0.788331,0.859459,0.716621,0.786243,2472,4977
pretrain,6,11,15469,0.805970,0.821622,0.790191,0.797884,5183,9628
pretrain,6,16,15789,0.781547,0.751351,0.811989,0.785185,7647,14048
pretrain,6,21,16109,0.792402,0.778378,0.806540,0.780952,9435,17305
pretrain,6,26,16429,0.807327,0.813514,0.801090,0.794709,11271,20514
pretrain,6,31,16749,0.808684,0.835135,0.782016,0.800000,13224,23553
pretrain,6,36,17069,0.796472,0.859459,0.732970,0.807407,15010,26132
pretrain,6,41,17389,0.800543,0.872973,0.727520,0.802116,16558,28517
pretrain,6,47,17718,0.805970,0.802703,0.809264,0.794709,18699,31372
pretrain,7,1,17782,0.808684,0.802703,0.814714,0.793651,291,424
pretrain,7,6,18102,0.807327,0.835135,0.779292,0.805291,2019,2844
pretrain,7,11,18422,0.788331,0.883784,0.692098,0.793651,3809,5509
pretrain,7,16,18742,0.788331,0.883784,0.692098,0.790476,5224,7803
pretrain,7,21,19062,0.785617,0.813514,0.757493,0.793651,6680,10056
pretrain,7,26,19382,0.786974,0.745946,0.828338,0.794709,8138,12371
pretrain,7,31,19702,0.793758,0.705405,0.882834,0.794709,9252,14254
pretrain,7,36,20022,0.784261,0.686486,0.882834,0.793651,10376,15984
pretrain,7,41,20342,0.786974,0.708108,0.866485,0.796825,11688,17889
pretrain,7,47,20671,0.784261,0.797297,0.771117,0.806349,13892,21015
pretrain,8,1,20735,0.781547,0.813514,0.749319,0.800000,324,494
pretrain,8,6,21055,0.763908,0.864865,0.662125,0.800000,1865,2834
pretrain,8,11,21375,0.782904,0.881081,0.683924,0.802116,3275,4852
pretrain,8,16,21695,0.782904,0.851351,0.713896,0.809524,4913,7177
pretrain,8,21,22015,0.811398,0.829730,0.792916,0.811640,6728,9758
pretrain,8,26,22335,0.808684,0.791892,0.825613,0.807407,8360,12126
pretrain,8,31,22655,0.807327,0.770270,0.844687,0.803175,9452,14100
pretrain,8,36,22975,0.808684,0.775676,0.841962,0.806349,10487,15928
pretrain,8,41,23295,0.808684,0.783784,0.833787,0.809524,11591,17810
pretrain,8,47,23624,0.807327,0.805405,0.809264,0.807407,13146,20352
pretrain,9,1,23688,0.801900,0.805405,0.798365,0.809524,284,490
pretrain,9,6,24008,0.800543,0.816216,0.784741,0.820106,1742,3049
pretrain,9,11,24328,0.801900,0.813514,0.790191,0.815873,2999,5257
pretrain,9,16,24648,0.797829,0.802703,0.792916,0.814815,4078,7243
pretrain,9,21,24968,0.799186,0.805405,0.792916,0.811640,5247,8983
pretrain,9,26,25288,0.789688,0.797297,0.782016,0.815873,6362,10609
pretrain,9,31,25608,0.792402,0.800000,0.784741,0.812698,7283,12132
pretrain,9,36,25928,0.805970,0.813514,0.798365,0.810582,8240,13535
pretrain,9,41,26248,0.803256,0.845946,0.760218,0.825397,9400,15082
pretrain,9,47,26577,0.791045,0.840541,0.741144,0.821164,10550,16856
pretrain,10,1,26641,0.793758,0.837838,0.749319,0.822222,180,242
pretrain,10,6,26961,0.801900,0.813514,0.790191,0.819048,1019,1583
pretrain,10,11,27281,0.811398,0.794595,0.828338,0.811640,1937,2996
pretrain,10,16,27601,0.808684,0.778378,0.839237,0.813757,2791,4229
pretrain,10,21,27921,0.803256,0.781081,0.825613,0.815873,3672,5536
pretrain,10,26,28241,0.796472,0.786486,0.806540,0.824339,4535,6848
pretrain,10,31,28561,0.799186,0.824324,0.773842,0.823280,5463,8113
pretrain,10,36,28881,0.789688,0.835135,0.743869,0.815873,6278,9243
pretrain,10,41,29201,0.793758,0.845946,0.741144,0.821164,6945,10365
pretrain,10,47,29530,0.797829,0.851351,0.743869,0.827513,7792,11779
pretrain,11,1,29594,0.789688,0.832432,0.746594,0.826455,145,256
pretrain,11,6,29914,0.791045,0.821622,0.760218,0.825397,890,1634
pretrain,11,11,30234,0.793758,0.816216,0.771117,0.822222,1551,2939
pretrain,11,16,30554,0.793758,0.821622,0.765668,0.817989,2311,4197
pretrain,11,21,30874,0.795115,0.832432,0.757493,0.819048,2924,5267
pretrain,11,26,31194,0.799186,0.840541,0.757493,0.816931,3513,6211
pretrain,11,31,31514,0.793758,0.840541,0.746594,0.813757,3983,7084
pretrain,11,36,31834,0.799186,0.845946,0.752044,0.819048,4530,8103
pretrain,11,41,32154,0.803256,0.840541,0.765668,0.825397,5189,9263
pretrain,11,47,32483,0.800543,0.805405,0.795640,0.823280,6124,10897
pretrain,12,1,32547,0.797829,0.789189,0.806540,0.821164,157,282
