Phase,Epoch,Train_Loss,Val_Accuracy,Class0_Accuracy,Class1_Accuracy,Test_Accuracy,learning_rate
pretrain,1,0.715856,0.504685,1.000000,0.000000,0.501111,0.00010000
pretrain,2,0.698072,0.504685,1.000000,0.000000,0.501111,0.00009945
pretrain,3,0.693268,0.504685,1.000000,0.000000,0.501111,0.00009780
pretrain,4,0.692388,0.504685,1.000000,0.000000,0.501111,0.00009510
pretrain,5,0.691338,0.504685,1.000000,0.000000,0.501111,0.00009141
pretrain,6,0.686671,0.580991,0.992042,0.162162,0.571111,0.00008682
pretrain,7,0.645931,0.753681,0.864721,0.640541,0.752222,0.00008145
pretrain,8,0.524678,0.759036,0.907162,0.608108,0.763333,0.00007543
pretrain,9,0.493077,0.773762,0.724138,0.824324,0.782222,0.00006891
pretrain,10,0.448726,0.779116,0.755968,0.802703,0.785556,0.00006204
pretrain,11,0.437961,0.787149,0.793103,0.781081,0.796667,0.00005500
pretrain,12,0.420282,0.789826,0.766578,0.813514,0.793333,0.00004796
pretrain,13,0.406984,0.787149,0.777188,0.797297,0.805556,0.00004109
pretrain,14,0.405797,0.789826,0.771883,0.808108,0.807778,0.00003457
pretrain,15,0.393504,0.793842,0.787798,0.800000,0.805556,0.00002855
pretrain,16,0.386384,0.792503,0.769231,0.816216,0.812222,0.00002318
pretrain,17,0.384021,0.791165,0.769231,0.813514,0.812222,0.00001859
pretrain,18,0.381641,0.797858,0.782493,0.813514,0.810000,0.00001490
pretrain,19,0.378091,0.796519,0.782493,0.810811,0.812222,0.00001220
pretrain,20,0.378514,0.788487,0.777188,0.800000,0.807778,0.00001055
