Phase,Epoch,BatchIdx,SamplesSeen,Val_Accuracy,Class0_Accuracy,Class1_Accuracy,Test_Accuracy,LTP_crossings,LTD_crossings
pretrain,1,1,64,0.502035,1.000000,0.000000,0.511111,0,0
pretrain,1,6,384,0.502035,1.000000,0.000000,0.512169,0,0
pretrain,1,11,704,0.502035,1.000000,0.000000,0.511111,0,0
pretrain,1,16,1024,0.502035,1.000000,0.000000,0.511111,3,0
pretrain,1,21,1344,0.504749,1.000000,0.005450,0.512169,1959,928
pretrain,1,26,1664,0.583446,0.310811,0.858311,0.603175,5901,4390
pretrain,1,31,1984,0.575305,0.235135,0.918256,0.594709,10467,7575
pretrain,1,36,2304,0.626866,0.702703,0.550409,0.653968,14377,10484
pretrain,1,41,2624,0.572592,0.929730,0.212534,0.589418,17722,13180
pretrain,1,47,2953,0.548168,0.943243,0.149864,0.564021,21059,16746
pretrain,2,1,3017,0.556309,0.945946,0.163488,0.567196,558,646
pretrain,2,6,3337,0.563094,0.932432,0.190736,0.572487,3309,3524
pretrain,2,11,3657,0.587517,0.910811,0.261580,0.590476,5732,5790
pretrain,2,16,3977,0.616011,0.856757,0.373297,0.624339,8066,8024
pretrain,2,21,4297,0.633650,0.794595,0.471390,0.663492,10682,10315
pretrain,2,26,4617,0.645862,0.700000,0.591281,0.677249,13282,12571
pretrain,2,31,4937,0.635007,0.516216,0.754768,0.660317,15882,14989
pretrain,2,36,5257,0.620081,0.467568,0.773842,0.661376,18218,17157
pretrain,2,41,5577,0.603799,0.381081,0.828338,0.643386,20428,19384
pretrain,2,47,5906,0.606513,0.332432,0.882834,0.641270,23060,22559
pretrain,3,1,5970,0.602442,0.335135,0.871935,0.638095,421,517
pretrain,3,6,6290,0.610583,0.364865,0.858311,0.643386,2691,3290
pretrain,3,11,6610,0.610583,0.359459,0.863760,0.647619,5309,6502
pretrain,3,16,6930,0.636364,0.435135,0.839237,0.668783,7782,9637
pretrain,3,21,7250,0.689281,0.686486,0.692098,0.703704,10619,13038
pretrain,3,26,7570,0.715061,0.716216,0.713896,0.715344,13558,16314
pretrain,3,31,7890,0.713704,0.629730,0.798365,0.712169,16731,19806
pretrain,3,36,8210,0.746269,0.789189,0.702997,0.746032,20618,23599
pretrain,3,41,8530,0.712347,0.924324,0.498638,0.735450,25849,27587
pretrain,3,47,8859,0.753053,0.697297,0.809264,0.764021,31738,32087
pretrain,4,1,8923,0.738128,0.605405,0.871935,0.750265,983,862
pretrain,4,6,9243,0.746269,0.648649,0.844687,0.767196,5180,4814
pretrain,4,11,9563,0.740841,0.856757,0.623978,0.744974,10062,9200
pretrain,4,16,9883,0.735414,0.894595,0.574932,0.742857,14210,13721
pretrain,4,21,10203,0.731343,0.559459,0.904632,0.761905,19216,19199
pretrain,4,26,10523,0.732700,0.562162,0.904632,0.758730,23264,23664
pretrain,4,31,10843,0.759837,0.770270,0.749319,0.776720,27117,28262
pretrain,4,36,11163,0.755767,0.775676,0.735695,0.779894,30452,32304
pretrain,4,41,11483,0.761194,0.767568,0.754768,0.786243,33773,35841
pretrain,4,47,11812,0.761194,0.797297,0.724796,0.776720,37629,39792
pretrain,5,1,11876,0.761194,0.805405,0.716621,0.779894,682,604
pretrain,5,6,12196,0.772049,0.791892,0.752044,0.782011,4005,3564
pretrain,5,11,12516,0.774763,0.735135,0.814714,0.794709,7050,6320
pretrain,5,16,12836,0.767978,0.727027,0.809264,0.798942,10020,8932
pretrain,5,21,13156,0.769335,0.827027,0.711172,0.782011,12965,11905
pretrain,5,26,13476,0.785617,0.778378,0.792916,0.794709,15529,14814
pretrain,5,31,13796,0.776119,0.759459,0.792916,0.794709,17698,17220
pretrain,5,36,14116,0.774763,0.743243,0.806540,0.796825,20284,19707
pretrain,5,41,14436,0.774763,0.735135,0.814714,0.803175,22861,21856
pretrain,5,47,14765,0.784261,0.805405,0.762943,0.812698,26052,24303
pretrain,6,1,14829,0.769335,0.821622,0.716621,0.808466,594,527
pretrain,6,6,15149,0.762551,0.862162,0.662125,0.793651,3125,2647
pretrain,6,11,15469,0.772049,0.770270,0.773842,0.811640,5434,4759
pretrain,6,16,15789,0.776119,0.651351,0.901907,0.794709,7917,7388
pretrain,6,21,16109,0.774763,0.662162,0.888283,0.795767,9567,9236
pretrain,6,26,16429,0.769335,0.745946,0.792916,0.800000,11904,11637
pretrain,6,31,16749,0.762551,0.859459,0.664850,0.807407,14141,14294
pretrain,6,36,17069,0.759837,0.862162,0.656676,0.805291,15533,16233
pretrain,6,41,17389,0.770692,0.832432,0.708447,0.812698,17140,18157
pretrain,6,47,17718,0.767978,0.702703,0.833787,0.796825,19880,21022
pretrain,7,1,17782,0.767978,0.683784,0.852861,0.794709,442,464
pretrain,7,6,18102,0.769335,0.637838,0.901907,0.782011,2048,2149
pretrain,7,11,18422,0.774763,0.651351,0.899183,0.792593,3678,3633
pretrain,7,16,18742,0.777476,0.718919,0.836512,0.805291,6227,5641
pretrain,7,21,19062,0.774763,0.808108,0.741144,0.814815,8750,7893
pretrain,7,26,19382,0.769335,0.835135,0.702997,0.806349,10646,9503
pretrain,7,31,19702,0.774763,0.856757,0.692098,0.808466,11992,10765
pretrain,7,36,20022,0.772049,0.835135,0.708447,0.811640,13197,11903
pretrain,7,41,20342,0.773406,0.789189,0.757493,0.817989,14587,13140
pretrain,7,47,20671,0.773406,0.716216,0.831063,0.821164,16590,14767
pretrain,8,1,20735,0.772049,0.710811,0.833787,0.816931,259,221
pretrain,8,6,21055,0.774763,0.710811,0.839237,0.816931,1368,1260
pretrain,8,11,21375,0.776119,0.710811,0.841962,0.820106,2544,2201
pretrain,8,16,21695,0.776119,0.710811,0.841962,0.820106,3683,3273
pretrain,8,21,22015,0.773406,0.710811,0.836512,0.817989,4859,4342
pretrain,8,26,22335,0.772049,0.729730,0.814714,0.816931,6117,5413
pretrain,8,31,22655,0.769335,0.756757,0.782016,0.820106,7638,6689
pretrain,8,36,22975,0.772049,0.778378,0.765668,0.813757,8879,7906
pretrain,8,41,23295,0.778833,0.805405,0.752044,0.811640,10075,9105
pretrain,8,47,23624,0.780190,0.810811,0.749319,0.817989,11440,10363
pretrain,9,1,23688,0.782904,0.813514,0.752044,0.822222,224,203
pretrain,9,6,24008,0.782904,0.800000,0.765668,0.815873,1387,1250
pretrain,9,11,24328,0.780190,0.775676,0.784741,0.822222,2524,2411
pretrain,9,16,24648,0.786974,0.775676,0.798365,0.826455,3752,3649
pretrain,9,21,24968,0.785617,0.772973,0.798365,0.819048,4852,4817
pretrain,9,26,25288,0.785617,0.767568,0.803815,0.819048,5825,5731
pretrain,9,31,25608,0.785617,0.751351,0.820163,0.821164,6818,6665
pretrain,9,36,25928,0.784261,0.748649,0.820163,0.819048,7718,7495
pretrain,9,41,26248,0.792402,0.748649,0.836512,0.816931,8543,8418
pretrain,9,47,26577,0.785617,0.737838,0.833787,0.815873,9584,9613
pretrain,10,1,26641,0.786974,0.740541,0.833787,0.817989,162,191
pretrain,10,6,26961,0.781547,0.732432,0.831063,0.815873,982,1099
pretrain,10,11,27281,0.786974,0.748649,0.825613,0.814815,1750,2059
pretrain,10,16,27601,0.784261,0.764865,0.803815,0.816931,2632,3019
pretrain,10,21,27921,0.782904,0.778378,0.787466,0.819048,3467,3901
pretrain,10,26,28241,0.788331,0.791892,0.784741,0.817989,4285,4682
pretrain,10,31,28561,0.786974,0.800000,0.773842,0.817989,4950,5452
pretrain,10,36,28881,0.782904,0.797297,0.768392,0.813757,5656,6275
pretrain,10,41,29201,0.785617,0.802703,0.768392,0.823280,6340,7046
pretrain,10,47,29530,0.799186,0.810811,0.787466,0.820106,7265,7961
pretrain,11,1,29594,0.797829,0.802703,0.792916,0.816931,133,177
pretrain,11,6,29914,0.797829,0.786486,0.809264,0.817989,1000,1073
pretrain,11,11,30234,0.799186,0.772973,0.825613,0.816931,1708,1853
pretrain,11,16,30554,0.795115,0.762162,0.828338,0.813757,2302,2501
pretrain,11,21,30874,0.795115,0.759459,0.831063,0.816931,2850,3140
pretrain,11,26,31194,0.793758,0.754054,0.833787,0.816931,3514,3749
pretrain,11,31,31514,0.797829,0.759459,0.836512,0.823280,4157,4438
