Phase,Epoch,Train_Loss,Val_Accuracy,Class0_Accuracy,Class1_Accuracy,Test_Accuracy,learning_rate
pretrain,1,0.696524,0.518318,1.000000,0.027397,0.504762,0.00010000
pretrain,2,0.692576,0.601085,0.892473,0.304110,0.582011,0.00009945
pretrain,3,0.665527,0.766621,0.682796,0.852055,0.715344,0.00009780
pretrain,4,0.562647,0.792402,0.733871,0.852055,0.733333,0.00009510
pretrain,5,0.481944,0.805970,0.768817,0.843836,0.761905,0.00009141
pretrain,6,0.440612,0.792402,0.723118,0.863014,0.762963,0.00008682
pretrain,7,0.424514,0.807327,0.739247,0.876712,0.767196,0.00008145
pretrain,8,0.412858,0.811398,0.784946,0.838356,0.774603,0.00007543
pretrain,9,0.399389,0.814111,0.763441,0.865753,0.766138,0.00006891
pretrain,10,0.398843,0.795115,0.830645,0.758904,0.769312,0.00006204
pretrain,11,0.382621,0.815468,0.787634,0.843836,0.782011,0.00005500
pretrain,12,0.370944,0.808684,0.798387,0.819178,0.776720,0.00004796
pretrain,13,0.370941,0.811398,0.768817,0.854795,0.771429,0.00004109
pretrain,14,0.372681,0.808684,0.811828,0.805479,0.778836,0.00003457
pretrain,15,0.360556,0.811398,0.787634,0.835616,0.772487,0.00002855
pretrain,16,0.369316,0.815468,0.793011,0.838356,0.769312,0.00002318
pretrain,17,0.355749,0.819539,0.793011,0.846575,0.769312,0.00001859
pretrain,18,0.360591,0.815468,0.787634,0.843836,0.767196,0.00001490
pretrain,19,0.349991,0.816825,0.784946,0.849315,0.768254,0.00001220
pretrain,20,0.346270,0.818182,0.782258,0.854795,0.774603,0.00001055
