Phase,Epoch,Train_Loss,Val_Accuracy,Class0_Accuracy,Class1_Accuracy,Test_Accuracy,learning_rate
pretrain,1,0.699485,0.546811,0.965054,0.120548,0.532275,0.00010000
pretrain,2,0.689993,0.568521,0.922043,0.208219,0.548148,0.00009945
pretrain,3,0.670934,0.778833,0.873656,0.682192,0.723810,0.00009780
pretrain,4,0.560876,0.789688,0.876344,0.701370,0.731217,0.00009510
pretrain,5,0.482219,0.808684,0.744624,0.873973,0.769312,0.00009141
pretrain,6,0.434587,0.819539,0.803763,0.835616,0.789418,0.00008682
pretrain,7,0.426531,0.815468,0.811828,0.819178,0.773545,0.00008145
pretrain,8,0.413135,0.820896,0.784946,0.857534,0.771429,0.00007543
pretrain,9,0.398339,0.812754,0.771505,0.854795,0.778836,0.00006891
pretrain,10,0.390512,0.804613,0.827957,0.780822,0.777778,0.00006204
pretrain,11,0.379034,0.812754,0.798387,0.827397,0.785185,0.00005500
pretrain,12,0.374435,0.810041,0.825269,0.794521,0.784127,0.00004796
pretrain,13,0.361806,0.807327,0.774194,0.841096,0.770370,0.00004109
pretrain,14,0.364320,0.800543,0.814516,0.786301,0.776720,0.00003457
pretrain,15,0.357808,0.804613,0.784946,0.824658,0.776720,0.00002855
pretrain,16,0.359659,0.799186,0.798387,0.800000,0.776720,0.00002318
pretrain,17,0.357214,0.803256,0.795699,0.810959,0.773545,0.00001859
pretrain,18,0.356862,0.804613,0.793011,0.816438,0.768254,0.00001490
pretrain,19,0.341861,0.805970,0.790323,0.821918,0.770370,0.00001220
pretrain,20,0.350728,0.807327,0.787634,0.827397,0.773545,0.00001055
