Phase,Epoch,Train_Loss,Val_Accuracy,Class0_Accuracy,Class1_Accuracy,Test_Accuracy,learning_rate
pretrain,1,0.702798,0.595658,0.854054,0.335150,0.602116,0.00010000
pretrain,2,0.691901,0.502035,1.000000,0.000000,0.513228,0.00009945
pretrain,3,0.678098,0.755767,0.851351,0.659401,0.739683,0.00009780
pretrain,4,0.580169,0.778833,0.835135,0.722071,0.774603,0.00009510
pretrain,5,0.488116,0.791045,0.902703,0.678474,0.794709,0.00009141
pretrain,6,0.475341,0.784261,0.691892,0.877384,0.793651,0.00008682
pretrain,7,0.479588,0.804613,0.743243,0.866485,0.801058,0.00008145
pretrain,8,0.452844,0.803256,0.735135,0.871935,0.804233,0.00007543
pretrain,9,0.432978,0.791045,0.878378,0.702997,0.814815,0.00006891
pretrain,10,0.415981,0.810041,0.794595,0.825613,0.813757,0.00006204
pretrain,11,0.411802,0.801900,0.800000,0.803815,0.822222,0.00005500
pretrain,12,0.407909,0.803256,0.832432,0.773842,0.824339,0.00004796
pretrain,13,0.392066,0.811398,0.829730,0.792916,0.825397,0.00004109
pretrain,14,0.385401,0.799186,0.808108,0.790191,0.827513,0.00003457
pretrain,15,0.379857,0.801900,0.821622,0.782016,0.826455,0.00002855
pretrain,16,0.381627,0.799186,0.816216,0.782016,0.826455,0.00002318
pretrain,17,0.371092,0.795115,0.813514,0.776567,0.832804,0.00001859
pretrain,18,0.374380,0.795115,0.821622,0.768392,0.834921,0.00001490
pretrain,19,0.368129,0.800543,0.827027,0.773842,0.833862,0.00001220
pretrain,20,0.362544,0.799186,0.816216,0.782016,0.832804,0.00001055
