Phase,Epoch,BatchIdx,SamplesSeen,Val_Accuracy,Class0_Accuracy,Class1_Accuracy,Test_Accuracy,LTP_crossings,LTD_crossings
pretrain,1,1,64,0.489824,0.913978,0.057534,0.489947,0,0
pretrain,1,6,384,0.489824,0.935484,0.035616,0.493122,0,0
pretrain,1,11,704,0.487110,0.927419,0.038356,0.489947,0,0
pretrain,1,16,1024,0.487110,0.927419,0.038356,0.492063,0,0
pretrain,1,21,1344,0.492537,0.940860,0.035616,0.487831,0,0
pretrain,1,26,1664,0.489824,0.948925,0.021918,0.488889,0,0
pretrain,1,31,1984,0.496608,0.948925,0.035616,0.491005,0,0
pretrain,1,36,2304,0.496608,0.954301,0.030137,0.489947,0,0
pretrain,1,41,2624,0.492537,0.951613,0.024658,0.487831,0,0
pretrain,1,47,2953,0.500678,0.965054,0.027397,0.491005,0,0
pretrain,2,1,3017,0.496608,0.959677,0.024658,0.489947,0,0
pretrain,2,6,3337,0.499322,0.959677,0.030137,0.488889,0,0
pretrain,2,11,3657,0.496608,0.959677,0.024658,0.491005,0,3
pretrain,2,16,3977,0.497965,0.959677,0.027397,0.488889,0,32
pretrain,2,21,4297,0.496608,0.962366,0.021918,0.493122,11,105
pretrain,2,26,4617,0.495251,0.962366,0.019178,0.493122,47,246
pretrain,2,31,4937,0.503392,0.983871,0.013699,0.494180,125,670
pretrain,2,36,5257,0.500678,0.983871,0.008219,0.497354,264,994
pretrain,2,41,5577,0.506106,0.991935,0.010959,0.497354,442,1233
pretrain,2,47,5906,0.507463,1.000000,0.005479,0.499471,824,1469
pretrain,3,1,5970,0.506106,1.000000,0.002740,0.499471,69,50
pretrain,3,6,6290,0.506106,1.000000,0.002740,0.499471,302,441
pretrain,3,11,6610,0.504749,1.000000,0.000000,0.499471,482,749
pretrain,3,16,6930,0.504749,1.000000,0.000000,0.499471,655,944
pretrain,3,21,7250,0.504749,1.000000,0.000000,0.499471,825,1100
pretrain,3,26,7570,0.504749,1.000000,0.000000,0.499471,1011,1222
pretrain,3,31,7890,0.504749,1.000000,0.000000,0.499471,1125,1335
pretrain,3,36,8210,0.504749,1.000000,0.000000,0.499471,1238,1431
pretrain,3,41,8530,0.504749,1.000000,0.000000,0.499471,1365,1534
pretrain,3,47,8859,0.504749,1.000000,0.000000,0.499471,1516,1647
pretrain,4,1,8923,0.504749,1.000000,0.000000,0.499471,17,21
pretrain,4,6,9243,0.504749,1.000000,0.000000,0.499471,110,111
pretrain,4,11,9563,0.504749,1.000000,0.000000,0.499471,248,229
pretrain,4,16,9883,0.504749,1.000000,0.000000,0.499471,389,376
pretrain,4,21,10203,0.504749,1.000000,0.000000,0.499471,534,518
pretrain,4,26,10523,0.504749,1.000000,0.000000,0.499471,681,634
pretrain,4,31,10843,0.504749,1.000000,0.000000,0.499471,825,725
pretrain,4,36,11163,0.506106,1.000000,0.002740,0.498413,955,830
pretrain,4,41,11483,0.512890,1.000000,0.016438,0.499471,1096,921
pretrain,4,47,11812,0.507463,0.997312,0.008219,0.500529,1257,1037
pretrain,5,1,11876,0.508820,0.997312,0.010959,0.500529,27,19
pretrain,5,6,12196,0.508820,0.997312,0.010959,0.502646,152,86
pretrain,5,11,12516,0.510176,1.000000,0.010959,0.502646,278,179
pretrain,5,16,12836,0.512890,1.000000,0.016438,0.500529,471,289
pretrain,5,21,13156,0.512890,1.000000,0.016438,0.502646,694,445
pretrain,5,26,13476,0.511533,1.000000,0.013699,0.502646,1001,595
pretrain,5,31,13796,0.518318,0.997312,0.030137,0.510053,1320,770
pretrain,5,36,14116,0.526459,0.997312,0.046575,0.518519,1541,961
pretrain,5,41,14436,0.544098,0.991935,0.087671,0.526984,1791,1144
pretrain,5,47,14765,0.552239,0.983871,0.112329,0.536508,2145,1451
pretrain,6,1,14829,0.550882,0.978495,0.115068,0.538624,62,44
pretrain,6,6,15149,0.576662,0.973118,0.172603,0.558730,352,334
pretrain,6,11,15469,0.605156,0.951613,0.252055,0.574603,684,602
pretrain,6,16,15789,0.613297,0.943548,0.276712,0.587302,1052,951
pretrain,6,21,16109,0.640434,0.927419,0.347945,0.604233,1510,1297
pretrain,6,26,16429,0.651289,0.876344,0.421918,0.627513,1977,1679
pretrain,6,31,16749,0.674355,0.838710,0.506849,0.638095,2549,2133
pretrain,6,36,17069,0.687924,0.817204,0.556164,0.632804,3180,2751
pretrain,6,41,17389,0.694708,0.793011,0.594521,0.651852,3874,3545
pretrain,6,47,17718,0.704206,0.801075,0.605479,0.650794,4840,4676
pretrain,7,1,17782,0.701493,0.801075,0.600000,0.657143,142,158
pretrain,7,6,18102,0.704206,0.801075,0.605479,0.655026,964,949
pretrain,7,11,18422,0.701493,0.811828,0.589041,0.653968,1795,1969
pretrain,7,16,18742,0.694708,0.806452,0.580822,0.653968,2600,2899
pretrain,7,21,19062,0.709634,0.803763,0.613699,0.650794,3612,3900
pretrain,7,26,19382,0.713704,0.806452,0.619178,0.664550,4741,4827
pretrain,7,31,19702,0.716418,0.795699,0.635616,0.658201,6001,5774
pretrain,7,36,20022,0.725916,0.798387,0.652055,0.671958,7681,6655
pretrain,7,41,20342,0.721845,0.806452,0.635616,0.685714,8901,7561
pretrain,7,47,20671,0.740841,0.793011,0.687671,0.700529,10316,8563
pretrain,8,1,20735,0.740841,0.784946,0.695890,0.707937,259,208
pretrain,8,6,21055,0.747626,0.741935,0.753425,0.721693,1453,1084
pretrain,8,11,21375,0.746269,0.741935,0.750685,0.724868,2726,1995
pretrain,8,16,21695,0.747626,0.787634,0.706849,0.724868,4008,2948
pretrain,8,21,22015,0.751696,0.817204,0.684932,0.723810,5169,3971
pretrain,8,26,22335,0.758480,0.827957,0.687671,0.726984,6373,5203
pretrain,8,31,22655,0.754410,0.827957,0.679452,0.729101,7691,6638
pretrain,8,36,22975,0.763908,0.819892,0.706849,0.747090,9293,8210
pretrain,8,41,23295,0.770692,0.830645,0.709589,0.746032,10938,9870
pretrain,8,47,23624,0.773406,0.879032,0.665753,0.738624,12583,11736
pretrain,9,1,23688,0.773406,0.895161,0.649315,0.732275,264,311
pretrain,9,6,24008,0.770692,0.868280,0.671233,0.736508,1551,1740
pretrain,9,11,24328,0.781547,0.833333,0.728767,0.762963,2818,3095
pretrain,9,16,24648,0.797829,0.787634,0.808219,0.754497,4082,4414
pretrain,9,21,24968,0.792402,0.717742,0.868493,0.735450,5503,5765
pretrain,9,26,25288,0.782904,0.688172,0.879452,0.721693,6722,7043
pretrain,9,31,25608,0.800543,0.768817,0.832877,0.747090,7957,8376
pretrain,9,36,25928,0.803256,0.849462,0.756164,0.757672,9245,9689
pretrain,9,41,26248,0.800543,0.838710,0.761644,0.755556,10174,10841
pretrain,9,47,26577,0.804613,0.760753,0.849315,0.753439,11522,12306
pretrain,10,1,26641,0.803256,0.750000,0.857534,0.749206,248,249
pretrain,10,6,26961,0.788331,0.674731,0.904110,0.720635,1405,1452
pretrain,10,11,27281,0.789688,0.672043,0.909589,0.723810,2085,2386
pretrain,10,16,27601,0.795115,0.712366,0.879452,0.740741,2785,3253
pretrain,10,21,27921,0.801900,0.803763,0.800000,0.775661,3913,4431
pretrain,10,26,28241,0.792402,0.844086,0.739726,0.758730,4713,5251
pretrain,10,31,28561,0.795115,0.852151,0.736986,0.755556,5232,5868
pretrain,10,36,28881,0.799186,0.857527,0.739726,0.757672,5631,6481
pretrain,10,41,29201,0.807327,0.833333,0.780822,0.767196,6193,7210
pretrain,10,47,29530,0.812754,0.809140,0.816438,0.776720,6929,8269
pretrain,11,1,29594,0.811398,0.801075,0.821918,0.774603,88,230
pretrain,11,6,29914,0.816825,0.795699,0.838356,0.773545,625,1093
pretrain,11,11,30234,0.824966,0.814516,0.835616,0.769312,1114,1759
pretrain,11,16,30554,0.824966,0.806452,0.843836,0.765079,1531,2306
pretrain,11,21,30874,0.822252,0.798387,0.846575,0.776720,1977,2832
pretrain,11,26,31194,0.824966,0.803763,0.846575,0.770370,2328,3251
pretrain,11,31,31514,0.822252,0.803763,0.841096,0.768254,2674,3684
pretrain,11,36,31834,0.826323,0.814516,0.838356,0.770370,3029,4122
pretrain,11,41,32154,0.824966,0.833333,0.816438,0.765079,3418,4549
pretrain,11,47,32483,0.827680,0.846774,0.808219,0.761905,3890,5050
pretrain,12,1,32547,0.826323,0.846774,0.805479,0.764021,69,76
pretrain,12,6,32867,0.827680,0.841398,0.813699,0.767196,377,434
pretrain,12,11,33187,0.827680,0.836022,0.819178,0.770370,672,790
pretrain,12,16,33507,0.826323,0.825269,0.827397,0.766138,952,1104
pretrain,12,21,33827,0.822252,0.817204,0.827397,0.770370,1235,1429
pretrain,12,26,34147,0.820896,0.809140,0.832877,0.774603,1552,1755
