Phase,Epoch,Train_Loss,Val_Accuracy,Class0_Accuracy,Class1_Accuracy,Test_Accuracy,learning_rate
pretrain,1,0.695582,0.579376,0.223720,0.939891,0.550265,0.00010000
pretrain,2,0.690042,0.671642,0.495957,0.849727,0.661376,0.00009945
pretrain,3,0.667931,0.735414,0.746631,0.724044,0.776720,0.00009780
pretrain,4,0.568981,0.679783,0.956873,0.398907,0.703704,0.00009510
pretrain,5,0.540590,0.729986,0.886792,0.571038,0.752381,0.00009141
pretrain,6,0.473424,0.753053,0.819407,0.685792,0.791534,0.00008682
pretrain,7,0.438346,0.761194,0.784367,0.737705,0.804233,0.00008145
pretrain,8,0.430419,0.773406,0.784367,0.762295,0.821164,0.00007543
pretrain,9,0.411592,0.778833,0.814016,0.743169,0.819048,0.00006891
pretrain,10,0.397989,0.782904,0.816712,0.748634,0.817989,0.00006204
pretrain,11,0.399695,0.786974,0.849057,0.724044,0.807407,0.00005500
pretrain,12,0.386003,0.789688,0.822102,0.756831,0.815873,0.00004796
pretrain,13,0.384051,0.781547,0.838275,0.724044,0.812698,0.00004109
pretrain,14,0.381533,0.786974,0.822102,0.751366,0.815873,0.00003457
pretrain,15,0.379721,0.796472,0.822102,0.770492,0.820106,0.00002855
pretrain,16,0.379711,0.793758,0.824798,0.762295,0.815873,0.00002318
pretrain,17,0.376066,0.797829,0.835580,0.759563,0.821164,0.00001859
pretrain,18,0.365936,0.803256,0.835580,0.770492,0.820106,0.00001490
pretrain,19,0.372632,0.797829,0.819407,0.775956,0.821164,0.00001220
pretrain,20,0.367229,0.803256,0.824798,0.781421,0.820106,0.00001055
