Phase,Epoch,BatchIdx,SamplesSeen,Val_Accuracy,Class0_Accuracy,Class1_Accuracy,Test_Accuracy,LTP_crossings,LTD_crossings
pretrain,1,1,64,0.520750,0.986737,0.045946,0.515556,0,0
pretrain,1,6,384,0.515395,0.984085,0.037838,0.512222,0,0
pretrain,1,11,704,0.511379,0.976127,0.037838,0.515556,0,0
pretrain,1,16,1024,0.519411,0.986737,0.043243,0.513333,1,1
pretrain,1,21,1344,0.548862,0.923077,0.167568,0.567778,1578,2181
pretrain,1,26,1664,0.552878,0.907162,0.191892,0.563333,4973,6437
pretrain,1,31,1984,0.609103,0.870027,0.343243,0.623333,7837,10656
pretrain,1,36,2304,0.638554,0.816976,0.456757,0.618889,10614,14649
pretrain,1,41,2624,0.621151,0.854111,0.383784,0.626667,12892,18010
pretrain,1,47,2988,0.619813,0.854111,0.381081,0.625556,15565,21420
pretrain,2,1,3052,0.626506,0.862069,0.386486,0.626667,484,514
pretrain,2,6,3372,0.625167,0.851459,0.394595,0.637778,2806,3201
pretrain,2,11,3692,0.658635,0.676393,0.640541,0.646667,5138,5791
pretrain,2,16,4012,0.670683,0.668435,0.672973,0.657778,7762,8316
pretrain,2,21,4332,0.668005,0.705570,0.629730,0.658889,10603,10845
pretrain,2,26,4652,0.665328,0.718833,0.610811,0.663333,13167,12981
pretrain,2,31,4972,0.673360,0.673740,0.672973,0.661111,15400,14945
pretrain,2,36,5292,0.680054,0.636605,0.724324,0.660000,17678,17357
pretrain,2,41,5612,0.674699,0.586207,0.764865,0.658889,19953,20090
pretrain,2,47,5976,0.692102,0.729443,0.654054,0.681111,22825,23455
pretrain,3,1,6040,0.677376,0.766578,0.586486,0.685556,520,599
pretrain,3,6,6360,0.674699,0.838196,0.508108,0.682222,3100,3392
pretrain,3,11,6680,0.682731,0.835544,0.527027,0.694444,5590,6327
pretrain,3,16,7000,0.694779,0.843501,0.543243,0.693333,8274,9333
pretrain,3,21,7320,0.721553,0.740053,0.702703,0.707778,11509,13058
pretrain,3,26,7640,0.713521,0.639257,0.789189,0.722222,15503,17196
pretrain,3,31,7960,0.724230,0.557029,0.894595,0.711111,19649,21637
pretrain,3,36,8280,0.713521,0.880637,0.543243,0.732222,24149,26753
pretrain,3,41,8600,0.749665,0.660477,0.840541,0.736667,28858,32355
pretrain,3,47,8964,0.736278,0.856764,0.613514,0.738889,34347,39239
pretrain,4,1,9028,0.724230,0.893899,0.551351,0.732222,936,1322
pretrain,4,6,9348,0.744311,0.782493,0.705405,0.733333,4889,6907
pretrain,4,11,9668,0.729585,0.580902,0.881081,0.718889,9016,12634
pretrain,4,16,9988,0.752343,0.782493,0.721622,0.734444,13807,18674
pretrain,4,21,10308,0.729585,0.907162,0.548649,0.738889,18017,23770
pretrain,4,26,10628,0.764391,0.755968,0.772973,0.743333,22119,29182
pretrain,4,31,10948,0.710843,0.461538,0.964865,0.682222,26716,35210
pretrain,4,36,11268,0.740295,0.538462,0.945946,0.712222,29298,38683
pretrain,4,41,11588,0.763052,0.848806,0.675676,0.755556,34338,43737
pretrain,4,47,11952,0.698795,0.968170,0.424324,0.698889,39702,49841
pretrain,5,1,12016,0.701473,0.970822,0.427027,0.700000,542,620
pretrain,5,6,12336,0.722892,0.931034,0.510811,0.715556,3339,3930
pretrain,5,11,12656,0.785810,0.798408,0.772973,0.726667,8351,9270
pretrain,5,16,12976,0.759036,0.657825,0.862162,0.725556,12639,14124
pretrain,5,21,13296,0.741633,0.602122,0.883784,0.722222,14934,17327
pretrain,5,26,13616,0.742972,0.599469,0.889189,0.723333,16487,19474
pretrain,5,31,13936,0.756359,0.641910,0.872973,0.730000,18178,21597
pretrain,5,36,14256,0.771084,0.697613,0.845946,0.728889,20414,24134
pretrain,5,41,14576,0.767068,0.726790,0.808108,0.735556,22916,26747
pretrain,5,47,14940,0.791165,0.795756,0.786486,0.746667,26417,30216
