Phase,Epoch,BatchIdx,SamplesSeen,Val_Accuracy,Class0_Accuracy,Class1_Accuracy,Test_Accuracy,LTP_crossings,LTD_crossings
pretrain,1,1,64,0.496608,0.000000,1.000000,0.493122,0,0
pretrain,1,6,384,0.496608,0.000000,1.000000,0.493122,0,0
pretrain,1,11,704,0.496608,0.000000,1.000000,0.493122,0,0
pretrain,1,16,1024,0.496608,0.000000,1.000000,0.493122,0,0
pretrain,1,21,1344,0.496608,0.000000,1.000000,0.493122,0,0
pretrain,1,26,1664,0.496608,0.000000,1.000000,0.493122,0,0
pretrain,1,31,1984,0.496608,0.000000,1.000000,0.493122,0,0
pretrain,1,36,2304,0.496608,0.000000,1.000000,0.493122,0,0
pretrain,1,41,2624,0.496608,0.000000,1.000000,0.493122,0,0
pretrain,1,47,2953,0.496608,0.000000,1.000000,0.493122,0,0
pretrain,2,1,3017,0.496608,0.000000,1.000000,0.493122,0,0
pretrain,2,6,3337,0.496608,0.000000,1.000000,0.493122,0,0
pretrain,2,11,3657,0.496608,0.000000,1.000000,0.493122,4,0
pretrain,2,16,3977,0.496608,0.000000,1.000000,0.493122,36,42
pretrain,2,21,4297,0.496608,0.000000,1.000000,0.493122,156,172
pretrain,2,26,4617,0.496608,0.000000,1.000000,0.493122,564,347
pretrain,2,31,4937,0.496608,0.000000,1.000000,0.493122,918,574
pretrain,2,36,5257,0.496608,0.000000,1.000000,0.493122,1319,805
pretrain,2,41,5577,0.496608,0.000000,1.000000,0.493122,1550,986
pretrain,2,47,5906,0.496608,0.000000,1.000000,0.493122,1821,1176
pretrain,3,1,5970,0.496608,0.000000,1.000000,0.493122,45,19
pretrain,3,6,6290,0.496608,0.000000,1.000000,0.493122,226,143
pretrain,3,11,6610,0.496608,0.000000,1.000000,0.493122,399,278
pretrain,3,16,6930,0.496608,0.000000,1.000000,0.493122,501,389
pretrain,3,21,7250,0.496608,0.000000,1.000000,0.493122,608,488
pretrain,3,26,7570,0.496608,0.000000,1.000000,0.493122,721,590
pretrain,3,31,7890,0.496608,0.000000,1.000000,0.493122,925,708
pretrain,3,36,8210,0.496608,0.000000,1.000000,0.493122,1101,820
pretrain,3,41,8530,0.496608,0.000000,1.000000,0.493122,1310,928
pretrain,3,47,8859,0.497965,0.002695,1.000000,0.493122,1591,1090
pretrain,4,1,8923,0.496608,0.000000,1.000000,0.493122,26,32
pretrain,4,6,9243,0.496608,0.000000,1.000000,0.493122,181,140
pretrain,4,11,9563,0.497965,0.002695,1.000000,0.493122,313,260
pretrain,4,16,9883,0.496608,0.000000,1.000000,0.497354,467,369
pretrain,4,21,10203,0.499322,0.005391,1.000000,0.495238,586,463
pretrain,4,26,10523,0.502035,0.010782,1.000000,0.497354,723,579
pretrain,4,31,10843,0.510176,0.029650,0.997268,0.515344,925,730
pretrain,4,36,11163,0.527815,0.067385,0.994536,0.525926,1137,873
pretrain,4,41,11483,0.531886,0.086253,0.983607,0.531217,1361,1026
pretrain,4,47,11812,0.550882,0.134771,0.972678,0.539683,1609,1247
pretrain,5,1,11876,0.553596,0.142857,0.969945,0.544974,56,35
pretrain,5,6,12196,0.624152,0.304582,0.948087,0.590476,360,229
pretrain,5,11,12516,0.671642,0.417790,0.928962,0.627513,771,429
pretrain,5,16,12836,0.679783,0.447439,0.915301,0.653968,1027,601
pretrain,5,21,13156,0.682497,0.450135,0.918033,0.638095,1178,765
pretrain,5,26,13476,0.689281,0.471698,0.909836,0.650794,1345,961
