Phase,Epoch,Train_Loss,Val_Accuracy,Class0_Accuracy,Class1_Accuracy,Test_Accuracy,learning_rate
pretrain,1,0.694342,0.548168,0.943243,0.149864,0.564021,0.00010000
pretrain,2,0.688615,0.606513,0.332432,0.882834,0.641270,0.00009945
pretrain,3,0.658153,0.753053,0.697297,0.809264,0.764021,0.00009780
pretrain,4,0.531804,0.761194,0.797297,0.724796,0.776720,0.00009510
pretrain,5,0.466758,0.784261,0.805405,0.762943,0.812698,0.00009141
pretrain,6,0.452131,0.767978,0.702703,0.833787,0.796825,0.00008682
pretrain,7,0.438738,0.773406,0.716216,0.831063,0.821164,0.00008145
pretrain,8,0.423355,0.780190,0.810811,0.749319,0.817989,0.00007543
pretrain,9,0.415770,0.785617,0.737838,0.833787,0.815873,0.00006891
pretrain,10,0.399670,0.799186,0.810811,0.787466,0.820106,0.00006204
pretrain,11,0.398666,0.797829,0.756757,0.839237,0.822222,0.00005500
pretrain,12,0.397207,0.810041,0.786486,0.833787,0.824339,0.00004796
pretrain,13,0.384972,0.792402,0.805405,0.779292,0.821164,0.00004109
pretrain,14,0.386926,0.797829,0.802703,0.792916,0.834921,0.00003457
pretrain,15,0.377423,0.796472,0.772973,0.820163,0.829630,0.00002855
pretrain,16,0.379100,0.804613,0.786486,0.822888,0.827513,0.00002318
pretrain,17,0.375961,0.804613,0.800000,0.809264,0.833862,0.00001859
pretrain,18,0.373024,0.801900,0.800000,0.803815,0.834921,0.00001490
pretrain,19,0.364118,0.799186,0.794595,0.803815,0.831746,0.00001220
pretrain,20,0.372772,0.800543,0.797297,0.803815,0.831746,0.00001055
