Phase,Epoch,Train_Loss,Val_Accuracy,Class0_Accuracy,Class1_Accuracy,Test_Accuracy,learning_rate
pretrain,1,0.698869,0.562249,0.917772,0.200000,0.575556,0.00010000
pretrain,2,0.692329,0.681392,0.734748,0.627027,0.660000,0.00009945
pretrain,3,0.685535,0.688086,0.612732,0.764865,0.667778,0.00009780
pretrain,4,0.664322,0.738956,0.748011,0.729730,0.732222,0.00009510
pretrain,5,0.586547,0.760375,0.740053,0.781081,0.735556,0.00009141
pretrain,6,0.478799,0.780455,0.740053,0.821622,0.747778,0.00008682
pretrain,7,0.437225,0.789826,0.798408,0.781081,0.750000,0.00008145
pretrain,8,0.422515,0.796519,0.824934,0.767568,0.753333,0.00007543
pretrain,9,0.408499,0.804552,0.824934,0.783784,0.753333,0.00006891
pretrain,10,0.399174,0.795181,0.782493,0.808108,0.743333,0.00006204
pretrain,11,0.393096,0.787149,0.745358,0.829730,0.747778,0.00005500
pretrain,12,0.389999,0.804552,0.806366,0.802703,0.751111,0.00004796
pretrain,13,0.386330,0.804552,0.790451,0.818919,0.754444,0.00004109
pretrain,14,0.386625,0.805890,0.779841,0.832432,0.754444,0.00003457
pretrain,15,0.380215,0.803213,0.785146,0.821622,0.756667,0.00002855
pretrain,16,0.375783,0.807229,0.790451,0.824324,0.756667,0.00002318
pretrain,17,0.377711,0.815261,0.814324,0.816216,0.751111,0.00001859
pretrain,18,0.372226,0.801874,0.785146,0.818919,0.754444,0.00001490
pretrain,19,0.370555,0.809906,0.798408,0.821622,0.750000,0.00001220
pretrain,20,0.371266,0.803213,0.798408,0.808108,0.752222,0.00001055
