Phase,Epoch,Train_Loss,Val_Accuracy,Class0_Accuracy,Class1_Accuracy,Test_Accuracy,learning_rate
pretrain,1,0.706397,0.504685,1.000000,0.000000,0.501111,0.00010000
pretrain,2,0.695620,0.504685,1.000000,0.000000,0.501111,0.00009945
pretrain,3,0.693151,0.495315,0.000000,1.000000,0.498889,0.00009780
pretrain,4,0.693227,0.504685,1.000000,0.000000,0.501111,0.00009510
pretrain,5,0.693410,0.563588,0.809019,0.313514,0.538889,0.00009141
pretrain,6,0.693228,0.580991,0.753316,0.405405,0.548889,0.00008682
pretrain,7,0.693093,0.568942,0.350133,0.791892,0.552222,0.00008145
pretrain,8,0.693146,0.591700,0.641910,0.540541,0.546667,0.00007543
pretrain,9,0.693041,0.500669,0.010610,1.000000,0.502222,0.00006891
pretrain,10,0.693174,0.558233,0.246684,0.875676,0.547778,0.00006204
pretrain,11,0.692962,0.528782,0.095491,0.970270,0.518889,0.00005500
pretrain,12,0.693008,0.590361,0.323607,0.862162,0.527778,0.00004796
pretrain,13,0.692905,0.563588,0.244032,0.889189,0.551111,0.00004109
pretrain,14,0.692605,0.515395,0.042440,0.997297,0.506667,0.00003457
pretrain,15,0.693116,0.547523,0.156499,0.945946,0.543333,0.00002855
pretrain,16,0.692675,0.528782,0.137931,0.927027,0.533333,0.00002318
pretrain,17,0.692873,0.527443,0.114058,0.948649,0.531111,0.00001859
pretrain,18,0.692833,0.531459,0.137931,0.932432,0.540000,0.00001490
pretrain,19,0.692861,0.539491,0.148541,0.937838,0.547778,0.00001220
pretrain,20,0.692737,0.538153,0.129973,0.954054,0.535556,0.00001055
