Phase,Epoch,Train_Loss,Val_Accuracy,Class0_Accuracy,Class1_Accuracy,Test_Accuracy,learning_rate
pretrain,1,0.712417,0.487282,0.806366,0.162162,0.487778,0.00010000
pretrain,2,0.696877,0.495315,0.000000,1.000000,0.498889,0.00009945
pretrain,3,0.694099,0.495315,0.000000,1.000000,0.498889,0.00009780
pretrain,4,0.691253,0.495315,0.000000,1.000000,0.498889,0.00009510
pretrain,5,0.682831,0.589023,0.196286,0.989189,0.578889,0.00009141
pretrain,6,0.610579,0.744311,0.941645,0.543243,0.705556,0.00008682
pretrain,7,0.506338,0.763052,0.620690,0.908108,0.726667,0.00008145
pretrain,8,0.479257,0.785810,0.846154,0.724324,0.735556,0.00007543
pretrain,9,0.429602,0.776439,0.923077,0.627027,0.726667,0.00006891
pretrain,10,0.444361,0.807229,0.769231,0.845946,0.757778,0.00006204
pretrain,11,0.416095,0.811245,0.814324,0.808108,0.755556,0.00005500
pretrain,12,0.403376,0.809906,0.766578,0.854054,0.744444,0.00004796
pretrain,13,0.394070,0.817938,0.848806,0.786486,0.747778,0.00004109
pretrain,14,0.388894,0.805890,0.790451,0.821622,0.752222,0.00003457
pretrain,15,0.380476,0.816600,0.803714,0.829730,0.755556,0.00002855
pretrain,16,0.377124,0.813922,0.811671,0.816216,0.760000,0.00002318
pretrain,17,0.372332,0.819277,0.824934,0.813514,0.755556,0.00001859
pretrain,18,0.376926,0.815261,0.819629,0.810811,0.756667,0.00001490
pretrain,19,0.372455,0.821954,0.827586,0.816216,0.758889,0.00001220
pretrain,20,0.369610,0.815261,0.822281,0.808108,0.754444,0.00001055
