Phase,Epoch,BatchIdx,SamplesSeen,Val_Accuracy,Class0_Accuracy,Class1_Accuracy,Test_Accuracy,LTP_crossings,LTD_crossings
pretrain,1,1,64,0.504685,1.000000,0.000000,0.501111,0,0
pretrain,1,6,384,0.504685,1.000000,0.000000,0.501111,0,0
pretrain,1,11,704,0.504685,1.000000,0.000000,0.501111,0,0
pretrain,1,16,1024,0.504685,1.000000,0.000000,0.501111,0,0
pretrain,1,21,1344,0.504685,1.000000,0.000000,0.501111,1175,561
pretrain,1,26,1664,0.504685,1.000000,0.000000,0.500000,4789,3277
pretrain,1,31,1984,0.504685,1.000000,0.000000,0.501111,8208,6434
pretrain,1,36,2304,0.507363,1.000000,0.005405,0.503333,11009,9481
pretrain,1,41,2624,0.504685,1.000000,0.000000,0.502222,13258,11996
pretrain,1,47,2988,0.504685,1.000000,0.000000,0.501111,15981,14885
pretrain,2,1,3052,0.504685,1.000000,0.000000,0.501111,358,415
pretrain,2,6,3372,0.504685,1.000000,0.000000,0.501111,2017,2490
pretrain,2,11,3692,0.504685,1.000000,0.000000,0.502222,3850,4441
pretrain,2,16,4012,0.503347,0.994695,0.002703,0.510000,5389,5923
pretrain,2,21,4332,0.516734,0.976127,0.048649,0.554444,6755,7385
pretrain,2,26,4652,0.555556,0.936340,0.167568,0.587778,8157,8934
pretrain,2,31,4972,0.605087,0.875332,0.329730,0.626667,9550,10617
pretrain,2,36,5292,0.627845,0.835544,0.416216,0.652222,10990,12331
pretrain,2,41,5612,0.619813,0.893899,0.340541,0.634444,12526,13985
pretrain,2,47,5976,0.637216,0.867374,0.402703,0.654444,14437,15811
pretrain,3,1,6040,0.639893,0.867374,0.408108,0.650000,396,301
pretrain,3,6,6360,0.669344,0.798408,0.537838,0.686667,2066,1664
pretrain,3,11,6680,0.692102,0.718833,0.664865,0.720000,3817,3055
pretrain,3,16,7000,0.702811,0.649867,0.756757,0.711111,5413,4605
pretrain,3,21,7320,0.700134,0.620690,0.781081,0.706667,7174,6245
pretrain,3,26,7640,0.708166,0.705570,0.710811,0.710000,9226,8128
pretrain,3,31,7960,0.700134,0.785146,0.613514,0.713333,11751,10544
pretrain,3,36,8280,0.697456,0.816976,0.575676,0.733333,14549,13537
pretrain,3,41,8600,0.724230,0.771883,0.675676,0.734444,17963,16651
pretrain,3,47,8964,0.732262,0.859416,0.602703,0.761111,23336,21416
pretrain,4,1,9028,0.714859,0.912467,0.513514,0.743333,885,912
pretrain,4,6,9348,0.721553,0.883289,0.556757,0.767778,5178,5610
pretrain,4,11,9668,0.684070,0.400531,0.972973,0.691111,10333,10761
pretrain,4,16,9988,0.752343,0.766578,0.737838,0.773333,14979,15802
pretrain,4,21,10308,0.693440,0.925729,0.456757,0.730000,20228,21766
pretrain,4,26,10628,0.737617,0.713528,0.762162,0.755556,26344,27643
pretrain,4,31,10948,0.737617,0.684350,0.791892,0.755556,30549,32661
pretrain,4,36,11268,0.746988,0.830239,0.662162,0.764444,34691,37704
pretrain,4,41,11588,0.753681,0.832891,0.672973,0.774444,38711,42683
pretrain,4,47,11952,0.761714,0.753316,0.770270,0.770000,43945,48700
pretrain,5,1,12016,0.756359,0.774536,0.737838,0.773333,676,762
pretrain,5,6,12336,0.759036,0.721485,0.797297,0.774444,4288,4393
pretrain,5,11,12656,0.764391,0.681698,0.848649,0.780000,8349,8382
pretrain,5,16,12976,0.752343,0.867374,0.635135,0.787778,11971,12801
pretrain,5,21,13296,0.749665,0.896552,0.600000,0.786667,15041,16045
pretrain,5,26,13616,0.759036,0.872679,0.643243,0.784444,17583,18788
pretrain,5,31,13936,0.777778,0.758621,0.797297,0.788889,20946,21890
pretrain,5,36,14256,0.760375,0.625995,0.897297,0.760000,23847,24694
pretrain,5,41,14576,0.772423,0.687003,0.859459,0.772222,26022,27496
pretrain,5,47,14940,0.761714,0.824934,0.697297,0.795556,29631,31891
pretrain,6,1,15004,0.768407,0.843501,0.691892,0.792222,428,619
pretrain,6,6,15324,0.768407,0.838196,0.697297,0.795556,2044,2823
pretrain,6,11,15644,0.789826,0.793103,0.786486,0.791111,3977,4972
pretrain,6,16,15964,0.780455,0.708223,0.854054,0.788889,6122,7219
pretrain,6,21,16284,0.773762,0.673740,0.875676,0.776667,7947,9239
pretrain,6,26,16604,0.777778,0.687003,0.870270,0.773333,9386,10932
pretrain,6,31,16924,0.787149,0.726790,0.848649,0.793333,10918,13133
pretrain,6,36,17244,0.791165,0.782493,0.800000,0.800000,12692,15360
pretrain,6,41,17564,0.783133,0.827586,0.737838,0.796667,14475,17471
pretrain,6,47,17928,0.781794,0.846154,0.716216,0.791111,16289,19674
pretrain,7,1,17992,0.783133,0.848806,0.716216,0.794444,264,316
pretrain,7,6,18312,0.793842,0.787798,0.800000,0.794444,2053,2352
pretrain,7,11,18632,0.769746,0.687003,0.854054,0.780000,4225,4657
pretrain,7,16,18952,0.767068,0.663130,0.872973,0.781111,5658,6383
pretrain,7,21,19272,0.772423,0.660477,0.886486,0.778889,6971,7892
pretrain,7,26,19592,0.771084,0.676393,0.867568,0.783333,8481,9361
pretrain,7,31,19912,0.781794,0.713528,0.851351,0.790000,10255,10969
pretrain,7,36,20232,0.797858,0.769231,0.827027,0.795556,11998,12811
pretrain,7,41,20552,0.807229,0.830239,0.783784,0.808889,13686,14464
pretrain,7,47,20916,0.791165,0.840849,0.740541,0.797778,15603,16116
pretrain,8,1,20980,0.781794,0.838196,0.724324,0.795556,307,250
pretrain,8,6,21300,0.787149,0.840849,0.732432,0.793333,1665,1421
pretrain,8,11,21620,0.792503,0.824934,0.759459,0.794444,3183,2733
pretrain,8,16,21940,0.797858,0.811671,0.783784,0.803333,4887,4132
pretrain,8,21,22260,0.807229,0.782493,0.832432,0.805556,6962,5627
pretrain,8,26,22580,0.800535,0.742706,0.859459,0.801111,8649,6921
pretrain,8,31,22900,0.796519,0.729443,0.864865,0.792222,9999,8043
pretrain,8,36,23220,0.796519,0.729443,0.864865,0.792222,11245,8985
pretrain,8,41,23540,0.795181,0.726790,0.864865,0.790000,12450,10036
pretrain,8,47,23904,0.807229,0.753316,0.862162,0.790000,13916,11388
pretrain,9,1,23968,0.805890,0.755968,0.856757,0.794444,209,215
pretrain,9,6,24288,0.804552,0.771883,0.837838,0.800000,1337,1360
pretrain,9,11,24608,0.797858,0.763926,0.832432,0.801111,2366,2380
pretrain,9,16,24928,0.796519,0.758621,0.835135,0.803333,3563,3502
pretrain,9,21,25248,0.800535,0.777188,0.824324,0.802222,4657,4639
pretrain,9,26,25568,0.805890,0.798408,0.813514,0.796667,5858,5698
