Phase,Epoch,BatchIdx,SamplesSeen,Val_Accuracy,Class0_Accuracy,Class1_Accuracy,Test_Accuracy,LTP_crossings,LTD_crossings
pretrain,1,1,64,0.504685,1.000000,0.000000,0.501111,0,0
pretrain,1,6,384,0.504685,1.000000,0.000000,0.501111,0,0
pretrain,1,11,704,0.504685,1.000000,0.000000,0.501111,0,0
pretrain,1,16,1024,0.504685,1.000000,0.000000,0.501111,2,20
pretrain,1,21,1344,0.504685,1.000000,0.000000,0.501111,7021,8308
pretrain,1,26,1664,0.504685,1.000000,0.000000,0.501111,18494,17613
pretrain,1,31,1984,0.504685,1.000000,0.000000,0.501111,27374,22889
pretrain,1,36,2304,0.504685,1.000000,0.000000,0.501111,34527,28295
pretrain,1,41,2624,0.504685,1.000000,0.000000,0.501111,39669,31623
pretrain,1,47,2988,0.487282,0.806366,0.162162,0.487778,43187,34423
pretrain,2,1,3052,0.456493,0.350133,0.564865,0.465556,589,399
pretrain,2,6,3372,0.495315,0.000000,1.000000,0.498889,2979,2656
pretrain,2,11,3692,0.495315,0.000000,1.000000,0.498889,5280,4922
pretrain,2,16,4012,0.495315,0.000000,1.000000,0.498889,6993,6306
pretrain,2,21,4332,0.495315,0.000000,1.000000,0.498889,8365,7483
pretrain,2,26,4652,0.495315,0.000000,1.000000,0.498889,9706,8586
pretrain,2,31,4972,0.495315,0.000000,1.000000,0.498889,10971,9810
pretrain,2,36,5292,0.495315,0.000000,1.000000,0.498889,12053,10964
pretrain,2,41,5612,0.495315,0.000000,1.000000,0.498889,12985,11810
pretrain,2,47,5976,0.495315,0.000000,1.000000,0.498889,13912,12629
pretrain,3,1,6040,0.495315,0.000000,1.000000,0.498889,137,117
pretrain,3,6,6360,0.495315,0.000000,1.000000,0.498889,837,745
pretrain,3,11,6680,0.495315,0.000000,1.000000,0.498889,1533,1330
pretrain,3,16,7000,0.495315,0.000000,1.000000,0.498889,2210,1854
pretrain,3,21,7320,0.495315,0.000000,1.000000,0.498889,2904,2369
pretrain,3,26,7640,0.495315,0.000000,1.000000,0.498889,3588,2877
pretrain,3,31,7960,0.495315,0.000000,1.000000,0.498889,4043,3337
pretrain,3,36,8280,0.495315,0.000000,1.000000,0.498889,4483,3830
pretrain,3,41,8600,0.495315,0.000000,1.000000,0.498889,4986,4291
pretrain,3,47,8964,0.495315,0.000000,1.000000,0.498889,5634,4715
pretrain,4,1,9028,0.495315,0.000000,1.000000,0.498889,103,62
pretrain,4,6,9348,0.495315,0.000000,1.000000,0.498889,663,480
pretrain,4,11,9668,0.495315,0.000000,1.000000,0.498889,1196,785
pretrain,4,16,9988,0.495315,0.000000,1.000000,0.498889,1701,1119
pretrain,4,21,10308,0.495315,0.000000,1.000000,0.498889,2240,1510
pretrain,4,26,10628,0.495315,0.000000,1.000000,0.498889,2703,1948
pretrain,4,31,10948,0.495315,0.000000,1.000000,0.498889,3207,2370
pretrain,4,36,11268,0.495315,0.000000,1.000000,0.498889,3943,2881
pretrain,4,41,11588,0.495315,0.000000,1.000000,0.498889,4464,3317
pretrain,4,47,11952,0.495315,0.000000,1.000000,0.498889,5241,3891
pretrain,5,1,12016,0.495315,0.000000,1.000000,0.498889,138,106
pretrain,5,6,12336,0.495315,0.000000,1.000000,0.498889,883,871
pretrain,5,11,12656,0.495315,0.000000,1.000000,0.498889,1719,1528
pretrain,5,16,12976,0.495315,0.000000,1.000000,0.498889,2523,2272
pretrain,5,21,13296,0.495315,0.000000,1.000000,0.498889,3428,3072
pretrain,5,26,13616,0.495315,0.000000,1.000000,0.498889,4480,4044
pretrain,5,31,13936,0.497992,0.005305,1.000000,0.498889,5726,5169
pretrain,5,36,14256,0.512718,0.037135,0.997297,0.513333,7068,6484
pretrain,5,41,14576,0.543507,0.098143,0.997297,0.537778,8770,8165
pretrain,5,47,14940,0.589023,0.196286,0.989189,0.578889,10933,10380
pretrain,6,1,15004,0.595716,0.222812,0.975676,0.604444,408,379
pretrain,6,6,15324,0.746988,0.840849,0.651351,0.727778,2798,2953
pretrain,6,11,15644,0.726908,0.599469,0.856757,0.703333,5145,5410
pretrain,6,16,15964,0.658635,0.371353,0.951351,0.653333,7649,8358
pretrain,6,21,16284,0.692102,0.506631,0.881081,0.702222,9748,11638
pretrain,6,26,16604,0.737617,0.676393,0.800000,0.718889,11931,15227
pretrain,6,31,16924,0.716198,0.557029,0.878378,0.721111,14410,18925
pretrain,6,36,17244,0.702811,0.477454,0.932432,0.701111,17179,22636
pretrain,6,41,17564,0.757697,0.907162,0.605405,0.732222,20613,27515
pretrain,6,47,17928,0.744311,0.941645,0.543243,0.705556,24623,33197
pretrain,7,1,17992,0.765730,0.880637,0.648649,0.741111,882,941
pretrain,7,6,18312,0.709505,0.477454,0.945946,0.701111,5326,5768
pretrain,7,11,18632,0.773762,0.816976,0.729730,0.746667,9256,10914
pretrain,7,16,18952,0.771084,0.896552,0.643243,0.732222,12550,14967
pretrain,7,21,19272,0.767068,0.777188,0.756757,0.741111,16044,18597
pretrain,7,26,19592,0.771084,0.726790,0.816216,0.741111,18984,21780
pretrain,7,31,19912,0.785810,0.867374,0.702703,0.742222,22020,25172
pretrain,7,36,20232,0.773762,0.896552,0.648649,0.736667,25342,28144
pretrain,7,41,20552,0.765730,0.628647,0.905405,0.734444,29422,31256
pretrain,7,47,20916,0.763052,0.620690,0.908108,0.726667,33405,34062
pretrain,8,1,20980,0.776439,0.665782,0.889189,0.748889,689,501
pretrain,8,6,21300,0.772423,0.920424,0.621622,0.728889,4347,3737
pretrain,8,11,21620,0.744311,0.938992,0.545946,0.710000,6371,5729
pretrain,8,16,21940,0.788487,0.891247,0.683784,0.741111,8481,7722
pretrain,8,21,22260,0.783133,0.769231,0.797297,0.735556,11237,10294
pretrain,8,26,22580,0.752343,0.604775,0.902703,0.733333,13838,12892
pretrain,8,31,22900,0.752343,0.607427,0.900000,0.731111,15362,14648
pretrain,8,36,23220,0.772423,0.673740,0.872973,0.743333,17069,16387
pretrain,8,41,23540,0.780455,0.753316,0.808108,0.740000,18934,18395
pretrain,8,47,23904,0.785810,0.846154,0.724324,0.735556,21280,20894
pretrain,9,1,23968,0.784471,0.848806,0.718919,0.736667,343,331
pretrain,9,6,24288,0.788487,0.859416,0.716216,0.737778,2043,2060
pretrain,9,11,24608,0.792503,0.848806,0.735135,0.740000,3736,3672
pretrain,9,16,24928,0.789826,0.793103,0.786486,0.747778,5226,5137
pretrain,9,21,25248,0.787149,0.779841,0.794595,0.740000,6427,6304
pretrain,9,26,25568,0.792503,0.774536,0.810811,0.742222,7532,7264
