Phase,Epoch,Train_Loss,Val_Accuracy,Class0_Accuracy,Class1_Accuracy,Test_Accuracy,learning_rate
pretrain,1,0.695367,0.578019,0.226415,0.934426,0.559788,0.00010000
pretrain,2,0.688904,0.674355,0.646900,0.702186,0.702646,0.00009945
pretrain,3,0.661370,0.739484,0.743935,0.734973,0.780952,0.00009780
pretrain,4,0.556710,0.663501,0.973046,0.349727,0.674074,0.00009510
pretrain,5,0.536586,0.728630,0.862534,0.592896,0.764021,0.00009141
pretrain,6,0.478760,0.748982,0.822102,0.674863,0.792593,0.00008682
pretrain,7,0.445641,0.759837,0.754717,0.765027,0.811640,0.00008145
pretrain,8,0.422231,0.769335,0.727763,0.811475,0.829630,0.00007543
pretrain,9,0.412985,0.781547,0.754717,0.808743,0.825397,0.00006891
pretrain,10,0.400684,0.781547,0.800539,0.762295,0.814815,0.00006204
pretrain,11,0.400760,0.777476,0.765499,0.789617,0.811640,0.00005500
pretrain,12,0.385360,0.782904,0.757412,0.808743,0.829630,0.00004796
pretrain,13,0.386317,0.789688,0.805930,0.773224,0.813757,0.00004109
pretrain,14,0.379803,0.789688,0.784367,0.795082,0.822222,0.00003457
pretrain,15,0.381214,0.791045,0.781671,0.800546,0.819048,0.00002855
pretrain,16,0.379490,0.796472,0.792453,0.800546,0.811640,0.00002318
pretrain,17,0.376732,0.800543,0.805930,0.795082,0.817989,0.00001859
pretrain,18,0.371435,0.797829,0.800539,0.795082,0.819048,0.00001490
pretrain,19,0.373317,0.799186,0.784367,0.814208,0.819048,0.00001220
pretrain,20,0.370820,0.803256,0.792453,0.814208,0.819048,0.00001055
