Phase,Epoch,Train_Loss,Val_Accuracy,Class0_Accuracy,Class1_Accuracy,Test_Accuracy,learning_rate
pretrain,1,0.704904,0.499322,0.002703,1.000000,0.488889,0.00010000
pretrain,2,0.693975,0.586160,0.486486,0.686649,0.597884,0.00009945
pretrain,3,0.691793,0.660787,0.689189,0.632153,0.675132,0.00009780
pretrain,4,0.686352,0.705563,0.745946,0.664850,0.704762,0.00009510
pretrain,5,0.659427,0.753053,0.870270,0.634877,0.748148,0.00009141
pretrain,6,0.576691,0.782904,0.810811,0.754768,0.782011,0.00008682
pretrain,7,0.507197,0.785617,0.889189,0.681199,0.778836,0.00008145
pretrain,8,0.474455,0.801900,0.762162,0.841962,0.800000,0.00007543
pretrain,9,0.452050,0.803256,0.832432,0.773842,0.805291,0.00006891
pretrain,10,0.442024,0.804613,0.810811,0.798365,0.806349,0.00006204
pretrain,11,0.441585,0.811398,0.824324,0.798365,0.805291,0.00005500
pretrain,12,0.440748,0.803256,0.818919,0.787466,0.811640,0.00004796
pretrain,13,0.426298,0.815468,0.818919,0.811989,0.810582,0.00004109
pretrain,14,0.423502,0.807327,0.797297,0.817439,0.804233,0.00003457
pretrain,15,0.418790,0.811398,0.818919,0.803815,0.809524,0.00002855
pretrain,16,0.424955,0.800543,0.813514,0.787466,0.807407,0.00002318
pretrain,17,0.415633,0.804613,0.813514,0.795640,0.806349,0.00001859
pretrain,18,0.418334,0.807327,0.818919,0.795640,0.806349,0.00001490
pretrain,19,0.410285,0.810041,0.821622,0.798365,0.809524,0.00001220
pretrain,20,0.412028,0.808684,0.813514,0.803815,0.809524,0.00001055
