Phase,Epoch,Train_Loss,Val_Accuracy,Class0_Accuracy,Class1_Accuracy,Test_Accuracy,learning_rate
pretrain,1,0.697819,0.637216,0.769231,0.502703,0.626667,0.00010000
pretrain,2,0.690495,0.650602,0.527851,0.775676,0.637778,0.00009945
pretrain,3,0.675791,0.696118,0.607427,0.786486,0.688889,0.00009780
pretrain,4,0.608317,0.732262,0.901857,0.559459,0.722222,0.00009510
pretrain,5,0.527024,0.769746,0.716180,0.824324,0.762222,0.00009141
pretrain,6,0.463561,0.783133,0.779841,0.786486,0.744444,0.00008682
pretrain,7,0.445325,0.789826,0.798408,0.781081,0.761111,0.00008145
pretrain,8,0.444436,0.799197,0.806366,0.791892,0.753333,0.00007543
pretrain,9,0.445323,0.795181,0.854111,0.735135,0.741111,0.00006891
pretrain,10,0.438238,0.793842,0.843501,0.743243,0.754444,0.00006204
pretrain,11,0.439949,0.784471,0.848806,0.718919,0.740000,0.00005500
pretrain,12,0.430701,0.787149,0.864721,0.708108,0.737778,0.00004796
pretrain,13,0.436663,0.788487,0.872679,0.702703,0.740000,0.00004109
pretrain,14,0.430569,0.780455,0.832891,0.727027,0.750000,0.00003457
pretrain,15,0.426782,0.785810,0.846154,0.724324,0.746667,0.00002855
pretrain,16,0.421474,0.780455,0.870027,0.689189,0.740000,0.00002318
pretrain,17,0.427548,0.772423,0.872679,0.670270,0.732222,0.00001859
pretrain,18,0.423032,0.763052,0.883289,0.640541,0.724444,0.00001490
pretrain,19,0.427075,0.763052,0.877984,0.645946,0.727778,0.00001220
pretrain,20,0.423285,0.763052,0.880637,0.643243,0.721111,0.00001055
