Phase,Epoch,Train_Loss,Val_Accuracy,Class0_Accuracy,Class1_Accuracy,Test_Accuracy,learning_rate
pretrain,1,0.708072,0.491180,0.000000,0.991781,0.502646,0.00010000
pretrain,2,0.696001,0.489824,0.000000,0.989041,0.497354,0.00009945
pretrain,3,0.693543,0.485753,0.008065,0.972603,0.494180,0.00009780
pretrain,4,0.693472,0.541384,0.836022,0.241096,0.499471,0.00009510
pretrain,5,0.693228,0.518318,0.811828,0.219178,0.500529,0.00009141
pretrain,6,0.693210,0.500678,0.586022,0.413699,0.487831,0.00008682
pretrain,7,0.693274,0.511533,0.922043,0.093151,0.486772,0.00008145
pretrain,8,0.693202,0.496608,0.696237,0.293151,0.496296,0.00007543
pretrain,9,0.693192,0.476255,0.241935,0.715068,0.493122,0.00006891
pretrain,10,0.693175,0.500678,0.663978,0.334247,0.518519,0.00006204
pretrain,11,0.693027,0.502035,0.951613,0.043836,0.505820,0.00005500
pretrain,12,0.693106,0.503392,0.962366,0.035616,0.506878,0.00004796
pretrain,13,0.693377,0.514247,0.924731,0.095890,0.496296,0.00004109
pretrain,14,0.693193,0.499322,0.615591,0.380822,0.496296,0.00003457
pretrain,15,0.693093,0.481682,0.161290,0.808219,0.493122,0.00002855
pretrain,16,0.693179,0.484396,0.268817,0.704110,0.488889,0.00002318
pretrain,17,0.693167,0.488467,0.454301,0.523288,0.495238,0.00001859
pretrain,18,0.693133,0.480326,0.524194,0.435616,0.491005,0.00001490
pretrain,19,0.693141,0.514247,0.438172,0.591781,0.502646,0.00001220
pretrain,20,0.693090,0.500678,0.526882,0.473973,0.505820,0.00001055
