Phase,Epoch,Train_Loss,Val_Accuracy,Class0_Accuracy,Class1_Accuracy,Test_Accuracy,learning_rate
pretrain,1,0.710706,0.504749,1.000000,0.000000,0.499471,0.00010000
pretrain,2,0.695665,0.495251,0.000000,1.000000,0.500529,0.00009945
pretrain,3,0.692293,0.495251,0.000000,1.000000,0.500529,0.00009780
pretrain,4,0.682923,0.567164,0.172043,0.969863,0.559788,0.00009510
pretrain,5,0.623112,0.765265,0.763441,0.767123,0.756614,0.00009141
pretrain,6,0.511879,0.746269,0.567204,0.928767,0.714286,0.00008682
pretrain,7,0.473888,0.747626,0.879032,0.613699,0.717460,0.00008145
pretrain,8,0.446586,0.776119,0.830645,0.720548,0.776720,0.00007543
pretrain,9,0.437875,0.788331,0.741935,0.835616,0.783069,0.00006891
pretrain,10,0.429139,0.782904,0.838710,0.726027,0.768254,0.00006204
pretrain,11,0.404540,0.784261,0.766129,0.802740,0.778836,0.00005500
pretrain,12,0.401156,0.791045,0.817204,0.764384,0.783069,0.00004796
pretrain,13,0.395338,0.796472,0.779570,0.813699,0.774603,0.00004109
pretrain,14,0.399740,0.795115,0.798387,0.791781,0.784127,0.00003457
pretrain,15,0.390565,0.788331,0.811828,0.764384,0.780952,0.00002855
pretrain,16,0.382691,0.788331,0.787634,0.789041,0.779894,0.00002318
pretrain,17,0.386650,0.797829,0.779570,0.816438,0.780952,0.00001859
pretrain,18,0.378202,0.799186,0.787634,0.810959,0.777778,0.00001490
pretrain,19,0.371480,0.796472,0.787634,0.805479,0.778836,0.00001220
pretrain,20,0.369872,0.795115,0.779570,0.810959,0.780952,0.00001055
