Phase,Epoch,Train_Loss,Val_Accuracy,Class0_Accuracy,Class1_Accuracy,Test_Accuracy,learning_rate
pretrain,1,0.705793,0.507463,0.027027,0.991826,0.488889,0.00010000
pretrain,2,0.697223,0.503392,0.032432,0.978202,0.493122,0.00009945
pretrain,3,0.693314,0.530529,0.202703,0.861035,0.516402,0.00009780
pretrain,4,0.693332,0.507463,0.081081,0.937330,0.488889,0.00009510
pretrain,5,0.693155,0.519674,0.224324,0.817439,0.494180,0.00009141
pretrain,6,0.693107,0.527815,0.943243,0.108992,0.517460,0.00008682
pretrain,7,0.692898,0.503392,0.943243,0.059946,0.516402,0.00008145
pretrain,8,0.692908,0.504749,0.935135,0.070845,0.518519,0.00007543
pretrain,9,0.693300,0.521031,0.918919,0.119891,0.529101,0.00006891
pretrain,10,0.693102,0.548168,0.627027,0.468665,0.562963,0.00006204
pretrain,11,0.693063,0.546811,0.824324,0.267030,0.546032,0.00005500
pretrain,12,0.692736,0.523745,0.870270,0.174387,0.536508,0.00004796
pretrain,13,0.693050,0.527815,0.881081,0.171662,0.548148,0.00004109
pretrain,14,0.693005,0.541384,0.848649,0.231608,0.552381,0.00003457
pretrain,15,0.692802,0.549525,0.875676,0.220708,0.532275,0.00002855
pretrain,16,0.692670,0.546811,0.918919,0.171662,0.533333,0.00002318
pretrain,17,0.692413,0.531886,0.943243,0.117166,0.522751,0.00001859
pretrain,18,0.692940,0.531886,0.929730,0.130790,0.523810,0.00001490
pretrain,19,0.692853,0.553596,0.940541,0.163488,0.523810,0.00001220
pretrain,20,0.692936,0.531886,0.921622,0.138965,0.521693,0.00001055
