Phase,Epoch,Train_Loss,Val_Accuracy,Class0_Accuracy,Class1_Accuracy,Test_Accuracy,learning_rate
pretrain,1,0.701421,0.504685,1.000000,0.000000,0.501111,0.00010000
pretrain,2,0.688562,0.676037,0.655172,0.697297,0.684444,0.00009945
pretrain,3,0.656127,0.736278,0.880637,0.589189,0.762222,0.00009780
pretrain,4,0.542071,0.769746,0.726790,0.813514,0.786667,0.00009510
pretrain,5,0.467511,0.788487,0.774536,0.802703,0.792222,0.00009141
pretrain,6,0.437354,0.797858,0.809019,0.786486,0.797778,0.00008682
pretrain,7,0.434950,0.796519,0.785146,0.808108,0.802222,0.00008145
pretrain,8,0.411629,0.797858,0.732095,0.864865,0.793333,0.00007543
pretrain,9,0.394628,0.801874,0.785146,0.818919,0.793333,0.00006891
pretrain,10,0.394611,0.819277,0.809019,0.829730,0.806667,0.00006204
pretrain,11,0.383008,0.812584,0.814324,0.810811,0.805556,0.00005500
pretrain,12,0.377041,0.809906,0.782493,0.837838,0.812222,0.00004796
pretrain,13,0.374472,0.797858,0.803714,0.791892,0.815556,0.00004109
pretrain,14,0.368725,0.804552,0.809019,0.800000,0.810000,0.00003457
pretrain,15,0.361569,0.808568,0.816976,0.800000,0.820000,0.00002855
pretrain,16,0.361862,0.809906,0.806366,0.813514,0.813333,0.00002318
pretrain,17,0.353364,0.807229,0.803714,0.810811,0.812222,0.00001859
pretrain,18,0.347678,0.805890,0.801061,0.810811,0.808889,0.00001490
pretrain,19,0.346293,0.807229,0.803714,0.810811,0.810000,0.00001220
pretrain,20,0.343426,0.811245,0.811671,0.810811,0.810000,0.00001055
