Phase,Epoch,Train_Loss,Val_Accuracy,Class0_Accuracy,Class1_Accuracy,Test_Accuracy,learning_rate
pretrain,1,0.700628,0.504749,1.000000,0.000000,0.499471,0.00010000
pretrain,2,0.682549,0.687924,0.534946,0.843836,0.648677,0.00009945
pretrain,3,0.586653,0.804613,0.809140,0.800000,0.754497,0.00009780
pretrain,4,0.473336,0.799186,0.763441,0.835616,0.761905,0.00009510
pretrain,5,0.439650,0.818182,0.846774,0.789041,0.772487,0.00009141
pretrain,6,0.418269,0.774763,0.637097,0.915068,0.742857,0.00008682
pretrain,7,0.411683,0.807327,0.717742,0.898630,0.762963,0.00008145
pretrain,8,0.409771,0.807327,0.787634,0.827397,0.766138,0.00007543
pretrain,9,0.389261,0.807327,0.733871,0.882192,0.767196,0.00006891
pretrain,10,0.379529,0.805970,0.827957,0.783562,0.793651,0.00006204
pretrain,11,0.364994,0.812754,0.806452,0.819178,0.779894,0.00005500
pretrain,12,0.357950,0.812754,0.825269,0.800000,0.780952,0.00004796
pretrain,13,0.352569,0.805970,0.731183,0.882192,0.766138,0.00004109
pretrain,14,0.355099,0.811398,0.833333,0.789041,0.774603,0.00003457
pretrain,15,0.340550,0.818182,0.814516,0.821918,0.774603,0.00002855
pretrain,16,0.341613,0.818182,0.809140,0.827397,0.774603,0.00002318
pretrain,17,0.332571,0.820896,0.814516,0.827397,0.780952,0.00001859
pretrain,18,0.335755,0.816825,0.811828,0.821918,0.774603,0.00001490
pretrain,19,0.323046,0.824966,0.819892,0.830137,0.777778,0.00001220
pretrain,20,0.325723,0.815468,0.817204,0.813699,0.774603,0.00001055
