Phase,Epoch,BatchIdx,SamplesSeen,Val_Accuracy,Class0_Accuracy,Class1_Accuracy,Test_Accuracy,LTP_crossings,LTD_crossings
pretrain,1,1,64,0.497965,0.000000,1.000000,0.488889,0,0
pretrain,1,6,384,0.497965,0.000000,1.000000,0.488889,0,0
pretrain,1,11,704,0.497965,0.000000,1.000000,0.488889,0,0
pretrain,1,16,1024,0.497965,0.000000,1.000000,0.488889,17,3
pretrain,1,21,1344,0.516961,0.078378,0.959128,0.496296,2282,2633
pretrain,1,26,1664,0.557666,0.567568,0.547684,0.544974,7447,7629
pretrain,1,31,1984,0.526459,0.429730,0.623978,0.500529,11021,13307
pretrain,1,36,2304,0.534600,0.345946,0.724796,0.507937,13831,17053
pretrain,1,41,2624,0.588874,0.616216,0.561308,0.574603,16280,19987
pretrain,1,47,2953,0.595658,0.854054,0.335150,0.602116,19515,22617
pretrain,2,1,3017,0.590231,0.908108,0.269755,0.589418,514,474
pretrain,2,6,3337,0.544098,0.964865,0.119891,0.560847,3201,2659
pretrain,2,11,3657,0.522388,0.986486,0.054496,0.538624,5651,5014
pretrain,2,16,3977,0.522388,0.989189,0.051771,0.534392,7838,7128
pretrain,2,21,4297,0.512890,1.000000,0.021798,0.521693,9596,8950
pretrain,2,26,4617,0.506106,1.000000,0.008174,0.515344,10958,10536
pretrain,2,31,4937,0.502035,1.000000,0.000000,0.512169,12199,12003
pretrain,2,36,5257,0.502035,1.000000,0.000000,0.511111,13404,13589
pretrain,2,41,5577,0.502035,1.000000,0.000000,0.511111,14878,15211
pretrain,2,47,5906,0.502035,1.000000,0.000000,0.513228,16961,17238
pretrain,3,1,5970,0.503392,1.000000,0.002725,0.512169,363,413
pretrain,3,6,6290,0.525102,0.986486,0.059946,0.535450,2188,2140
pretrain,3,11,6610,0.559023,0.962162,0.152589,0.554497,3750,3963
pretrain,3,16,6930,0.567164,0.964865,0.166213,0.561905,5323,5683
pretrain,3,21,7250,0.575305,0.962162,0.185286,0.567196,7134,7605
pretrain,3,26,7570,0.618725,0.954054,0.280654,0.594709,8752,9776
pretrain,3,31,7890,0.624152,0.954054,0.291553,0.607407,10920,12192
pretrain,3,36,8210,0.683853,0.916216,0.449591,0.657143,13473,14642
pretrain,3,41,8530,0.740841,0.864865,0.615804,0.700529,15807,17129
pretrain,3,47,8859,0.755767,0.851351,0.659401,0.739683,18880,20577
pretrain,4,1,8923,0.769335,0.810811,0.727520,0.752381,577,631
pretrain,4,6,9243,0.761194,0.667568,0.855586,0.761905,3294,3621
pretrain,4,11,9563,0.772049,0.748649,0.795640,0.764021,6069,7092
pretrain,4,16,9883,0.747626,0.889189,0.604905,0.738624,9275,10941
pretrain,4,21,10203,0.766621,0.883784,0.648501,0.755556,12711,14562
pretrain,4,26,10523,0.769335,0.810811,0.727520,0.765079,16425,18557
pretrain,4,31,10843,0.769335,0.767568,0.771117,0.771429,19927,22582
pretrain,4,36,11163,0.758480,0.862162,0.653951,0.766138,23515,26759
pretrain,4,41,11483,0.778833,0.891892,0.664850,0.761905,26623,30430
pretrain,4,47,11812,0.778833,0.835135,0.722071,0.774603,30586,34425
pretrain,5,1,11876,0.778833,0.837838,0.719346,0.773545,591,633
pretrain,5,6,12196,0.780190,0.881081,0.678474,0.773545,3580,4014
pretrain,5,11,12516,0.789688,0.835135,0.743869,0.779894,6624,7103
pretrain,5,16,12836,0.788331,0.759459,0.817439,0.779894,9040,9955
pretrain,5,21,13156,0.788331,0.791892,0.784741,0.787302,11665,13154
pretrain,5,26,13476,0.781547,0.870270,0.692098,0.774603,14154,16473
pretrain,5,31,13796,0.780190,0.794595,0.765668,0.798942,16794,19591
pretrain,5,36,14116,0.766621,0.672973,0.861035,0.788360,19161,22614
pretrain,5,41,14436,0.791045,0.786486,0.795640,0.796825,21647,25505
pretrain,5,47,14765,0.791045,0.902703,0.678474,0.794709,24866,29390
pretrain,6,1,14829,0.793758,0.905405,0.681199,0.789418,474,581
pretrain,6,6,15149,0.804613,0.859459,0.749319,0.803175,2865,3781
pretrain,6,11,15469,0.786974,0.691892,0.882834,0.779894,5838,7091
pretrain,6,16,15789,0.781547,0.691892,0.871935,0.777778,7811,9663
pretrain,6,21,16109,0.805970,0.813514,0.798365,0.790476,10102,12357
pretrain,6,26,16429,0.805970,0.859459,0.752044,0.797884,12152,14480
pretrain,6,31,16749,0.801900,0.864865,0.738420,0.796825,13794,16361
pretrain,6,36,17069,0.810041,0.867568,0.752044,0.807407,15468,18281
pretrain,6,41,17389,0.796472,0.800000,0.792916,0.796825,17245,20368
pretrain,6,47,17718,0.784261,0.691892,0.877384,0.793651,19344,22703
pretrain,7,1,17782,0.780190,0.689189,0.871935,0.794709,302,307
pretrain,7,6,18102,0.795115,0.764865,0.825613,0.805291,2363,2327
pretrain,7,11,18422,0.789688,0.900000,0.678474,0.798942,5249,4897
pretrain,7,16,18742,0.782904,0.929730,0.634877,0.788360,7599,7068
pretrain,7,21,19062,0.782904,0.883784,0.681199,0.798942,9844,9533
pretrain,7,26,19382,0.799186,0.824324,0.773842,0.797884,12262,12069
pretrain,7,31,19702,0.797829,0.775676,0.820163,0.795767,13896,14234
pretrain,7,36,20022,0.796472,0.710811,0.882834,0.803175,15621,16376
pretrain,7,41,20342,0.792402,0.694595,0.891008,0.791534,17204,18162
pretrain,7,47,20671,0.804613,0.743243,0.866485,0.801058,19545,20876
pretrain,8,1,20735,0.814111,0.767568,0.861035,0.803175,535,552
pretrain,8,6,21055,0.796472,0.859459,0.732970,0.806349,3297,3577
pretrain,8,11,21375,0.769335,0.913514,0.623978,0.785185,5281,5722
pretrain,8,16,21695,0.765265,0.913514,0.615804,0.786243,6519,7205
pretrain,8,21,22015,0.767978,0.908108,0.626703,0.792593,7728,8590
pretrain,8,26,22335,0.789688,0.881081,0.697548,0.806349,9354,10335
pretrain,8,31,22655,0.814111,0.840541,0.787466,0.816931,11582,12441
pretrain,8,36,22975,0.810041,0.772973,0.847411,0.817989,13754,14514
pretrain,8,41,23295,0.811398,0.756757,0.866485,0.807407,15419,16172
pretrain,8,47,23624,0.803256,0.735135,0.871935,0.804233,17350,17897
pretrain,9,1,23688,0.807327,0.743243,0.871935,0.804233,270,287
pretrain,9,6,24008,0.805970,0.743243,0.869210,0.803175,1549,1524
pretrain,9,11,24328,0.804613,0.745946,0.863760,0.802116,2719,2624
pretrain,9,16,24648,0.814111,0.778378,0.850136,0.802116,3884,3776
pretrain,9,21,24968,0.824966,0.810811,0.839237,0.803175,5050,5030
pretrain,9,26,25288,0.819539,0.827027,0.811989,0.807407,6413,6549
pretrain,9,31,25608,0.810041,0.845946,0.773842,0.817989,7546,7772
pretrain,9,36,25928,0.807327,0.864865,0.749319,0.817989,8645,8967
pretrain,9,41,26248,0.792402,0.875676,0.708447,0.813757,9866,10252
pretrain,9,47,26577,0.791045,0.878378,0.702997,0.814815,11076,11746
pretrain,10,1,26641,0.793758,0.883784,0.702997,0.814815,169,201
pretrain,10,6,26961,0.808684,0.875676,0.741144,0.821164,1048,1257
pretrain,10,11,27281,0.820896,0.867568,0.773842,0.825397,2014,2371
pretrain,10,16,27601,0.818182,0.840541,0.795640,0.826455,2903,3487
pretrain,10,21,27921,0.807327,0.802703,0.811989,0.820106,3814,4467
pretrain,10,26,28241,0.811398,0.789189,0.833787,0.804233,4726,5438
pretrain,10,31,28561,0.811398,0.786486,0.836512,0.812698,5604,6257
pretrain,10,36,28881,0.810041,0.786486,0.833787,0.811640,6366,7088
pretrain,10,41,29201,0.807327,0.791892,0.822888,0.812698,7090,7917
pretrain,10,47,29530,0.810041,0.794595,0.825613,0.813757,8042,8918
pretrain,11,1,29594,0.814111,0.800000,0.828338,0.814815,160,164
pretrain,11,6,29914,0.808684,0.791892,0.825613,0.819048,909,944
pretrain,11,11,30234,0.803256,0.800000,0.806540,0.822222,1725,1783
pretrain,11,16,30554,0.805970,0.810811,0.801090,0.817989,2477,2659
pretrain,11,21,30874,0.811398,0.835135,0.787466,0.816931,3213,3448
pretrain,11,26,31194,0.810041,0.837838,0.782016,0.816931,3897,4174
pretrain,11,31,31514,0.812754,0.840541,0.784741,0.821164,4522,4798
pretrain,11,36,31834,0.805970,0.832432,0.779292,0.817989,5256,5412
pretrain,11,41,32154,0.808684,0.829730,0.787466,0.816931,6095,6195
pretrain,11,47,32483,0.801900,0.800000,0.803815,0.822222,7340,7278
pretrain,12,1,32547,0.803256,0.794595,0.811989,0.823280,193,206
