Phase,Epoch,BatchIdx,SamplesSeen,Val_Accuracy,Class0_Accuracy,Class1_Accuracy,Test_Accuracy,LTP_crossings,LTD_crossings
pretrain,1,1,64,0.496608,0.000000,1.000000,0.493122,0,0
pretrain,1,6,384,0.496608,0.000000,1.000000,0.493122,0,0
pretrain,1,11,704,0.496608,0.000000,1.000000,0.493122,0,0
pretrain,1,16,1024,0.496608,0.000000,1.000000,0.493122,0,0
pretrain,1,21,1344,0.496608,0.000000,1.000000,0.493122,0,0
pretrain,1,26,1664,0.496608,0.000000,1.000000,0.493122,0,0
pretrain,1,31,1984,0.496608,0.000000,1.000000,0.493122,0,0
pretrain,1,36,2304,0.496608,0.000000,1.000000,0.493122,320,304
pretrain,1,41,2624,0.496608,0.000000,1.000000,0.493122,1566,2104
pretrain,1,47,2953,0.496608,0.000000,1.000000,0.493122,3649,4674
pretrain,2,1,3017,0.496608,0.000000,1.000000,0.493122,414,376
pretrain,2,6,3337,0.496608,0.000000,1.000000,0.493122,2949,1961
pretrain,2,11,3657,0.497965,0.002695,1.000000,0.493122,4972,3192
pretrain,2,16,3977,0.516961,0.051213,0.989071,0.506878,6335,4283
pretrain,2,21,4297,0.563094,0.156334,0.975410,0.537566,7561,5213
pretrain,2,26,4617,0.603799,0.283019,0.928962,0.567196,8542,6022
pretrain,2,31,4937,0.630936,0.490566,0.773224,0.607407,9407,6680
pretrain,2,36,5257,0.630936,0.660377,0.601093,0.632804,10268,7220
pretrain,2,41,5577,0.633650,0.708895,0.557377,0.625397,10898,7608
pretrain,2,47,5906,0.624152,0.768194,0.478142,0.635979,11556,8011
pretrain,3,1,5970,0.617368,0.752022,0.480874,0.632804,101,71
pretrain,3,6,6290,0.628223,0.743935,0.510929,0.635979,511,391
pretrain,3,11,6610,0.636364,0.770889,0.500000,0.645503,906,700
pretrain,3,16,6930,0.640434,0.787062,0.491803,0.643386,1237,990
pretrain,3,21,7250,0.629579,0.787062,0.469945,0.640212,1501,1250
pretrain,3,26,7570,0.633650,0.811321,0.453552,0.637037,1807,1512
pretrain,3,31,7890,0.648575,0.835580,0.459016,0.632804,2149,1714
pretrain,3,36,8210,0.632293,0.854447,0.407104,0.640212,2444,1946
pretrain,3,41,8530,0.636364,0.854447,0.415301,0.630688,2788,2245
pretrain,3,47,8859,0.637720,0.851752,0.420765,0.640212,3100,2688
pretrain,4,1,8923,0.641791,0.849057,0.431694,0.635979,66,64
pretrain,4,6,9243,0.648575,0.851752,0.442623,0.634921,412,412
pretrain,4,11,9563,0.647218,0.840970,0.450820,0.644444,827,813
pretrain,4,16,9883,0.677069,0.819407,0.532787,0.652910,1451,1338
pretrain,4,21,10203,0.675712,0.752022,0.598361,0.667725,2180,2010
pretrain,4,26,10523,0.679783,0.773585,0.584699,0.665608,2682,2579
pretrain,4,31,10843,0.687924,0.808625,0.565574,0.666667,3209,3115
pretrain,4,36,11163,0.677069,0.832884,0.519126,0.661376,3926,3682
pretrain,4,41,11483,0.671642,0.851752,0.489071,0.660317,4800,4278
pretrain,4,47,11812,0.664858,0.838275,0.489071,0.659259,5745,4893
pretrain,5,1,11876,0.667571,0.838275,0.494536,0.662434,168,95
pretrain,5,6,12196,0.664858,0.859838,0.467213,0.644444,1135,706
pretrain,5,11,12516,0.654003,0.897574,0.407104,0.638095,2042,1439
pretrain,5,16,12836,0.625509,0.913747,0.333333,0.622222,2815,2216
