Phase,Epoch,Train_Loss,Val_Accuracy,Class0_Accuracy,Class1_Accuracy,Test_Accuracy,learning_rate
pretrain,1,0.698931,0.523427,0.973475,0.064865,0.518889,0.00010000
pretrain,2,0.694508,0.606426,0.870027,0.337838,0.612222,0.00009945
pretrain,3,0.690402,0.676037,0.814324,0.535135,0.654444,0.00009780
pretrain,4,0.685819,0.697456,0.724138,0.670270,0.677778,0.00009510
pretrain,5,0.676068,0.722892,0.806366,0.637838,0.694444,0.00009141
pretrain,6,0.639370,0.755020,0.679045,0.832432,0.742222,0.00008682
pretrain,7,0.539120,0.769746,0.718833,0.821622,0.746667,0.00008145
pretrain,8,0.470999,0.773762,0.777188,0.770270,0.748889,0.00007543
pretrain,9,0.436894,0.795181,0.824934,0.764865,0.745556,0.00006891
pretrain,10,0.431146,0.793842,0.801061,0.786486,0.753333,0.00006204
pretrain,11,0.417612,0.785810,0.750663,0.821622,0.741111,0.00005500
pretrain,12,0.414279,0.805890,0.822281,0.789189,0.751111,0.00004796
pretrain,13,0.408701,0.801874,0.798408,0.805405,0.746667,0.00004109
pretrain,14,0.404718,0.801874,0.811671,0.791892,0.751111,0.00003457
pretrain,15,0.397911,0.803213,0.809019,0.797297,0.750000,0.00002855
pretrain,16,0.398653,0.797858,0.803714,0.791892,0.745556,0.00002318
pretrain,17,0.396313,0.808568,0.822281,0.794595,0.747778,0.00001859
pretrain,18,0.391725,0.800535,0.798408,0.802703,0.751111,0.00001490
pretrain,19,0.394769,0.801874,0.801061,0.802703,0.747778,0.00001220
pretrain,20,0.393263,0.800535,0.806366,0.794595,0.754444,0.00001055
