Phase,Epoch,Train_Loss,Val_Accuracy,Class0_Accuracy,Class1_Accuracy,Test_Accuracy,learning_rate
pretrain,1,0.703763,0.554953,0.945946,0.160763,0.559788,0.00010000
pretrain,2,0.693218,0.522388,0.986486,0.054496,0.536508,0.00009945
pretrain,3,0.686650,0.685210,0.859459,0.509537,0.663492,0.00009780
pretrain,4,0.649936,0.759837,0.851351,0.667575,0.743915,0.00009510
pretrain,5,0.547767,0.769335,0.805405,0.732970,0.787302,0.00009141
pretrain,6,0.497371,0.789688,0.789189,0.790191,0.790476,0.00008682
pretrain,7,0.482789,0.777476,0.851351,0.702997,0.787302,0.00008145
pretrain,8,0.482480,0.800543,0.789189,0.811989,0.796825,0.00007543
pretrain,9,0.476834,0.786974,0.810811,0.762943,0.791534,0.00006891
pretrain,10,0.467538,0.792402,0.808108,0.776567,0.788360,0.00006204
pretrain,11,0.461226,0.801900,0.802703,0.801090,0.797884,0.00005500
pretrain,12,0.473679,0.796472,0.805405,0.787466,0.801058,0.00004796
pretrain,13,0.450053,0.801900,0.805405,0.798365,0.806349,0.00004109
pretrain,14,0.449225,0.804613,0.783784,0.825613,0.807407,0.00003457
pretrain,15,0.450790,0.808684,0.813514,0.803815,0.796825,0.00002855
pretrain,16,0.454873,0.810041,0.821622,0.798365,0.796825,0.00002318
pretrain,17,0.448024,0.807327,0.813514,0.801090,0.808466,0.00001859
pretrain,18,0.456413,0.810041,0.813514,0.806540,0.805291,0.00001490
pretrain,19,0.442360,0.808684,0.816216,0.801090,0.807407,0.00001220
pretrain,20,0.450651,0.803256,0.824324,0.782016,0.806349,0.00001055
