Phase,Epoch,Train_Loss,Val_Accuracy,Class0_Accuracy,Class1_Accuracy,Test_Accuracy,learning_rate
pretrain,1,0.697933,0.645248,0.620690,0.670270,0.642222,0.00010000
pretrain,2,0.689833,0.649264,0.469496,0.832432,0.651111,0.00009945
pretrain,3,0.674825,0.716198,0.668435,0.764865,0.707778,0.00009780
pretrain,4,0.614407,0.756359,0.816976,0.694595,0.745556,0.00009510
pretrain,5,0.511483,0.771084,0.702918,0.840541,0.747778,0.00009141
pretrain,6,0.453689,0.783133,0.806366,0.759459,0.744444,0.00008682
pretrain,7,0.428826,0.792503,0.830239,0.754054,0.742222,0.00008145
pretrain,8,0.416585,0.795181,0.793103,0.797297,0.744444,0.00007543
pretrain,9,0.401275,0.801874,0.811671,0.791892,0.746667,0.00006891
pretrain,10,0.395285,0.795181,0.771883,0.818919,0.752222,0.00006204
pretrain,11,0.385743,0.803213,0.753316,0.854054,0.742222,0.00005500
pretrain,12,0.386878,0.799197,0.803714,0.794595,0.752222,0.00004796
pretrain,13,0.376748,0.801874,0.795756,0.808108,0.754444,0.00004109
pretrain,14,0.371500,0.801874,0.787798,0.816216,0.755556,0.00003457
pretrain,15,0.367124,0.807229,0.803714,0.810811,0.748889,0.00002855
pretrain,16,0.369625,0.800535,0.785146,0.816216,0.744444,0.00002318
pretrain,17,0.363764,0.803213,0.811671,0.794595,0.747778,0.00001859
pretrain,18,0.361420,0.801874,0.801061,0.802703,0.746667,0.00001490
pretrain,19,0.359821,0.807229,0.809019,0.805405,0.746667,0.00001220
pretrain,20,0.359391,0.807229,0.809019,0.805405,0.742222,0.00001055
